Date,Open,High,Low,Close,Volume,Adj Close
2014-10-01,93.59,93.87,90.77,91.05,4988000,91.05
2014-09-30,94.41,94.67,92.84,93.87,3567200,93.87
2014-09-29,93.33,94.92,92.98,94.68,1823800,94.68
2014-09-26,93.36,95.17,92.95,94.62,1507700,94.62
2014-09-25,95.03,95.14,93.31,93.31,1874700,93.31
2014-09-24,94.39,95.53,92.90,94.85,2817000,94.85
2014-09-23,94.47,95.97,94.30,95.06,1647700,95.06
2014-09-22,96.09,96.42,94.25,94.52,2598500,94.52
2014-09-19,97.55,97.97,96.51,96.51,2566000,96.51
2014-09-18,97.88,98.27,96.54,97.01,1908700,97.01
2014-09-17,98.27,98.57,97.33,97.50,3594900,97.50
2014-09-16,97.27,98.75,97.13,97.82,2294600,97.82
2014-09-15,95.92,97.32,95.22,97.12,1858900,97.12
2014-09-12,97.25,97.50,96.08,96.24,1621600,96.24
2014-09-11,96.10,97.67,95.81,97.63,2088500,97.63
2014-09-10,96.74,97.36,95.91,97.28,2609000,97.28
2014-09-09,97.90,98.59,96.64,97.11,2739200,97.11
2014-09-08,98.80,98.86,97.35,97.93,2198600,97.93
2014-09-05,98.26,99.70,98.26,99.53,2535200,99.53
2014-09-04,100.21,100.87,98.10,98.76,2218300,98.76
2014-09-03,101.33,102.00,100.26,100.36,2137500,100.36
2014-09-02,101.82,101.91,99.56,100.16,2349900,100.16
2014-08-29,100.81,102.03,100.81,101.83,3026100,101.83
2014-08-28,101.45,101.87,101.04,101.37,2164000,101.37
2014-08-27,101.66,102.29,101.02,101.53,1643100,101.53
2014-08-26,101.50,102.55,101.41,101.55,2037200,101.55
2014-08-25,100.12,101.66,100.03,101.43,1757600,101.43
2014-08-22,100.95,100.95,99.71,99.82,1657000,99.82
2014-08-21,100.02,101.42,99.56,101.13,1883500,101.13
2014-08-20,99.34,100.47,98.65,100.34,2446900,100.34
2014-08-19,98.83,99.89,98.83,99.27,2441600,99.27
2014-08-18,99.31,99.87,97.60,98.50,2694500,98.50
2014-08-15,98.44,99.11,97.87,98.68,3567800,98.68
2014-08-14,99.05,99.34,97.68,97.94,2861700,97.94
2014-08-13,98.79,100.00,98.29,98.60,2302300,98.60
2014-08-12,99.58,99.86,98.00,98.47,2691100,98.47
2014-08-11,100.40,101.11,99.71,99.87,1887500,99.87
2014-08-08,98.99,100.70,98.64,100.38,1895300,100.38
2014-08-07,100.44,100.66,97.91,98.57,2902600,98.57
