Date,Open,High,Low,Close,Volume,Adj Close
2014-10-01,17.07,17.09,16.80,16.82,90840100,16.82
2014-09-30,17.08,17.11,16.97,17.05,81893000,17.05
2014-09-29,16.91,17.05,16.88,17.01,67989700,17.01
2014-09-26,16.91,17.05,16.89,17.03,66617400,17.03
2014-09-25,17.16,17.18,16.85,16.85,104318700,16.85
2014-09-24,17.12,17.19,16.97,17.18,86256000,17.18
2014-09-23,17.05,17.20,17.03,17.05,91609900,17.05
2014-09-22,17.09,17.17,16.99,17.03,108980400,17.03
2014-09-19,17.15,17.17,16.88,16.95,88215900,16.95
2014-09-18,16.88,17.15,16.87,17.04,110396000,17.04
2014-09-17,16.71,16.93,16.68,16.77,82902700,16.77
2014-09-16,16.67,16.84,16.67,16.71,64845600,16.71
2014-09-15,16.80,16.93,16.62,16.74,87306900,16.74
2014-09-12,16.62,16.83,16.61,16.79,117118300,16.79
2014-09-11,16.32,16.63,16.30,16.57,106598100,16.57
2014-09-10,16.16,16.40,16.13,16.36,75656100,16.36
2014-09-09,16.25,16.26,16.10,16.14,82428900,16.14
2014-09-08,16.19,16.37,16.15,16.35,99411200,16.35
2014-09-05,16.05,16.07,15.90,16.02,80974900,16.02
2014-09-04,16.10,16.27,16.04,16.11,56378600,16.11
2014-09-03,16.27,16.28,16.04,16.10,67418900,16.10
2014-09-02,16.14,16.28,16.06,16.27,59400400,16.22
2014-08-29,16.05,16.14,16.02,16.09,50106600,16.04
2014-08-28,16.10,16.10,15.99,16.01,62170400,15.96
2014-08-27,16.37,16.39,16.14,16.20,63061800,16.15
2014-08-26,16.34,16.46,16.32,16.33,73323400,16.28
2014-08-25,16.27,16.40,16.20,16.29,89396500,16.24
2014-08-22,16.16,16.29,16.05,16.13,107641800,16.08
2014-08-21,15.69,16.22,15.62,16.16,177294400,16.11
2014-08-20,15.41,15.63,15.37,15.52,57825000,15.47
2014-08-19,15.52,15.65,15.44,15.45,44825500,15.40
2014-08-18,15.28,15.45,15.27,15.45,54968600,15.40
2014-08-15,15.34,15.41,15.14,15.22,61535500,15.17
2014-08-14,15.26,15.32,15.26,15.32,29934600,15.27
2014-08-13,15.25,15.29,15.20,15.25,34394600,15.20
2014-08-12,15.18,15.30,15.15,15.21,33674400,15.16
2014-08-11,15.26,15.27,15.15,15.22,41545100,15.17
2014-08-08,15.08,15.20,14.99,15.20,54495000,15.15
2014-08-07,15.44,15.44,15.09,15.12,80058300,15.07
2014-08-06,15.14,15.36,15.14,15.20,95977900,15.15
2014-08-05,15.01,15.20,14.90,15.00,65071500,14.95
2014-08-04,15.07,15.12,14.98,15.05,51954700,15.00
2014-08-01,15.18,15.39,14.84,14.98,115978900,14.93
2014-07-31,15.44,15.55,15.25,15.25,70677300,15.20
2014-07-30,15.43,15.67,15.31,15.58,83243100,15.53
2014-07-29,15.52,15.53,15.34,15.34,51480500,15.29
2014-07-28,15.59,15.61,15.46,15.50,39313000,15.45
2014-07-25,15.59,15.63,15.55,15.59,35627200,15.54
2014-07-24,15.56,15.64,15.55,15.62,46549800,15.57
2014-07-23,15.52,15.63,15.51,15.52,47253300,15.47
2014-07-22,15.59,15.62,15.47,15.52,58331100,15.47
2014-07-21,15.42,15.55,15.36,15.52,61802200,15.47
2014-07-18,15.27,15.50,15.25,15.49,74859200,15.44
2014-07-17,15.45,15.48,15.13,15.20,114839900,15.15
2014-07-16,15.66,15.66,15.43,15.51,123897400,15.46
2014-07-15,15.75,15.85,15.66,15.81,99946700,15.76
2014-07-14,15.62,15.67,15.52,15.57,59181700,15.52
2014-07-11,15.39,15.43,15.30,15.38,56849400,15.33
2014-07-10,15.33,15.53,15.25,15.44,61458500,15.39
2014-07-09,15.62,15.69,15.54,15.60,46415800,15.55
2014-07-08,15.82,15.83,15.52,15.58,73343400,15.53
2014-07-07,15.99,16.00,15.83,15.94,62437100,15.89
2014-07-03,16.07,16.23,16.00,16.03,70582300,15.98
2014-07-02,15.78,16.03,15.76,15.85,87685800,15.80
2014-07-01,15.38,15.65,15.38,15.60,74193500,15.55
2014-06-30,15.31,15.45,15.29,15.37,47776800,15.32
2014-06-27,15.38,15.42,15.31,15.33,58149200,15.28
2014-06-26,15.44,15.53,15.27,15.41,68519600,15.36
2014-06-25,15.45,15.49,15.28,15.47,71766400,15.42
2014-06-24,15.56,15.70,15.44,15.49,73262500,15.44
2014-06-23,15.47,15.65,15.38,15.64,58492200,15.59
2014-06-20,15.63,15.63,15.44,15.45,54765300,15.40
2014-06-19,15.66,15.67,15.50,15.55,40953900,15.49
2014-06-18,15.63,15.69,15.44,15.65,70220300,15.59
2014-06-17,15.27,15.62,15.26,15.59,58011600,15.53
2014-06-16,15.30,15.31,15.18,15.28,55425400,15.22
2014-06-13,15.46,15.55,15.33,15.44,61588100,15.38
2014-06-12,15.57,15.66,15.38,15.42,66173200,15.36
2014-06-11,15.69,15.82,15.55,15.59,73729300,15.53
2014-06-10,15.78,15.94,15.73,15.92,49852900,15.86
2014-06-09,15.60,15.88,15.60,15.84,78647900,15.78
2014-06-06,15.45,15.65,15.43,15.59,73930500,15.53
2014-06-05,15.28,15.48,15.22,15.43,60300500,15.37
2014-06-04,15.19,15.26,15.15,15.21,39757300,15.15
2014-06-03,15.20,15.28,15.11,15.21,49025400,15.15
2014-06-02,15.16,15.28,15.05,15.26,46374000,15.20
2014-05-30,15.12,15.23,15.07,15.14,45787100,15.08
2014-05-29,15.12,15.21,15.10,15.15,39423000,15.09
2014-05-28,15.27,15.28,15.03,15.14,72481700,15.08
2014-05-27,15.00,15.31,14.98,15.22,125398900,15.16
2014-05-23,14.71,14.81,14.65,14.72,51648900,14.67
2014-05-22,14.58,14.72,14.55,14.71,51929400,14.66
2014-05-21,14.59,14.71,14.50,14.61,64808600,14.56
2014-05-20,14.65,14.69,14.48,14.53,60108200,14.48
2014-05-19,14.43,14.70,14.38,14.67,51034700,14.62
2014-05-16,14.51,14.54,14.37,14.51,80476100,14.46
2014-05-15,14.82,14.83,14.39,14.55,104193000,14.50
2014-05-14,14.99,15.02,14.81,14.84,52431900,14.78
2014-05-13,15.04,15.10,14.94,15.03,58469100,14.97
2014-05-12,14.79,15.10,14.79,15.07,70669900,15.01
2014-05-09,14.95,14.99,14.67,14.74,86751600,14.69
2014-05-08,14.85,15.04,14.80,14.93,65232700,14.87
2014-05-07,14.86,14.92,14.75,14.80,91733000,14.75
