Date,Open,High,Low,Close,Volume,Adj Close
2014-10-01,23.02,23.21,22.30,22.43,7137900,22.43
2014-09-30,23.60,23.65,22.77,22.99,8107400,22.99
2014-09-29,23.16,23.73,22.96,23.64,10219000,23.64
2014-09-26,23.27,23.65,23.06,23.50,5562500,23.50
2014-09-25,23.93,24.00,23.21,23.34,9474300,23.34
2014-09-24,24.23,24.25,23.64,23.93,9953000,23.93
2014-09-23,24.26,24.52,24.19,24.26,5708000,24.26
2014-09-22,24.67,24.70,24.21,24.31,5936700,24.31
2014-09-19,24.84,25.00,24.62,24.67,6086900,24.67
2014-09-18,25.39,25.42,24.62,24.77,5588600,24.77
2014-09-17,25.31,25.64,25.27,25.35,5304000,25.35
2014-09-16,25.02,25.46,24.94,25.36,5398000,25.36
2014-09-15,24.91,25.22,24.71,25.05,5326300,25.05
2014-09-12,25.28,25.30,24.82,24.91,6489100,24.91
2014-09-11,25.25,25.37,24.78,25.35,7488800,25.35
2014-09-10,25.52,25.59,24.92,25.53,9021400,25.53
2014-09-09,25.73,26.17,25.38,25.59,8094000,25.59
2014-09-08,26.07,26.07,25.32,25.58,6978200,25.58
2014-09-05,26.00,26.18,25.86,26.17,5117600,26.17
2014-09-04,26.58,26.81,25.94,26.03,6389600,26.03
2014-09-03,26.91,27.08,26.44,26.49,5757600,26.49
2014-09-02,27.10,27.15,26.71,26.80,6701300,26.80
2014-08-29,27.02,27.24,26.71,27.20,5177100,27.20
2014-08-28,26.43,27.14,26.29,26.98,7550100,26.98
2014-08-27,26.41,26.72,26.36,26.43,4796600,26.43
2014-08-26,26.76,26.91,26.41,26.46,5424900,26.46
2014-08-25,26.25,26.80,26.16,26.74,4901300,26.74
2014-08-22,26.31,26.45,26.00,26.02,4858600,26.02
2014-08-21,26.28,26.51,25.92,26.46,5245900,26.46
2014-08-20,25.90,26.37,25.80,26.33,5903700,26.33
2014-08-19,25.60,26.16,25.58,26.15,9090400,26.15
2014-08-18,25.72,25.74,25.38,25.46,5811600,25.46
2014-08-15,25.64,25.84,25.49,25.55,8566300,25.55
2014-08-14,25.87,25.98,25.41,25.65,6054700,25.65
2014-08-13,25.86,26.09,25.67,25.75,6002500,25.75
2014-08-12,26.40,26.40,25.67,25.86,6586900,25.86
2014-08-11,26.82,26.82,26.37,26.41,5122700,26.41
2014-08-08,26.02,26.67,25.75,26.59,6623700,26.59
2014-08-07,26.53,26.66,25.75,25.93,8447100,25.93
2014-08-06,25.54,26.41,25.49,26.19,13289400,26.19
2014-08-05,26.59,26.68,25.83,26.06,12331600,26.06
2014-08-04,26.19,26.90,25.96,26.83,9431300,26.83
2014-08-01,26.35,26.42,25.90,26.07,6492700,26.07
2014-07-31,26.86,26.91,26.37,26.37,8819900,26.37
2014-07-30,26.96,27.18,26.74,27.01,9507700,27.01
2014-07-29,26.57,27.27,26.35,27.06,10541400,27.06
2014-07-28,27.06,27.24,26.70,26.84,8105600,26.84
2014-07-25,27.15,27.27,26.89,27.01,6966300,27.01
2014-07-24,27.09,27.58,26.87,27.30,8843700,27.30
