Date,Open,High,Low,Close,Volume,Adj Close
2014-10-01,169.91,169.98,167.42,167.68,11019000,167.68
2014-09-30,170.45,171.10,169.80,170.07,5492800,170.07
2014-09-29,169.18,170.58,168.94,170.33,5167800,170.33
2014-09-26,169.79,171.13,169.50,170.70,6062200,170.70
2014-09-25,171.50,171.53,169.09,169.17,8910500,169.17
2014-09-24,170.36,171.90,169.98,171.79,5813000,171.79
2014-09-23,170.85,171.38,170.21,170.21,5521800,170.21
2014-09-22,172.35,172.38,171.22,171.41,4894200,171.41
2014-09-19,173.00,173.32,172.19,172.45,9341000,172.45
2014-09-18,172.01,172.80,171.90,172.61,6458100,172.20
2014-09-17,171.57,172.25,170.93,171.58,8498600,171.17
2014-09-16,169.96,171.71,169.89,171.38,5946400,170.97
2014-09-15,170.06,170.57,169.55,170.32,5130700,169.91
2014-09-12,170.38,170.44,169.40,169.90,5000800,169.49
2014-09-11,169.89,170.62,169.82,170.51,3026200,170.10
2014-09-10,170.17,170.81,169.71,170.67,4595400,170.26
2014-09-09,170.79,170.84,169.89,170.12,4252400,169.71
2014-09-08,171.04,171.35,170.75,171.06,3139800,170.65
2014-09-05,170.52,171.29,170.01,171.25,3403600,170.84
2014-09-04,170.91,171.56,170.22,170.66,3760900,170.25
2014-09-03,171.38,171.48,170.53,170.72,2847400,170.31
2014-09-02,170.94,171.07,170.04,170.58,3458700,170.17
2014-08-29,170.90,171.00,170.25,170.88,3280300,170.47
2014-08-28,170.40,170.88,170.10,170.77,2781900,170.36
2014-08-27,171.15,171.21,170.75,171.01,5162400,170.60
2014-08-26,170.82,171.35,170.78,170.93,3581400,170.52
2014-08-25,170.56,171.06,170.44,170.62,2588500,170.21
2014-08-22,170.01,170.48,169.65,169.87,5152200,169.46
2014-08-21,169.81,170.53,169.69,170.18,2652600,169.77
2014-08-20,168.72,169.74,168.72,169.60,3108800,169.19
2014-08-19,168.64,169.02,168.33,168.89,3057200,168.49
2014-08-18,167.25,168.12,167.23,168.06,2975200,167.66
2014-08-15,167.42,167.46,165.44,166.35,7032500,165.95
2014-08-14,166.69,167.10,166.46,167.10,2752400,166.40
2014-08-13,166.00,166.66,165.76,166.49,2844000,165.80
2014-08-12,165.28,165.77,165.00,165.49,3274300,164.80
2014-08-11,165.96,166.15,165.47,165.55,5761500,164.86
2014-08-08,163.67,165.38,163.44,165.34,5412300,164.65
2014-08-07,164.85,164.89,163.13,163.55,4962400,162.87
2014-08-06,163.46,164.75,163.37,164.20,4781100,163.52
2014-08-05,164.80,165.14,163.34,163.92,8522800,163.24
2014-08-04,164.80,165.61,164.11,165.33,4400000,164.64
2014-08-01,164.80,165.51,164.01,164.57,7435100,163.89
2014-07-31,167.27,167.43,165.29,165.29,9038800,164.60
2014-07-30,169.27,169.52,167.78,168.48,5446600,167.78
2014-07-29,169.89,170.19,168.78,168.78,3683100,168.08
2014-07-28,169.23,169.65,168.37,169.41,3606100,168.71
2014-07-25,169.77,169.85,168.76,169.16,5714000,168.46
2014-07-24,170.66,170.85,170.22,170.44,3226000,169.73
2014-07-23,170.81,170.81,170.20,170.56,2607900,169.85
2014-07-22,170.56,170.96,170.43,170.74,3798200,170.03
2014-07-21,170.10,170.38,169.36,170.18,2886600,169.47
2014-07-18,169.95,170.76,169.74,170.58,6924600,169.87
2014-07-17,170.81,171.32,169.46,169.61,6149300,168.72
2014-07-16,170.96,171.16,170.66,171.07,3197900,170.18
2014-07-15,170.51,170.91,169.78,170.38,5168100,169.49
2014-07-14,170.15,170.61,170.04,170.29,2831200,169.40
2014-07-11,168.77,169.22,168.32,169.20,2830500,168.32
2014-07-10,167.89,169.34,167.70,168.96,4932100,168.08
2014-07-09,169.18,169.73,168.86,169.58,3543800,168.69
2014-07-08,169.58,169.60,168.44,168.85,5438700,167.97
2014-07-07,169.88,170.01,169.55,169.86,2937700,168.97
2014-07-03,169.85,170.47,169.73,170.47,2074800,169.58
2014-07-02,169.31,169.51,169.18,169.40,1929800,168.51
2014-07-01,168.29,169.64,168.23,169.20,4911500,168.32
2014-06-30,167.91,168.35,167.65,167.89,6488400,167.01
2014-06-27,167.76,168.25,167.34,168.17,3092200,167.29
2014-06-26,168.38,168.39,167.06,168.08,4052400,167.20
2014-06-25,167.52,168.48,167.51,168.28,3657500,167.40
2014-06-24,168.83,169.33,167.67,167.87,4861700,166.99
2014-06-23,169.06,169.12,168.58,168.91,2729200,168.03
2014-06-20,169.25,169.42,168.96,169.08,5370700,168.20
2014-06-19,169.02,169.19,168.54,169.09,3028000,167.88
2014-06-18,168.05,169.06,167.35,168.93,4729200,167.72
2014-06-17,167.43,168.20,167.24,168.00,2884700,166.80
2014-06-16,167.39,167.97,167.15,167.69,3068300,166.49
2014-06-13,167.54,167.83,167.13,167.62,2708700,166.42
2014-06-12,168.29,168.34,166.98,167.29,5409200,166.09
2014-06-11,168.75,168.81,168.09,168.35,3064100,167.15
2014-06-10,169.15,169.37,168.84,169.35,2821400,168.14
2014-06-09,169.12,169.58,169.02,169.24,2713200,168.03
2014-06-06,168.58,169.12,168.46,169.08,4118900,167.87
2014-06-05,167.51,168.31,166.92,168.14,5416500,166.94
2014-06-04,166.89,167.27,166.58,167.13,2264600,165.94
2014-06-03,166.94,167.20,166.75,167.02,4125200,165.83
2014-06-02,167.25,167.40,166.63,167.20,4453300,166.01
2014-05-30,166.60,167.02,166.30,166.93,2769000,165.74
2014-05-29,166.47,166.79,166.03,166.78,2763500,165.59
2014-05-28,166.54,166.55,165.95,166.09,3681500,164.90
2014-05-27,166.45,166.60,166.13,166.47,2561300,165.28
2014-05-23,165.29,165.87,165.19,165.83,2857000,164.64
2014-05-22,165.09,165.39,164.60,165.18,3564100,164.00
2014-05-21,163.95,165.15,163.89,164.98,4898700,163.80
2014-05-20,164.70,164.72,163.04,163.32,4856600,162.15
2014-05-19,164.14,164.91,164.03,164.71,2879900,163.53
2014-05-16,164.16,164.64,163.77,164.61,5115000,163.43
2014-05-15,165.78,165.87,164.02,164.55,7539300,162.96
2014-05-14,167.09,167.14,165.92,166.11,3104700,164.50
2014-05-13,167.10,167.29,166.95,167.05,4133400,165.43
2014-05-12,166.31,166.93,166.28,166.80,3944700,165.18
2014-05-09,165.29,165.78,164.87,165.72,4228600,164.11
2014-05-08,165.02,166.07,164.86,165.35,5997900,163.75
2014-05-07,164.51,165.08,163.39,165.03,5576200,163.43
2014-05-06,164.66,164.68,163.68,163.73,5281500,162.14
2014-05-05,163.97,165.17,163.45,164.93,4059700,163.33
2014-05-02,165.16,165.85,164.53,164.75,7036100,163.15
2014-05-01,165.30,165.71,164.90,165.23,3889400,163.63
2014-04-30,164.92,165.60,164.83,165.45,4958500,163.85
2014-04-29,164.62,165.27,164.49,165.00,4581400,163.40
2014-04-28,164.13,164.69,162.78,164.17,7236900,162.58
2014-04-25,164.08,164.19,163.00,163.35,5102700,161.77
2014-04-24,165.01,165.11,164.19,164.69,4028700,163.09
2014-04-23,164.94,164.99,164.45,164.64,3546100,163.05
2014-04-22,164.30,165.30,164.23,164.80,4044300,163.20
2014-04-21,163.84,164.25,163.70,164.03,3066100,162.44
2014-04-17,163.61,164.19,163.33,163.75,5790700,162.16
2014-04-16,163.43,164.03,162.93,164.02,5864200,162.30
2014-04-15,161.67,162.47,160.38,162.36,8489000,160.66
2014-04-14,161.08,161.62,160.27,161.45,6270600,159.76
2014-04-11,160.67,161.32,159.88,160.02,11067500,158.34
2014-04-10,164.12,164.31,161.27,161.47,9981500,159.78
2014-04-09,163.00,164.14,162.43,164.10,6008300,162.38
2014-04-08,162.10,162.73,161.55,162.33,5930000,160.63
2014-04-07,163.58,163.93,162.12,162.16,8624100,160.46
2014-04-04,166.01,166.06,163.58,163.88,10559700,162.16
2014-04-03,165.72,165.75,164.96,165.34,4452600,163.61
2014-04-02,165.19,165.57,164.75,165.37,5597700,163.64
2014-04-01,164.67,165.31,164.58,164.95,4076100,163.22
2014-03-31,163.72,164.46,163.64,164.24,6368400,162.52
2014-03-28,162.61,163.82,162.32,162.85,4536000,161.14
2014-03-27,162.25,162.68,161.54,162.28,7713700,160.58
2014-03-26,164.07,164.33,162.32,162.33,6133800,160.63
2014-03-25,163.37,163.72,162.57,163.39,5991100,161.68
2014-03-24,163.13,163.46,161.78,162.44,6336000,160.74
2014-03-21,163.47,164.20,162.53,162.63,7629500,160.93
2014-03-20,161.85,163.47,161.48,163.30,6616200,161.31
2014-03-19,163.26,163.57,161.15,162.19,7936400,160.21
2014-03-18,162.69,163.64,162.55,163.28,7094600,161.29
2014-03-17,161.40,162.67,161.33,162.37,6641400,160.39
2014-03-14,160.73,161.60,160.38,160.65,8603100,158.69
2014-03-13,163.74,164.03,160.78,161.05,9500500,159.09
2014-03-12,162.66,163.57,162.47,163.23,5250800,161.24
2014-03-11,164.28,164.49,163.11,163.42,5198700,161.43
2014-03-10,164.05,164.16,163.18,163.99,3995400,161.99
2014-03-07,164.76,164.89,163.81,164.34,7381900,162.34
2014-03-06,163.82,164.31,163.76,164.09,4651800,162.09
2014-03-05,163.78,163.82,163.21,163.35,4968400,161.36
2014-03-04,163.13,164.00,163.05,163.63,7947500,161.63
2014-03-03,161.59,162.19,160.49,161.49,9144400,159.52
2014-02-28,162.56,163.77,162.01,163.02,10010400,161.03
2014-02-27,161.64,162.56,161.37,162.55,5292500,160.57
2014-02-26,161.71,162.26,161.27,161.84,5032900,159.87
2014-02-25,161.74,162.24,161.13,161.50,6067800,159.53
2014-02-24,161.02,162.69,160.97,161.66,6704400,159.69
2014-02-21,161.08,161.62,160.62,160.81,5268200,158.85
2014-02-20,160.56,161.72,160.10,161.31,7035600,158.91
2014-02-19,161.02,162.34,160.38,160.52,8245400,158.14
2014-02-18,161.70,161.76,161.13,161.41,4966400,159.01
2014-02-14,160.08,161.83,159.90,161.59,5824400,159.19
2014-02-13,158.66,160.47,158.61,160.29,5085000,157.91
2014-02-12,160.00,160.45,159.34,159.71,5249600,157.34
2014-02-11,158.06,160.09,157.94,159.76,7620400,157.39
2014-02-10,157.76,157.82,157.13,157.75,4790700,155.41
2014-02-07,156.56,157.80,156.05,157.78,11528500,155.44
2014-02-06,154.70,156.15,154.70,156.14,10426200,153.82
2014-02-05,153.72,154.51,153.12,154.18,11603200,151.89
2014-02-04,153.95,154.53,153.26,154.08,11853400,151.79
2014-02-03,156.57,156.76,153.25,153.53,18172800,151.25
2014-01-31,156.23,157.70,155.85,156.75,10693100,154.42
2014-01-30,158.30,158.77,157.37,158.17,7864700,155.82
2014-01-29,157.66,158.25,156.75,157.10,14271200,154.77
2014-01-28,158.47,159.17,158.28,158.94,8308000,156.58
2014-01-27,158.71,159.11,157.51,158.02,14215300,155.67
2014-01-24,160.71,160.89,158.48,158.48,14663200,156.13
2014-01-23,162.43,162.43,161.07,161.71,9456000,159.31
2014-01-22,163.76,163.80,162.99,163.47,5418100,161.04
2014-01-21,165.03,165.05,162.79,163.73,9675200,161.30
2014-01-17,163.79,164.59,163.61,164.08,8013200,161.64
2014-01-16,164.22,164.33,163.52,163.98,5170900,161.41
2014-01-15,163.66,164.80,163.59,164.57,7780800,161.99
2014-01-14,162.74,163.47,162.37,163.45,7335400,160.89
2014-01-13,163.90,164.28,162.14,162.24,10676100,159.70
2014-01-10,164.56,164.69,163.52,164.18,7497200,161.61
2014-01-09,164.95,164.99,163.52,164.19,8212900,161.62
2014-01-08,164.70,164.83,163.91,164.35,9461800,161.78
2014-01-07,164.66,165.29,164.52,164.97,5387200,162.39
2014-01-06,164.99,165.06,163.71,163.89,7446800,161.32
2014-01-03,164.40,164.87,164.04,164.39,6127600,161.82
2014-01-02,164.79,165.01,163.84,164.11,9291100,161.54
2013-12-31,164.94,165.51,164.81,165.47,5667800,162.88
2013-12-30,164.55,164.68,164.40,164.59,4043600,162.01
2013-12-27,164.76,164.92,164.22,164.47,6176900,161.90
2013-12-26,163.60,164.49,163.58,164.46,4971600,161.89
2013-12-24,162.72,163.26,162.59,163.16,2462000,160.61
2013-12-23,162.57,162.85,162.33,162.62,4992800,160.07
2013-12-20,161.62,162.53,161.61,162.01,7978200,159.47
2013-12-19,161.48,162.01,161.28,161.88,8018300,158.96
2013-12-18,159.16,161.79,158.11,161.76,15330700,158.84
2013-12-17,159.27,159.29,158.39,158.78,6001100,155.91
2013-12-16,158.37,159.37,158.25,158.90,7076500,156.03
2013-12-13,157.54,157.97,157.10,157.65,8886500,154.80
2013-12-12,158.21,158.43,157.07,157.47,7078700,154.63
2013-12-11,159.84,159.90,158.23,158.31,7906700,155.45
2013-12-10,159.77,160.19,159.64,159.72,4047600,156.84
2013-12-09,160.29,160.53,160.11,160.23,3967700,157.34
2013-12-06,159.53,160.18,159.13,160.16,6345300,157.27
2013-12-05,158.45,158.89,158.01,158.12,5823000,155.26
2013-12-04,158.46,159.52,157.83,158.76,7138200,155.89
2013-12-03,159.23,159.62,158.46,158.99,8660700,156.12
2013-12-02,160.76,160.84,159.71,159.92,5655700,157.03
2013-11-29,161.11,161.58,160.58,160.72,2887900,157.82
2013-11-27,160.79,160.94,160.41,160.85,6272800,157.95
2013-11-26,160.54,160.97,160.46,160.50,5231300,157.60
2013-11-25,160.81,160.85,160.30,160.61,5114400,157.71
2013-11-22,159.83,160.43,159.48,160.40,4466400,157.50
2013-11-21,159.29,159.88,159.17,159.86,4579900,156.97
2013-11-20,159.55,159.88,158.35,158.77,8401100,155.90
2013-11-19,159.58,159.93,159.09,159.33,5017300,156.45
2013-11-18,159.71,159.95,159.07,159.44,5236000,156.56
2013-11-15,158.57,159.30,158.48,159.30,6529100,156.42
2013-11-14,158.10,158.81,157.95,158.73,6931000,155.57
2013-11-13,156.52,158.12,156.50,158.06,5062900,154.91
2013-11-12,157.42,157.72,156.87,157.37,4094800,154.24
2013-11-11,157.33,157.73,157.15,157.61,3795200,154.47
2013-11-08,155.66,157.49,155.58,157.49,7594900,154.36
2013-11-07,157.72,157.80,155.68,155.85,10211000,152.75
2013-11-06,156.49,157.29,156.37,157.22,7548400,154.09
2013-11-05,155.28,156.18,154.87,155.89,5442800,152.79
2013-11-04,156.26,156.36,155.53,156.06,4042500,152.95
2013-11-01,155.58,156.15,155.08,155.86,5909900,152.76
2013-10-31,155.61,156.18,155.10,155.29,8157400,152.20
2013-10-30,156.73,156.87,155.37,155.87,6100200,152.77
2013-10-29,155.71,156.50,155.62,156.50,5779100,153.39
2013-10-28,155.20,155.65,154.99,155.37,4968800,152.28
2013-10-25,154.91,155.45,154.79,155.45,4565000,152.36
2013-10-24,154.19,154.95,154.10,154.80,5182600,151.72
2013-10-23,153.81,154.03,153.32,153.82,5428400,150.76
2013-10-22,154.03,154.86,153.82,154.25,7501700,151.18
2013-10-21,153.69,153.76,153.27,153.53,3588300,150.47
2013-10-18,153.66,153.80,152.89,153.60,7714400,150.54
2013-10-17,152.11,153.59,152.05,153.48,9916600,150.26
2013-10-16,152.37,153.56,152.24,153.52,8714800,150.30
2013-10-15,152.60,152.80,151.34,151.34,8144700,148.16
2013-10-14,151.19,152.88,151.08,152.80,6470100,149.59
2013-10-11,150.92,152.22,150.76,152.17,8186000,148.98
2013-10-10,149.14,151.01,149.09,150.96,12792200,147.79
2013-10-09,147.69,148.32,146.96,147.78,11075200,144.68
2013-10-08,149.00,149.14,147.50,147.53,10388000,144.43
2013-10-07,149.12,149.85,148.91,149.00,6081100,145.87
2013-10-04,149.68,150.56,149.43,150.43,6867800,147.27
2013-10-03,150.66,150.76,149.17,149.67,10949200,146.53
2013-10-02,150.90,151.10,150.15,150.98,8895300,147.81
2013-10-01,151.00,151.77,150.77,151.62,8616300,148.44
2013-09-30,150.79,151.54,150.45,151.00,9426100,147.83
2013-09-27,152.30,152.44,151.76,152.21,6634800,149.02
2013-09-26,152.70,153.54,152.47,152.95,5026300,149.74
2013-09-25,153.26,153.39,152.19,152.42,7187200,149.22
2013-09-24,153.74,154.02,152.95,153.06,5774900,149.85
2013-09-23,154.11,154.32,153.32,153.71,8662000,150.48
2013-09-20,156.16,156.19,154.30,154.30,9381000,151.06
2013-09-19,156.87,156.92,156.22,156.32,7626600,152.74
2013-09-18,155.16,157.06,154.65,156.69,9637300,153.10
2013-09-17,155.02,155.51,154.98,155.29,4517600,151.74
2013-09-16,155.33,155.49,154.66,154.94,6569000,151.39
2013-09-13,153.34,153.80,153.21,153.69,4829600,150.17
2013-09-12,153.33,153.41,152.78,153.03,5555700,149.53
2013-09-11,151.82,153.18,151.77,153.15,7044000,149.64
2013-09-10,151.47,151.82,151.10,151.79,7917100,148.32
2013-09-09,149.50,150.78,149.48,150.47,4402500,147.03
2013-09-06,149.70,149.97,147.77,149.09,9001900,145.68
2013-09-05,149.18,149.71,149.02,149.12,6021300,145.71
2013-09-04,148.02,149.41,147.82,149.18,4577700,145.77
2013-09-03,148.88,149.20,147.61,148.11,5430300,144.72
2013-08-30,148.42,148.42,147.43,147.85,6326800,144.47
2013-08-29,148.02,148.98,147.82,148.25,4695500,144.86
2013-08-28,147.42,148.44,147.37,148.04,4842500,144.65
2013-08-27,148.19,148.74,147.41,147.50,11440200,144.12
2013-08-26,149.83,150.27,149.19,149.21,5770200,145.79
2013-08-23,149.59,150.01,149.06,149.83,9601600,146.40
2013-08-22,148.86,149.61,148.77,149.40,4227000,145.98
2013-08-21,149.44,149.92,148.50,148.64,9497100,145.24
2013-08-20,149.91,150.41,149.56,149.75,3845900,146.32
2013-08-19,150.30,150.72,149.66,149.74,4174100,146.31
2013-08-16,150.58,151.06,150.19,150.50,7035200,147.06
2013-08-15,152.10,152.10,150.97,151.12,10021900,147.29
2013-08-14,154.27,154.43,153.11,153.32,6372100,149.43
2013-08-13,154.42,154.97,153.34,154.44,4752500,150.52
2013-08-12,153.45,154.30,153.35,154.03,3697300,150.12
2013-08-09,154.49,154.95,153.33,154.11,4550300,150.20
2013-08-08,155.33,155.45,153.99,154.69,5071200,150.77
2013-08-07,154.32,154.75,154.01,154.54,4341600,150.62
2013-08-06,155.37,155.38,154.41,154.85,3582300,150.92
2013-08-05,155.91,156.01,155.50,155.79,3077100,151.84
2013-08-02,155.47,156.24,155.23,156.20,3620800,152.24
2013-08-01,155.89,156.16,155.67,155.89,4872400,151.94
2013-07-31,155.12,156.03,154.56,154.84,11784600,150.91
2013-07-30,155.40,155.58,154.42,154.91,4211000,150.98
2013-07-29,154.86,155.14,154.45,154.93,2592500,151.00
2013-07-26,154.48,155.25,153.67,155.16,3859300,151.22
2013-07-25,154.54,155.25,154.20,155.12,5483500,151.19
2013-07-24,155.61,155.70,154.61,155.10,3894500,151.17
2013-07-23,155.57,155.67,155.08,155.36,3394100,151.42
2013-07-22,155.12,155.42,154.81,155.11,3165700,151.18
2013-07-19,154.88,155.14,154.57,155.12,4828400,151.19
2013-07-18,154.98,155.74,154.56,155.34,6823000,151.20
2013-07-17,154.64,154.85,154.18,154.44,6504400,150.32
2013-07-16,154.60,154.74,153.93,154.30,3594600,150.19
2013-07-15,154.56,154.87,154.33,154.64,2751600,150.52
2013-07-12,154.42,154.76,153.89,154.17,6349800,150.06
2013-07-11,154.35,154.62,153.71,154.38,5848400,150.26
2013-07-10,152.77,153.29,152.36,152.71,6126900,148.64
2013-07-09,152.71,152.99,152.22,152.79,5200200,148.72
2013-07-08,151.78,152.43,151.68,152.02,4915600,147.97
2013-07-05,150.72,151.09,149.41,151.02,5528500,146.99
2013-07-03,148.42,149.98,148.25,149.54,2589400,145.55
2013-07-02,149.15,150.21,148.40,148.93,4873800,144.96
2013-07-01,149.52,150.50,149.22,149.42,4895800,145.44
2013-06-28,149.32,150.03,148.47,148.55,6719200,144.59
2013-06-27,149.69,150.42,149.55,149.90,6584600,145.90
2013-06-26,148.30,149.07,147.97,148.79,6326000,144.82
2013-06-25,147.41,147.80,146.62,147.30,7592300,143.37
2013-06-24,146.33,147.43,145.17,146.28,14129300,142.38
2013-06-21,148.03,148.28,146.53,147.73,10968600,143.79
2013-06-20,149.84,149.88,147.29,147.58,14309900,143.35
2013-06-19,152.94,153.22,151.05,151.09,9143700,146.76
2013-06-18,151.96,153.36,151.92,153.10,4807900,148.71
2013-06-17,151.63,152.58,151.05,151.78,6693100,147.43
2013-06-14,151.60,152.01,150.39,150.66,4639300,146.34
2013-06-13,149.74,151.99,149.48,151.76,6208200,147.41
2013-06-12,152.18,152.35,149.70,149.86,6901000,145.56
2013-06-11,151.08,152.42,150.70,151.20,7012500,146.87
2013-06-10,152.79,152.88,151.98,152.21,4917900,147.85
2013-06-07,151.16,152.44,150.70,152.32,8087900,147.95
2013-06-06,149.38,150.27,148.31,150.25,15155100,145.94
2013-06-05,151.22,151.43,149.29,149.31,9426900,145.03
2013-06-04,152.26,152.91,150.82,151.64,7956400,147.29
2013-06-03,151.54,152.36,151.10,152.31,10861300,147.94
2013-05-31,152.61,153.73,150.90,151.10,7424700,146.77
2013-05-30,152.86,153.80,152.60,153.10,8231800,148.71
2013-05-29,153.02,153.25,152.02,152.84,7906200,148.46
2013-05-28,154.21,154.98,153.48,153.88,9374100,149.47
2013-05-24,152.16,152.82,151.73,152.77,4535300,148.39
2013-05-23,151.67,153.24,151.55,152.77,10474400,148.39
2013-05-22,153.71,155.14,152.35,152.84,12806500,148.46
2013-05-21,153.28,154.02,152.89,153.51,5734900,149.11
2013-05-20,153.04,153.56,152.82,153.04,4464700,148.65
2013-05-17,152.42,153.24,152.21,153.14,5503200,148.75
2013-05-16,152.64,153.11,152.24,152.45,8194700,147.66
2013-05-15,151.88,153.11,151.86,152.78,5770700,147.98
2013-05-14,150.88,152.17,150.86,152.13,5551900,147.35
2013-05-13,150.75,151.01,150.48,150.86,3841500,146.12
2013-05-10,150.91,151.10,150.29,151.04,4138200,146.30
2013-05-09,150.90,151.37,150.39,150.84,3948500,146.10
2013-05-08,150.13,150.96,150.10,150.94,4087100,146.20
2013-05-07,149.77,150.28,149.44,150.26,5361800,145.54
2013-05-06,149.36,149.60,149.14,149.43,3110600,144.74
2013-05-03,149.26,149.82,149.20,149.36,5929900,144.67
2013-05-02,147.12,148.05,146.91,147.96,4340700,143.31
2013-05-01,147.56,147.81,146.58,146.74,5372800,142.13
2013-04-30,147.87,148.11,147.05,148.02,8065800,143.37
2013-04-29,147.20,148.15,146.91,147.86,6132000,143.22
2013-04-26,146.55,147.15,146.52,146.88,3242600,142.27
2013-04-25,146.64,147.42,146.36,146.76,4160500,142.15
2013-04-24,147.02,147.21,146.39,146.45,4963800,141.85
2013-04-23,146.13,146.90,145.15,146.80,10435300,142.19
2013-04-22,145.38,145.57,144.24,145.32,11711700,140.76
2013-04-19,144.71,145.21,144.36,145.14,6028600,140.58
2013-04-18,146.10,146.12,144.77,145.18,8277100,140.49
2013-04-17,146.55,146.60,145.37,145.95,10757100,141.23
2013-04-16,146.98,147.39,146.37,147.36,6974100,142.59
2013-04-15,147.90,147.93,145.72,145.81,14177400,141.09
2013-04-12,147.99,148.46,147.68,148.42,8710800,143.62
2013-04-11,147.82,148.66,147.63,148.40,6975600,143.60
2013-04-10,146.98,148.06,146.96,147.78,7947100,143.00
2013-04-09,146.08,146.96,145.75,146.51,5492300,141.77
2013-04-08,145.32,145.95,144.76,145.95,3865000,141.23
2013-04-05,144.18,145.51,144.05,145.31,7307400,140.61
2013-04-04,145.36,145.98,145.09,145.77,7520100,141.06
2013-04-03,146.24,146.47,144.95,145.14,7661100,140.45
2013-04-02,145.87,146.50,145.78,146.27,5672300,141.54
2013-04-01,145.30,145.73,144.97,145.38,8621600,140.68
2013-03-28,145.01,145.53,144.84,145.32,4346000,140.62
