Date,Open,High,Low,Close,Volume,Adj Close
2014-10-01,51.76,51.81,51.07,51.11,8265100,51.11
2014-09-30,52.25,52.35,52.04,52.32,4251900,52.32
2014-09-29,52.37,52.63,52.19,52.47,4625900,52.47
2014-09-26,52.65,53.05,52.65,52.87,4280000,52.87
2014-09-25,52.88,52.92,52.06,52.16,6566700,52.16
2014-09-24,52.33,52.70,52.30,52.66,3209200,52.66
2014-09-23,52.11,52.38,52.10,52.21,4807100,52.21
2014-09-22,52.46,52.52,52.26,52.35,4080600,52.35
2014-09-19,52.17,52.28,52.13,52.24,3721000,52.24
2014-09-18,51.91,52.13,51.91,52.10,4688100,52.10
2014-09-17,51.19,51.65,51.13,51.55,3477500,51.55
2014-09-16,51.23,51.57,51.21,51.55,3374400,51.55
2014-09-15,51.35,51.36,51.08,51.28,1884300,51.28
2014-09-12,51.50,51.55,51.29,51.41,4117600,51.41
2014-09-11,51.20,51.49,51.15,51.48,3702800,51.48
2014-09-10,51.29,51.60,51.20,51.59,4424000,51.59
2014-09-09,50.84,50.88,50.57,50.60,2392200,50.60
2014-09-08,50.67,51.06,50.65,51.05,3004500,51.05
2014-09-05,50.43,50.62,50.23,50.60,3369400,50.60
2014-09-04,50.80,51.03,50.76,50.88,3126600,50.88
2014-09-03,50.94,50.98,50.76,50.79,2649600,50.79
2014-09-02,50.87,50.95,50.73,50.81,6009400,50.81
2014-08-29,49.90,49.92,49.71,49.88,1847500,49.88
2014-08-28,49.78,49.94,49.77,49.85,3146200,49.85
2014-08-27,50.09,50.10,49.98,50.05,1658100,50.05
2014-08-26,50.10,50.39,50.09,50.29,2281200,50.29
2014-08-25,50.34,50.43,50.31,50.36,1491000,50.36
2014-08-22,50.17,50.31,50.08,50.26,2030800,50.26
2014-08-21,50.35,50.58,50.31,50.49,3944800,50.49
2014-08-20,49.86,50.27,49.81,50.20,2540900,50.20
2014-08-19,49.92,50.11,49.87,50.08,3876800,50.08
2014-08-18,49.70,49.99,49.70,49.93,3739400,49.93
2014-08-15,49.79,49.83,49.24,49.50,3952500,49.50
2014-08-14,49.46,49.59,49.38,49.56,1600000,49.56
2014-08-13,49.47,49.64,49.42,49.50,2193300,49.50
2014-08-12,49.00,49.14,48.94,49.05,2492700,49.05
2014-08-11,48.93,49.11,48.91,48.99,2650900,48.99
2014-08-08,48.27,48.73,48.06,48.70,6458900,48.70
2014-08-07,49.08,49.09,48.33,48.48,4120700,48.48
2014-08-06,48.59,48.98,48.56,48.79,7593800,48.79
2014-08-05,49.50,49.60,48.96,49.19,6362100,49.19
2014-08-04,49.82,50.03,49.60,49.91,1811900,49.91
2014-08-01,49.80,50.08,49.67,49.80,3937500,49.80
2014-07-31,50.34,50.35,49.95,49.97,5102900,49.97
2014-07-30,50.68,50.95,50.66,50.80,2940100,50.80
2014-07-29,50.40,50.57,50.30,50.35,2954500,50.35
2014-07-28,50.15,50.37,50.00,50.27,3692600,50.27
2014-07-25,50.02,50.07,49.81,49.91,3812100,49.91
2014-07-24,49.89,49.89,49.76,49.77,2173100,49.77
2014-07-23,49.73,49.82,49.59,49.78,1009400,49.78
2014-07-22,49.70,49.81,49.64,49.70,2122500,49.70
2014-07-21,49.37,49.53,49.18,49.47,2016100,49.47
2014-07-18,49.46,49.66,49.40,49.58,2503600,49.58
2014-07-17,49.71,49.83,49.24,49.33,3102300,49.33
2014-07-16,49.90,50.03,49.82,49.93,2745500,49.93
2014-07-15,49.81,49.86,49.55,49.75,2533200,49.75
2014-07-14,49.64,49.70,49.58,49.60,2461500,49.60
2014-07-11,48.98,49.07,48.87,48.97,4212500,48.97
2014-07-10,48.42,48.97,48.39,48.86,27742900,48.86
2014-07-09,49.76,49.90,49.73,49.85,2066500,49.85
2014-07-08,49.73,49.77,49.39,49.48,3256100,49.48
2014-07-07,49.87,49.92,49.67,49.77,2475400,49.77
2014-07-03,50.15,50.27,50.07,50.27,2135600,50.27
2014-07-02,50.10,50.26,50.10,50.24,2311500,50.24
2014-07-01,49.94,50.27,49.92,50.22,3391400,50.22
2014-06-30,49.34,49.47,49.29,49.36,2275800,49.36
2014-06-27,49.10,49.16,48.99,49.16,3040200,49.16
2014-06-26,49.51,49.55,49.21,49.52,2674300,49.52
2014-06-25,49.26,49.81,49.26,49.73,2385100,49.73
2014-06-24,49.80,50.08,49.52,49.62,2504600,49.62
2014-06-23,49.47,49.64,49.37,49.59,3549000,49.59
2014-06-20,50.51,50.68,50.45,50.60,4173200,50.05
2014-06-19,50.06,50.33,50.06,50.30,5157300,49.76
2014-06-18,49.32,49.71,49.24,49.67,5535000,49.13
2014-06-17,49.00,49.23,48.98,49.04,3920800,48.51
2014-06-16,48.75,48.95,48.74,48.94,2350800,48.41
2014-06-13,48.95,48.99,48.84,48.93,2942500,48.40
2014-06-12,48.92,49.00,48.38,48.46,3122100,47.94
2014-06-11,48.58,48.59,48.36,48.49,2546500,47.97
2014-06-10,48.29,48.52,48.19,48.50,2566900,47.98
2014-06-09,48.67,48.94,48.67,48.88,2091300,48.35
2014-06-06,48.82,49.04,48.79,48.97,14718400,48.44
2014-06-05,48.75,48.99,48.45,48.87,2985900,48.34
2014-06-04,48.50,49.02,48.45,48.93,5575600,48.40
2014-06-03,48.39,48.57,48.34,48.56,2919200,48.04
2014-06-02,48.43,48.70,48.20,48.59,4039400,48.07
2014-05-30,47.66,47.84,47.66,47.82,2339500,47.30
2014-05-29,47.68,47.80,47.47,47.80,2352600,47.28
2014-05-28,47.35,47.41,47.17,47.32,1534700,46.81
2014-05-27,47.29,47.58,47.27,47.52,2320300,47.01
2014-05-23,46.89,47.36,46.88,47.29,3765900,46.78
2014-05-22,46.44,46.80,46.43,46.68,2866500,46.18
2014-05-21,45.80,46.13,45.78,45.98,2728800,45.48
2014-05-20,45.70,45.81,45.44,45.54,3180600,45.05
2014-05-19,45.68,46.11,45.55,46.09,2924700,45.59
2014-05-16,46.14,46.20,45.97,46.17,3414800,45.67
2014-05-15,46.50,46.50,45.69,45.97,5157300,45.47
2014-05-14,46.67,46.68,46.34,46.48,2214400,45.98
2014-05-13,46.65,46.93,46.57,46.83,2718800,46.32
2014-05-12,46.00,46.38,46.00,46.33,2407100,45.83
2014-05-09,46.04,46.08,45.82,46.06,3739300,45.56
2014-05-08,45.70,45.96,45.50,45.61,6195000,45.12
2014-05-07,45.65,45.84,45.43,45.83,3336300,45.34
2014-05-06,45.89,45.93,45.69,45.84,2649300,45.35
2014-05-05,46.00,46.28,45.89,46.21,2493000,45.71
2014-05-02,46.79,46.97,46.23,46.38,4895500,45.88
2014-05-01,46.44,46.55,46.33,46.43,3558900,45.93
2014-04-30,45.85,46.11,45.78,46.09,5004300,45.59
2014-04-29,46.42,46.56,46.27,46.42,3018300,45.92
2014-04-28,46.06,46.36,45.88,46.25,5701500,45.75
2014-04-25,46.21,46.25,45.95,46.05,4252600,45.55
2014-04-24,46.31,46.31,45.83,46.27,3629900,45.77
2014-04-23,46.41,46.53,46.34,46.45,1899900,45.95
2014-04-22,46.28,46.54,46.20,46.40,3310500,45.90
2014-04-21,46.53,46.71,46.40,46.65,1900900,46.15
2014-04-17,46.29,46.71,46.24,46.62,3447900,46.12
2014-04-16,46.40,46.49,46.19,46.43,3810700,45.93
2014-04-15,45.46,45.65,44.99,45.60,5687200,45.11
2014-04-14,45.65,45.68,45.18,45.46,5767400,44.97
2014-04-11,44.91,45.23,44.75,44.84,8247100,44.36
2014-04-10,45.68,45.77,44.79,44.88,7234900,44.40
2014-04-09,45.87,46.37,45.74,46.29,8233700,45.79
2014-04-08,45.87,45.99,45.35,45.54,9127200,45.05
2014-04-07,47.25,47.38,47.02,47.08,3274800,46.57
2014-04-04,48.09,48.14,47.25,47.44,4170300,46.93
2014-04-03,48.07,48.15,47.83,47.99,2358800,47.47
2014-04-02,47.77,48.15,47.73,48.13,4685900,47.61
2014-04-01,47.47,47.71,47.39,47.69,5555800,47.18
2014-03-31,47.67,47.79,47.31,47.34,4126500,46.83
2014-03-28,46.97,47.37,46.91,47.04,7518200,46.53
2014-03-27,46.30,46.46,46.10,46.34,5746900,45.84
2014-03-26,46.12,46.31,45.57,45.60,5379500,45.11
2014-03-25,45.61,45.69,45.34,45.43,7793500,44.94
2014-03-24,45.48,45.49,45.02,45.21,4954400,44.72
2014-03-21,45.58,45.68,45.00,45.07,5966400,44.58
2014-03-20,45.29,45.47,45.09,45.29,5029700,44.80
2014-03-19,45.79,46.11,45.51,45.95,6026700,45.45
2014-03-18,45.48,45.91,45.43,45.64,4595400,45.15
2014-03-17,45.60,45.79,45.50,45.73,5400700,45.24
2014-03-14,45.07,45.49,44.90,45.19,8798500,44.70
2014-03-13,47.06,47.10,45.55,45.80,10651100,45.31
2014-03-12,46.87,47.32,46.75,47.17,6102300,46.66
2014-03-11,48.13,48.15,47.55,47.70,4732800,47.19
2014-03-10,48.24,48.36,48.07,48.32,3350500,47.80
2014-03-07,48.73,48.77,48.15,48.51,5780000,47.99
2014-03-06,48.58,48.66,48.39,48.54,6845400,48.02
2014-03-05,47.60,47.76,47.50,47.50,3672600,46.99
2014-03-04,47.78,47.98,47.70,47.90,9901200,47.38
2014-03-03,46.62,46.79,46.22,46.44,8140500,45.94
2014-02-28,47.69,48.06,47.44,47.71,4872500,47.20
2014-02-27,47.32,47.67,47.18,47.61,6174400,47.10
2014-02-26,47.77,47.90,47.47,47.60,8917900,47.09
2014-02-25,47.98,48.03,47.55,47.80,5162800,47.28
2014-02-24,47.87,48.44,47.87,48.16,5255300,47.64
2014-02-21,47.97,48.03,47.62,47.62,4205400,47.11
2014-02-20,47.08,47.28,46.79,47.18,5379100,46.67
2014-02-19,47.63,47.91,47.31,47.37,5995300,46.86
2014-02-18,47.79,48.04,47.59,47.88,5797100,47.36
2014-02-14,46.54,46.94,46.40,46.85,4397400,46.34
2014-02-13,46.36,47.36,46.29,47.22,5631600,46.71
2014-02-12,47.52,47.76,47.42,47.63,6067300,47.12
2014-02-11,46.92,47.77,46.88,47.58,6646400,47.07
2014-02-10,46.84,46.93,46.54,46.78,4948800,46.28
2014-02-07,46.75,47.25,46.53,47.00,7115000,46.49
2014-02-06,45.35,46.24,45.35,46.13,7682800,45.63
2014-02-05,45.30,45.50,44.90,45.35,6626000,44.86
2014-02-04,44.77,45.48,44.66,45.45,12552500,44.96
2014-02-03,46.12,46.29,45.04,45.17,15884900,44.68
2014-01-31,46.50,47.05,46.32,46.61,12496500,46.11
2014-01-30,47.89,48.16,47.64,47.97,6181200,47.45
2014-01-29,47.36,47.71,47.15,47.48,10950000,46.97
2014-01-28,47.60,48.01,47.52,47.95,7364500,47.43
2014-01-27,47.77,47.94,46.86,47.52,11432300,47.01
2014-01-24,48.07,48.28,47.69,47.70,10985600,47.19
2014-01-23,49.60,49.60,48.64,48.97,8325500,48.44
2014-01-22,50.42,50.45,50.17,50.43,5622100,49.89
2014-01-21,50.38,50.43,49.99,50.41,11395000,49.87
2014-01-17,50.22,50.32,50.08,50.18,4825600,49.64
2014-01-16,49.81,50.00,49.67,49.97,4061600,49.43
2014-01-15,49.96,50.22,49.87,50.22,5861000,49.68
2014-01-14,49.22,49.79,49.09,49.67,4794900,49.13
2014-01-13,49.24,49.46,48.86,49.06,9357300,48.53
2014-01-10,50.00,50.03,49.59,49.96,4869400,49.42
2014-01-09,50.07,50.17,49.79,49.98,6708700,49.44
2014-01-08,50.25,50.36,50.11,50.22,7413800,49.68
2014-01-07,49.68,49.95,49.63,49.86,5948200,49.32
2014-01-06,49.94,49.94,49.19,49.44,7748700,48.91
2014-01-03,49.68,49.96,49.59,49.94,3420400,49.40
2014-01-02,50.39,50.44,49.70,49.79,6761800,49.25
2013-12-31,50.62,50.84,50.54,50.84,4170300,50.29
2013-12-30,50.66,50.70,50.53,50.65,3872000,50.10
2013-12-27,50.18,50.28,50.01,50.20,5055200,49.66
2013-12-26,49.75,49.87,49.68,49.76,4428500,49.22
2013-12-24,49.10,49.10,48.76,48.86,2432600,48.33
2013-12-23,50.17,50.42,50.11,50.34,4440500,48.82
2013-12-20,49.92,50.05,49.86,50.00,6311600,48.49
2013-12-19,49.93,50.00,49.77,49.92,5195600,48.41
2013-12-18,49.53,50.37,49.28,50.35,8640500,48.83
2013-12-17,48.94,48.94,48.64,48.80,5400000,47.32
2013-12-16,48.88,49.10,48.86,49.02,4090500,47.54
2013-12-13,49.38,49.45,49.14,49.37,4546400,47.87
2013-12-12,49.50,49.87,49.39,49.74,4210800,48.23
2013-12-11,49.68,49.81,49.20,49.32,4540600,47.83
2013-12-10,49.67,49.92,49.63,49.88,3692300,48.37
2013-12-09,50.07,50.21,49.92,50.11,5354700,48.59
2013-12-06,49.64,49.92,49.53,49.87,5308500,48.36
2013-12-05,48.89,49.01,48.52,48.71,5036900,47.23
2013-12-04,49.20,49.61,48.83,49.39,5895400,47.89
2013-12-03,49.75,49.94,49.45,49.80,5725700,48.29
2013-12-02,50.46,50.64,50.32,50.39,5295900,48.86
2013-11-29,50.30,50.43,50.26,50.31,3022900,48.79
2013-11-27,49.87,50.13,49.81,50.10,4535600,48.58
2013-11-26,49.53,49.59,49.42,49.51,3420200,48.01
2013-11-25,50.01,50.02,49.63,49.71,5398700,48.20
2013-11-22,49.83,50.14,49.75,50.12,6044700,48.60
2013-11-21,50.00,50.16,49.94,50.09,5950200,48.57
2013-11-20,49.35,49.64,49.23,49.33,5143800,47.84
2013-11-19,49.29,49.61,49.10,49.40,4401000,47.90
2013-11-18,49.56,49.81,49.26,49.46,4498300,47.96
2013-11-15,49.66,49.84,49.60,49.74,7083600,48.23
2013-11-14,49.03,49.20,48.91,49.08,7683900,47.59
2013-11-13,47.98,48.49,47.92,48.46,3714600,46.99
2013-11-12,47.99,48.10,47.81,48.08,6730300,46.62
2013-11-11,47.36,47.55,47.25,47.42,2154200,45.98
2013-11-08,46.81,47.40,46.79,47.39,4180800,45.95
2013-11-07,47.49,47.52,45.98,46.32,8294100,44.92
2013-11-06,47.43,47.56,47.41,47.49,6844100,46.05
2013-11-05,46.91,47.04,46.75,46.87,5778200,45.45
2013-11-04,47.34,47.51,47.18,47.48,3020800,46.04
2013-11-01,47.23,47.47,47.15,47.46,3738100,46.02
2013-10-31,47.67,47.96,47.58,47.73,4095900,46.28
2013-10-30,48.00,48.16,47.75,48.11,5245200,46.65
2013-10-29,47.60,47.92,47.55,47.90,3382200,46.45
2013-10-28,47.53,47.55,47.30,47.34,5305300,45.91
2013-10-25,47.18,47.20,46.80,47.05,7846200,45.63
2013-10-24,47.52,47.74,47.42,47.52,4936200,46.08
2013-10-23,47.25,47.25,46.92,47.15,6528600,45.72
2013-10-22,48.50,48.69,48.40,48.48,5054900,47.01
2013-10-21,48.27,48.39,48.21,48.36,3570600,46.90
2013-10-18,48.14,48.29,48.04,48.20,4810600,46.74
2013-10-17,47.91,48.27,47.86,48.20,4395900,46.74
2013-10-16,47.84,48.37,47.77,48.35,3486800,46.89
2013-10-15,47.82,48.06,47.43,47.65,4747300,46.21
2013-10-14,47.65,48.49,47.56,48.30,2920100,46.84
2013-10-11,47.69,48.21,47.69,48.21,5415800,46.75
2013-10-10,47.54,48.04,47.51,47.91,8132000,46.46
2013-10-09,46.54,46.83,46.10,46.72,6216800,45.31
2013-10-08,45.78,45.78,45.30,45.31,4472300,43.94
2013-10-07,45.50,45.90,45.40,45.50,5125500,44.12
2013-10-04,46.11,46.77,46.00,46.72,3915800,45.31
2013-10-03,46.73,46.80,46.05,46.40,4548800,44.99
2013-10-02,46.69,46.95,46.30,46.91,6155100,45.49
2013-10-01,47.31,47.81,47.21,47.43,10093200,45.99
2013-09-30,47.42,48.08,47.25,47.93,6234200,46.48
2013-09-27,48.28,48.41,48.01,48.22,6052300,46.76
2013-09-26,48.73,49.09,48.73,49.05,5523700,47.56
2013-09-25,48.20,48.35,48.08,48.12,3894300,46.66
2013-09-24,48.37,48.65,48.22,48.41,2943900,46.94
2013-09-23,48.32,48.41,47.97,48.26,3370900,46.80
2013-09-20,48.71,48.80,48.38,48.44,4812900,46.97
2013-09-19,48.86,49.04,48.55,48.81,8950800,47.33
2013-09-18,47.70,48.54,47.56,48.43,6297300,46.96
2013-09-17,47.23,47.66,47.22,47.64,3095900,46.20
2013-09-16,47.51,47.75,47.34,47.55,5820600,46.11
2013-09-13,47.12,47.20,46.92,47.13,3783900,45.70
2013-09-12,47.05,47.07,46.53,46.90,5726500,45.48
2013-09-11,47.15,47.45,47.03,47.36,3898000,45.93
2013-09-10,47.76,47.96,47.66,47.89,4206200,46.44
2013-09-09,46.75,47.33,46.73,47.32,5096200,45.89
2013-09-06,45.88,46.25,45.38,46.00,3063800,44.61
2013-09-05,45.97,46.38,45.91,46.31,2206500,44.91
2013-09-04,45.74,46.38,45.65,46.14,3859300,44.74
2013-09-03,45.63,45.84,45.17,45.48,6537900,44.10
2013-08-30,44.10,44.17,43.75,43.83,4368200,42.50
2013-08-29,44.80,45.18,44.74,44.78,4553700,43.42
2013-08-28,44.42,44.72,44.33,44.56,9419500,43.21
2013-08-27,44.68,44.80,44.06,44.19,12187400,42.85
2013-08-26,45.41,45.71,45.18,45.23,7430100,43.86
2013-08-23,45.94,46.09,45.74,45.97,4284500,44.58
2013-08-22,45.20,45.52,45.16,45.25,6210100,43.88
2013-08-21,44.71,44.86,44.31,44.49,4336300,43.14
2013-08-20,44.69,44.97,44.54,44.76,7138200,43.40
2013-08-19,45.92,46.09,45.33,45.39,4171200,44.02
2013-08-16,45.65,46.06,45.58,45.67,3677400,44.29
2013-08-15,46.31,46.39,45.50,45.54,5608000,44.16
2013-08-14,46.79,46.82,46.44,46.54,3511500,45.13
2013-08-13,46.71,46.90,46.25,46.81,3253800,45.39
2013-08-12,45.58,45.84,45.53,45.80,4533100,44.41
2013-08-09,45.50,45.68,45.17,45.27,4996400,43.90
2013-08-08,45.31,45.72,44.80,45.56,6194700,44.18
2013-08-07,46.00,46.13,45.58,45.62,8149000,44.24
2013-08-06,47.25,47.32,46.85,47.02,3768500,45.60
2013-08-05,47.13,47.37,47.00,47.14,3805500,45.71
2013-08-02,47.16,47.46,46.78,47.29,5570800,45.86
2013-08-01,46.85,47.08,46.79,46.87,7471700,45.45
2013-07-31,45.15,45.36,44.96,45.12,8900700,43.75
2013-07-30,45.41,45.66,45.15,45.19,4288300,43.82
2013-07-29,45.00,45.12,44.65,44.78,6885600,43.42
2013-07-26,46.30,46.37,45.78,46.05,13344500,44.66
2013-07-25,47.47,47.74,47.38,47.49,8739500,46.05
