Date,Open,High,Low,Close,Volume,Adj Close
2014-10-01,41.34,41.38,40.70,40.71,109933300,40.71
2014-09-30,41.45,41.64,41.36,41.56,87314500,41.56
2014-09-29,41.37,41.77,41.36,41.56,74208400,41.56
2014-09-26,42.27,42.57,42.21,42.42,54551800,42.42
2014-09-25,42.51,42.53,42.12,42.23,68810700,42.23
2014-09-24,42.87,43.26,42.66,43.17,55205500,43.17
2014-09-23,42.70,42.90,42.50,42.56,82990700,42.56
2014-09-22,43.08,43.13,42.61,42.80,83069600,42.80
2014-09-19,43.92,43.97,43.35,43.46,88033100,43.46
2014-09-18,43.87,43.95,43.73,43.79,50513900,43.79
2014-09-17,44.20,44.27,43.72,43.73,76121700,43.73
2014-09-16,43.53,44.44,43.50,44.14,97318600,44.14
2014-09-15,43.66,43.71,43.44,43.57,68507800,43.57
2014-09-12,43.99,44.00,43.64,43.79,85785600,43.79
2014-09-11,44.25,44.33,44.19,44.26,70622500,44.26
2014-09-10,44.33,44.64,44.23,44.56,57439600,44.56
2014-09-09,45.04,45.14,44.56,44.75,85940600,44.75
2014-09-08,45.68,45.72,45.22,45.31,50222700,45.31
2014-09-05,45.54,45.85,45.42,45.85,53035700,45.85
2014-09-04,45.73,45.83,45.34,45.46,41676700,45.46
2014-09-03,45.75,45.79,45.50,45.58,51700200,45.58
2014-09-02,45.05,45.06,44.88,44.99,48129000,44.99
2014-08-29,45.17,45.24,45.00,45.06,39791500,45.06
2014-08-28,44.99,45.18,44.94,45.13,38157700,45.13
2014-08-27,45.44,45.58,45.34,45.58,34239100,45.58
2014-08-26,45.17,45.38,45.15,45.35,45918400,45.35
2014-08-25,44.87,45.10,44.81,45.08,31989900,45.08
2014-08-22,44.92,44.99,44.58,44.75,45995800,44.75
2014-08-21,44.96,45.04,44.81,44.87,35476300,44.87
2014-08-20,44.94,45.14,44.86,45.06,30889600,45.06
2014-08-19,44.98,45.17,44.96,45.15,33591600,45.15
2014-08-18,44.74,44.94,44.64,44.94,38360500,44.94
2014-08-15,44.73,44.83,44.28,44.51,66006100,44.51
2014-08-14,44.59,44.71,44.53,44.63,33152100,44.63
2014-08-13,44.67,44.78,44.44,44.56,49491900,44.56
2014-08-12,44.09,44.33,44.04,44.32,36823500,44.32
2014-08-11,43.92,44.31,43.89,44.27,49923100,44.27
2014-08-08,43.51,43.78,43.33,43.71,53612400,43.71
2014-08-07,43.59,43.62,43.14,43.32,77763500,43.32
2014-08-06,43.55,43.73,43.44,43.49,63560700,43.49
2014-08-05,44.02,44.14,43.65,43.79,67276000,43.79
2014-08-04,44.26,44.57,44.08,44.47,43918900,44.47
2014-08-01,43.95,44.18,43.65,44.06,108800800,44.06
2014-07-31,44.06,44.15,43.66,43.82,88181200,43.82
2014-07-30,45.01,45.05,44.39,44.60,54177600,44.60
2014-07-29,45.13,45.13,44.79,44.82,35722000,44.82
2014-07-28,44.84,45.11,44.76,45.09,38243200,45.09
2014-07-25,44.75,44.83,44.64,44.78,34409200,44.78
2014-07-24,44.82,45.00,44.77,44.96,31503700,44.96
2014-07-23,44.82,44.82,44.66,44.76,29647900,44.76
2014-07-22,44.80,44.83,44.70,44.72,43480300,44.72
2014-07-21,43.94,44.40,43.92,44.31,56034400,44.31
2014-07-18,44.10,44.26,43.94,44.16,51870700,44.16
2014-07-17,44.00,44.08,43.40,43.48,66994900,43.48
2014-07-16,44.42,44.47,44.25,44.31,26424000,44.31
2014-07-15,44.27,44.32,43.99,44.20,38034000,44.20
2014-07-14,44.15,44.24,44.07,44.23,23136700,44.23
2014-07-11,43.76,43.97,43.73,43.89,32082600,43.89
2014-07-10,43.54,43.96,43.43,43.94,43704000,43.94
2014-07-09,43.95,44.23,43.90,44.18,29892600,44.18
2014-07-08,44.10,44.13,43.84,43.93,29106700,43.93
2014-07-07,44.07,44.16,43.98,44.13,26962800,44.13
2014-07-03,43.80,44.19,43.77,44.16,26627100,44.16
2014-07-02,43.82,43.92,43.79,43.90,35955800,43.90
2014-07-01,43.55,43.68,43.53,43.64,42207300,43.64
2014-06-30,43.37,43.42,43.20,43.23,34343200,43.23
2014-06-27,43.25,43.38,43.12,43.35,21988900,43.35
2014-06-26,43.32,43.32,43.10,43.25,21873800,43.25
2014-06-25,43.13,43.24,43.00,43.20,35940200,43.20
2014-06-24,43.59,43.89,43.36,43.45,49441000,43.11
2014-06-23,43.53,43.55,43.32,43.47,27608300,43.13
2014-06-20,43.50,43.59,43.40,43.56,36744000,43.22
2014-06-19,43.76,43.84,43.52,43.65,48497900,43.31
2014-06-18,43.32,43.93,43.19,43.90,62131500,43.56
2014-06-17,43.36,43.44,43.24,43.42,35013500,43.08
2014-06-16,43.48,43.52,43.28,43.41,32040700,43.07
2014-06-13,43.44,43.65,43.35,43.61,27554000,43.27
2014-06-12,43.87,43.91,43.45,43.59,40265500,43.25
2014-06-11,43.69,43.88,43.68,43.80,44721500,43.46
2014-06-10,43.77,43.98,43.71,43.95,31573300,43.61
2014-06-09,43.51,43.78,43.51,43.72,38995600,43.38
2014-06-06,43.48,43.66,43.41,43.56,45429100,43.22
2014-06-05,43.07,43.20,42.90,43.13,41040500,42.79
2014-06-04,42.63,42.76,42.56,42.68,25656100,42.35
2014-06-03,42.73,43.04,42.72,42.92,38021700,42.58
2014-06-02,42.73,42.82,42.65,42.68,33550800,42.35
2014-05-30,42.87,42.92,42.46,42.55,72201700,42.22
2014-05-29,43.13,43.21,43.02,43.14,28979600,42.80
2014-05-28,42.99,43.11,42.84,43.02,45095400,42.68
2014-05-27,42.96,43.03,42.63,42.77,40155800,42.43
2014-05-23,43.16,43.29,43.12,43.14,55456100,42.80
2014-05-22,43.13,43.22,43.04,43.22,51415000,42.88
2014-05-21,42.82,42.94,42.79,42.92,50661300,42.58
2014-05-20,42.78,42.88,42.48,42.59,63707800,42.26
2014-05-19,42.88,43.00,42.84,42.94,32471500,42.60
2014-05-16,42.74,43.00,42.62,42.94,70419600,42.60
2014-05-15,42.72,42.73,42.23,42.38,56308800,42.05
2014-05-14,42.72,42.92,42.66,42.78,57544700,42.44
2014-05-13,42.39,42.66,42.33,42.48,53342400,42.15
2014-05-12,42.23,42.35,42.07,42.32,63396500,41.99
2014-05-09,41.73,41.83,41.56,41.62,43953000,41.29
2014-05-08,41.91,42.04,41.69,41.69,49820300,41.36
2014-05-07,41.45,41.80,41.38,41.79,43226500,41.46
2014-05-06,41.42,41.81,41.40,41.57,41163100,41.24
2014-05-05,41.32,41.42,41.20,41.38,26894600,41.06
2014-05-02,41.30,41.73,41.27,41.61,63037500,41.28
2014-05-01,41.28,41.48,41.08,41.38,31161300,41.06
2014-04-30,41.09,41.33,41.04,41.33,49063100,41.01
2014-04-29,41.28,41.57,41.26,41.41,71181600,41.09
2014-04-28,40.87,41.16,40.67,41.02,64020600,40.70
2014-04-25,40.84,40.85,40.54,40.82,72613500,40.50
2014-04-24,41.37,41.39,41.02,41.38,39310800,41.06
2014-04-23,41.44,41.46,41.10,41.34,58299300,41.02
2014-04-22,41.80,41.86,41.62,41.64,43060000,41.31
2014-04-21,41.95,41.96,41.64,41.75,29288500,41.42
2014-04-17,41.67,42.15,41.55,42.01,69955200,41.68
2014-04-16,41.31,41.67,41.21,41.63,64113100,41.30
2014-04-15,41.48,41.51,40.60,41.11,155302100,40.79
2014-04-14,41.96,41.97,41.53,41.74,44883400,41.41
2014-04-11,41.54,41.89,41.53,41.83,76310100,41.50
2014-04-10,42.27,42.42,41.78,41.83,74792500,41.50
2014-04-09,42.01,42.47,41.73,42.28,71617000,41.95
2014-04-08,42.06,42.26,41.82,41.96,107043300,41.63
2014-04-07,41.34,41.59,41.24,41.48,60586200,41.15
2014-04-04,41.85,42.13,41.24,41.30,127800700,40.98
2014-04-03,41.38,41.44,41.00,41.41,84659200,41.09
2014-04-02,41.33,41.61,41.27,41.57,44076300,41.24
2014-04-01,41.40,41.49,41.24,41.49,65717300,41.16
2014-03-31,40.99,41.25,40.97,41.01,75256100,40.69
2014-03-28,40.78,41.02,40.69,40.74,67464400,40.42
2014-03-27,40.05,40.48,40.03,40.42,73438700,40.10
2014-03-26,40.16,40.29,39.88,39.90,91289900,39.59
2014-03-25,39.76,39.96,39.64,39.81,93531000,39.50
2014-03-24,39.33,39.45,39.09,39.36,54328100,39.05
2014-03-21,39.00,39.45,38.93,38.98,86969000,38.67
2014-03-20,38.31,38.82,38.17,38.74,60572300,38.44
2014-03-19,39.13,39.31,38.40,38.57,95953000,38.27
2014-03-18,38.96,39.43,38.93,39.41,68135000,39.10
2014-03-17,38.74,38.96,38.74,38.87,57492000,38.56
2014-03-14,38.25,38.62,38.25,38.40,64589800,38.10
2014-03-13,38.98,39.00,38.03,38.19,79967400,37.89
2014-03-12,38.58,38.93,38.46,38.89,56882800,38.58
2014-03-11,39.31,39.43,38.71,38.81,72692600,38.51
2014-03-10,39.26,39.27,38.92,39.25,57747100,38.94
2014-03-07,39.85,39.87,39.28,39.52,66565600,39.21
2014-03-06,39.83,40.22,39.82,40.03,86027600,39.72
2014-03-05,39.32,39.53,39.25,39.47,42856900,39.16
2014-03-04,39.53,39.59,39.27,39.44,63103000,39.13
2014-03-03,38.72,38.94,38.49,38.78,98832200,38.48
2014-02-28,39.78,39.84,39.22,39.48,88240700,39.17
2014-02-27,39.36,39.82,39.28,39.75,67962200,39.44
2014-02-26,39.20,39.28,38.85,39.01,59122600,38.70
2014-02-25,39.35,39.44,38.87,38.98,77028600,38.67
2014-02-24,39.39,39.78,39.34,39.43,58971200,39.12
2014-02-21,39.37,39.59,39.28,39.43,66907700,39.12
2014-02-20,38.98,39.25,38.74,39.16,71686300,38.85
2014-02-19,39.14,39.46,38.93,39.02,101924800,38.71
2014-02-18,39.64,39.72,39.27,39.29,69542600,38.98
2014-02-14,39.45,39.87,39.38,39.66,69806400,39.35
2014-02-13,38.57,39.21,38.57,39.18,50414900,38.87
2014-02-12,39.39,39.58,39.02,39.14,68705700,38.83
2014-02-11,38.51,39.22,38.50,39.13,93164800,38.82
2014-02-10,38.56,38.59,38.13,38.30,68839500,38.00
2014-02-07,38.81,38.92,38.52,38.73,80356700,38.43
2014-02-06,37.99,38.57,37.99,38.51,99403100,38.21
2014-02-05,37.70,37.96,37.45,37.72,86064900,37.42
2014-02-04,37.72,38.09,37.62,37.86,138955500,37.56
2014-02-03,37.86,37.92,37.05,37.11,123117200,36.82
2014-01-31,37.68,38.27,37.58,38.19,102329500,37.89
2014-01-30,38.32,38.41,37.99,38.13,84660600,37.83
2014-01-29,37.83,38.20,37.59,37.78,142219100,37.48
2014-01-28,38.34,38.50,38.20,38.33,86568700,38.03
2014-01-27,38.29,38.37,37.77,38.09,118532300,37.79
2014-01-24,38.75,38.78,38.20,38.24,127153900,37.94
2014-01-23,39.77,39.77,38.99,39.27,109930400,38.96
2014-01-22,40.06,40.27,39.88,40.26,56188400,39.94
2014-01-21,40.00,40.05,39.56,39.73,46683100,39.42
2014-01-17,39.97,39.98,39.74,39.79,61288200,39.48
2014-01-16,40.16,40.26,39.90,39.99,56673900,39.68
2014-01-15,40.19,40.31,40.12,40.21,47361900,39.89
2014-01-14,40.01,40.34,39.83,40.22,75830700,39.90
2014-01-13,40.35,40.40,39.68,39.79,62209500,39.48
2014-01-10,39.80,40.42,39.79,40.27,110244200,39.95
2014-01-09,39.65,39.72,39.26,39.57,74405200,39.26
2014-01-08,39.97,40.01,39.66,39.78,63182600,39.47
2014-01-07,39.95,40.09,39.79,39.91,57341500,39.60
2014-01-06,39.96,39.96,39.73,39.74,55735100,39.43
2014-01-03,40.39,40.40,39.94,40.12,83579700,39.81
2014-01-02,41.00,41.01,40.15,40.19,138488400,39.87
2013-12-31,41.58,41.85,41.50,41.80,38839400,41.47
2013-12-30,41.36,41.54,41.31,41.48,39861800,41.15
2013-12-27,41.09,41.31,41.03,41.30,35691100,40.98
2013-12-26,40.85,40.91,40.65,40.67,24739900,40.35
