Date,Open,High,Low,Close,Volume,Adj Close
2014-10-01,99.21,99.73,96.15,96.85,5856700,96.85
2014-09-30,101.85,101.85,97.45,99.02,6422700,99.02
2014-09-29,100.80,102.06,100.10,101.87,4300400,101.87
2014-09-26,100.37,102.41,100.21,101.88,3327500,101.88
2014-09-25,102.64,102.70,100.14,100.36,3588900,100.36
2014-09-24,100.94,102.87,99.55,102.14,4584400,102.14
2014-09-23,101.55,101.63,100.45,100.84,5577300,100.84
2014-09-22,103.82,103.86,100.57,101.74,4423800,101.74
2014-09-19,105.24,105.90,103.96,104.37,6346200,104.37
2014-09-18,105.82,105.99,104.21,104.98,3003200,104.98
2014-09-17,105.65,106.09,104.52,105.19,3689600,105.19
2014-09-16,102.33,105.90,101.75,105.22,4116100,105.22
2014-09-15,100.80,102.41,100.12,101.91,3055400,101.91
2014-09-12,102.50,102.57,101.03,101.32,3683100,101.32
2014-09-11,100.93,103.13,100.50,103.06,4596100,103.06
2014-09-10,100.93,102.14,99.33,102.01,3713700,102.01
2014-09-09,101.63,102.49,100.82,101.31,3625500,101.31
2014-09-08,104.07,104.07,100.75,101.41,5549200,101.41
2014-09-05,104.35,105.29,103.05,105.18,3235500,105.18
2014-09-04,107.76,107.99,103.97,104.61,3937200,104.61
2014-09-03,108.85,109.08,107.46,107.74,1479100,107.74
2014-09-02,109.57,109.85,107.08,107.71,2755100,107.71
2014-08-29,108.80,109.98,108.37,109.88,1802700,109.88
2014-08-28,108.32,109.08,108.10,108.39,1756800,108.39
2014-08-27,109.43,109.45,108.07,108.61,1996700,108.61
2014-08-26,108.86,110.47,108.50,109.40,3283200,109.40
2014-08-25,106.93,108.25,106.60,107.94,1932600,107.94
2014-08-22,106.59,106.84,105.61,106.27,2075400,106.27
2014-08-21,107.50,107.52,106.02,107.19,2138800,107.19
2014-08-20,107.09,107.45,106.10,107.28,2185900,107.28
2014-08-19,106.10,107.35,105.66,107.03,3145300,107.03
2014-08-18,106.65,106.91,104.66,105.43,3275500,105.43
2014-08-15,103.97,106.42,103.67,106.09,4557700,106.09
2014-08-14,107.22,107.23,103.57,103.93,3490700,103.93
2014-08-13,107.66,107.88,106.22,106.35,2337400,106.35
2014-08-12,107.89,108.49,106.34,106.69,3265800,106.69
2014-08-11,108.72,109.00,107.92,108.30,2760600,108.30
2014-08-08,106.07,107.90,106.07,107.78,2354100,107.78
2014-08-07,107.63,107.63,105.40,106.06,2977200,106.06
2014-08-06,107.03,108.51,105.63,106.64,5007700,106.64
2014-08-05,111.81,111.81,107.51,108.63,4848700,108.63
2014-08-04,108.74,112.12,108.08,111.81,3002600,111.81
2014-08-01,108.65,109.81,107.16,108.04,3966400,108.04
2014-07-31,112.84,113.09,109.37,109.44,4162500,109.44
2014-07-30,114.83,115.44,113.36,113.63,1778300,113.63
2014-07-29,113.27,115.33,113.19,114.24,2502800,114.24
2014-07-28,114.82,115.02,113.00,113.39,2993500,113.39
2014-07-25,115.58,115.86,114.40,114.82,1981100,114.82
2014-07-24,116.48,116.93,115.70,116.20,2864400,116.20
2014-07-23,116.70,116.70,115.30,115.95,3621600,115.95
2014-07-22,116.75,117.62,115.80,116.55,2600600,116.55
2014-07-21,115.86,116.43,115.12,116.15,1595000,116.15
2014-07-18,115.36,116.39,114.34,116.04,2605200,116.04
2014-07-17,117.48,118.81,115.35,115.55,2286700,115.55
2014-07-16,114.62,117.28,114.17,117.10,3181000,117.10
2014-07-15,114.91,115.62,112.64,113.44,3367700,113.44
2014-07-14,114.65,116.05,114.31,115.69,2956100,115.57
2014-07-11,115.74,115.74,113.39,113.65,2482100,113.53
2014-07-10,114.88,115.88,113.76,114.96,2212700,114.84
2014-07-09,116.10,116.63,115.19,116.56,1938800,116.43
