Date,Open,High,Low,Close,Volume,Adj Close
2014-10-01,11.66,11.66,11.55,11.58,30756400,11.58
2014-09-30,11.76,11.78,11.71,11.77,37362200,11.77
2014-09-29,11.80,11.85,11.79,11.84,32293000,11.84
2014-09-26,11.89,11.96,11.89,11.91,16700900,11.91
2014-09-25,11.91,11.92,11.79,11.82,26506100,11.82
2014-09-24,11.82,11.89,11.81,11.85,37378200,11.85
2014-09-23,11.79,11.82,11.76,11.78,32685200,11.78
2014-09-22,11.82,11.83,11.79,11.80,27137600,11.80
2014-09-19,11.83,11.83,11.79,11.81,26259200,11.81
2014-09-18,11.77,11.80,11.76,11.79,20678100,11.79
2014-09-17,11.73,11.77,11.65,11.72,31109300,11.72
2014-09-16,11.76,11.85,11.76,11.82,11661500,11.82
2014-09-15,11.78,11.80,11.75,11.80,15720100,11.80
2014-09-12,11.82,11.82,11.75,11.79,22315200,11.79
2014-09-11,11.80,11.83,11.78,11.83,16079500,11.83
2014-09-10,11.84,11.88,11.81,11.86,18511200,11.86
2014-09-09,11.75,11.75,11.69,11.73,21379700,11.73
2014-09-08,11.83,11.87,11.81,11.83,17494500,11.83
2014-09-05,11.81,11.85,11.78,11.84,16769100,11.84
2014-09-04,11.89,11.94,11.86,11.89,20298100,11.89
2014-09-03,11.96,11.96,11.91,11.93,14792300,11.93
2014-09-02,11.97,11.97,11.90,11.92,53004700,11.92
2014-08-29,11.82,11.82,11.78,11.80,31640100,11.80
2014-08-28,11.80,11.84,11.80,11.82,9220200,11.82
2014-08-27,11.88,11.88,11.84,11.85,14575700,11.85
2014-08-26,11.89,11.92,11.88,11.90,15856600,11.90
2014-08-25,11.94,11.98,11.94,11.96,37330500,11.96
2014-08-22,11.92,11.94,11.90,11.92,12287500,11.92
2014-08-21,11.99,12.03,11.99,12.01,19686700,12.01
2014-08-20,11.90,11.96,11.90,11.95,12837600,11.95
2014-08-19,12.00,12.03,11.99,12.02,8160400,12.02
2014-08-18,11.98,12.02,11.97,12.01,28098100,12.01
2014-08-15,11.98,11.99,11.90,11.97,20835200,11.97
2014-08-14,11.94,11.96,11.91,11.95,12504600,11.95
2014-08-13,11.93,11.96,11.91,11.93,12980800,11.93
2014-08-12,11.84,11.86,11.81,11.83,17080600,11.83
2014-08-11,11.84,11.87,11.83,11.85,23963300,11.85
2014-08-08,11.65,11.77,11.63,11.74,17545600,11.74
2014-08-07,11.82,11.83,11.69,11.72,32182400,11.72
2014-08-06,11.69,11.78,11.68,11.76,41541800,11.76
2014-08-05,11.89,11.90,11.77,11.82,30071000,11.82
2014-08-04,11.97,12.04,11.95,12.01,12586600,12.01
2014-08-01,12.00,12.05,11.98,11.99,23989600,11.99
2014-07-31,12.08,12.09,11.99,12.00,39519000,12.00
2014-07-30,12.19,12.23,12.16,12.18,13209600,12.18
2014-07-29,12.23,12.24,12.15,12.17,18682200,12.17
2014-07-28,12.19,12.24,12.15,12.20,28273900,12.20
2014-07-25,12.17,12.18,12.10,12.13,28333700,12.13
2014-07-24,12.11,12.11,12.07,12.09,21433800,12.09
2014-07-23,12.13,12.15,12.10,12.15,15581300,12.15
2014-07-22,12.14,12.16,12.13,12.14,9657800,12.14
2014-07-21,12.07,12.11,12.03,12.10,17496900,12.10
2014-07-18,12.06,12.13,12.06,12.12,31473600,12.12
2014-07-17,12.10,12.14,12.03,12.06,29133900,12.06
2014-07-16,12.14,12.16,12.11,12.14,9824900,12.14
2014-07-15,12.12,12.13,12.06,12.12,46744500,12.12
2014-07-14,12.07,12.10,12.06,12.08,18951700,12.08
2014-07-11,11.96,11.97,11.92,11.94,12497300,11.94
2014-07-10,11.85,11.95,11.84,11.92,49026400,11.92
2014-07-09,12.09,12.14,12.08,12.13,11490800,12.13
2014-07-08,12.10,12.11,12.02,12.05,20997200,12.05
2014-07-07,12.12,12.12,12.07,12.09,12935400,12.09
2014-07-03,12.14,12.18,12.13,12.18,17944800,12.18
2014-07-02,12.21,12.23,12.19,12.22,27104800,12.22
2014-07-01,12.18,12.25,12.18,12.25,26834300,12.25
2014-06-30,12.04,12.07,12.03,12.04,14164600,12.04
2014-06-27,11.95,11.99,11.94,11.98,27048200,11.98
2014-06-26,12.02,12.03,11.97,12.01,29891500,12.01
2014-06-25,11.96,12.08,11.96,12.05,40208900,12.05
2014-06-24,12.12,12.18,12.06,12.09,29617100,12.01
2014-06-23,12.08,12.10,12.04,12.09,18321700,12.01
2014-06-20,12.19,12.20,12.17,12.19,36586100,12.11
2014-06-19,12.13,12.18,12.12,12.18,43231400,12.10
2014-06-18,11.90,12.00,11.84,11.97,37328400,11.89
