Date,Open,High,Low,Close,Volume,Adj Close
2014-10-01,42.75,43.12,41.76,41.91,34695600,41.91
2014-09-30,43.32,43.83,42.89,43.45,42217500,43.45
2014-09-29,43.57,44.61,43.52,43.72,51786500,43.72
2014-09-26,45.41,46.73,45.41,46.49,22916300,46.49
2014-09-25,46.09,46.27,45.33,45.42,28195100,45.42
2014-09-24,45.83,46.96,45.51,46.80,25690600,46.80
2014-09-23,46.52,47.08,45.69,46.21,27842400,46.21
2014-09-22,46.45,46.70,45.93,46.51,33013400,46.51
2014-09-19,48.60,48.61,47.45,47.75,27381300,47.75
2014-09-18,48.66,49.20,48.25,48.37,29676900,48.37
2014-09-17,50.12,50.20,49.05,49.09,29358200,49.09
2014-09-16,49.20,50.74,49.14,49.81,35946000,49.81
2014-09-15,47.93,48.49,47.70,48.37,23358400,48.37
2014-09-12,48.67,48.89,47.51,47.81,50357300,47.81
2014-09-11,49.98,50.48,49.79,49.96,18717000,49.96
2014-09-10,49.96,49.97,49.18,49.80,26093400,49.80
2014-09-09,50.99,51.31,50.02,50.29,35234300,50.29
2014-09-08,53.49,53.49,51.33,51.42,33286600,51.42
2014-09-05,53.30,53.36,52.62,53.16,19852700,53.16
2014-09-04,53.53,54.06,52.97,53.10,21393000,53.10
2014-09-03,54.33,54.56,53.63,54.00,19053300,54.00
2014-09-02,53.12,54.21,52.91,53.90,20259900,53.90
2014-08-29,53.11,53.77,52.67,53.70,20493100,53.70
2014-08-28,52.92,53.12,52.35,52.76,21379100,52.76
2014-08-27,52.27,53.33,52.08,53.18,28520300,53.18
2014-08-26,51.68,52.05,51.35,51.98,21305200,51.98
2014-08-25,50.77,51.28,50.58,51.13,12364300,51.13
2014-08-22,50.81,50.89,50.12,50.41,13752300,50.41
2014-08-21,51.40,51.40,50.95,51.04,11933900,51.04
2014-08-20,50.84,51.41,50.64,51.04,13547500,51.04
2014-08-19,50.04,51.12,49.97,50.98,15675900,50.98
2014-08-18,50.00,50.25,49.57,50.10,15185800,50.10
2014-08-15,49.06,49.56,48.52,49.42,21611800,49.42
2014-08-14,48.29,48.67,48.14,48.41,15098700,48.41
2014-08-13,49.23,49.31,47.58,48.12,49963800,48.12
2014-08-12,48.64,49.06,48.55,48.83,15590000,48.83
2014-08-11,48.45,49.02,48.30,49.02,17538600,49.02
2014-08-08,47.66,48.02,47.37,47.99,15504200,47.99
2014-08-07,48.97,48.99,47.35,48.13,17498600,48.13
2014-08-06,48.40,49.00,48.02,48.75,19900200,48.75
2014-08-05,48.83,49.26,48.21,48.41,18615700,48.41
2014-08-04,49.12,49.22,48.38,49.11,11581800,49.11
2014-08-01,48.47,48.96,48.01,48.75,13727300,48.75
2014-07-31,48.80,49.07,48.13,48.50,21250100,48.50
2014-07-30,50.25,50.45,49.42,49.92,15816000,49.92
2014-07-29,50.85,51.29,50.39,50.52,12038600,50.52
2014-07-28,51.15,51.23,50.73,51.12,10148700,51.12
2014-07-25,51.18,51.32,50.93,51.06,7472800,51.06
2014-07-24,51.10,51.55,50.95,51.47,11032400,51.47
2014-07-23,51.06,51.25,50.74,50.98,13928300,50.98
2014-07-22,51.41,51.83,51.14,51.68,14350100,51.68
2014-07-21,50.45,51.21,50.18,51.08,23309700,51.08
2014-07-18,50.21,50.71,49.87,50.30,30700100,50.30
2014-07-17,49.18,49.50,48.42,48.67,20834700,48.67
2014-07-16,50.03,50.20,49.30,49.51,11295200,49.51
2014-07-15,49.76,49.90,49.37,49.72,11111600,49.72
2014-07-14,49.26,49.92,49.25,49.80,20732100,49.80
2014-07-11,48.43,48.99,47.78,48.80,14149000,48.80
2014-07-10,48.25,48.68,47.90,48.58,13745900,48.58
2014-07-09,48.01,48.83,47.97,48.46,15388900,48.46
2014-07-08,48.20,48.23,47.75,47.75,11871700,47.75
2014-07-07,48.00,48.06,47.67,47.90,11101700,47.90
2014-07-03,46.97,47.97,46.97,47.84,7418800,47.84
2014-07-02,47.69,47.77,47.11,47.32,14156900,47.32
2014-07-01,47.94,48.43,47.64,47.88,9352600,47.88
2014-06-30,48.00,48.02,47.44,47.78,10861000,47.78
2014-06-27,48.13,48.36,47.60,48.11,9592900,48.11
2014-06-26,48.14,48.47,47.84,48.28,10756200,48.28
2014-06-25,48.78,48.91,47.74,48.18,15489900,48.18
2014-06-24,49.33,50.09,49.13,49.27,20242400,48.31
2014-06-23,49.65,49.65,49.24,49.50,11976900,48.53
2014-06-20,49.43,49.62,49.20,49.56,17660900,48.59
2014-06-19,49.81,50.07,49.19,49.46,13592200,48.49
2014-06-18,48.73,50.00,48.54,49.98,18888100,49.00
2014-06-17,48.91,48.97,48.45,48.93,14283300,47.97
2014-06-16,49.60,49.63,49.25,49.35,8656200,48.39
2014-06-13,49.44,49.73,49.32,49.64,13538200,48.67
2014-06-12,49.87,49.92,49.06,49.33,8648600,48.37
2014-06-11,49.92,50.02,49.56,49.73,14676700,48.76
2014-06-10,49.07,49.55,48.91,49.45,14414700,48.48
2014-06-09,48.14,49.43,48.04,49.25,23085400,48.29
2014-06-06,47.78,48.00,47.48,47.82,22904100,46.89
2014-06-05,46.52,46.65,46.09,46.27,16816700,45.37
2014-06-04,46.29,46.29,45.80,45.91,10676500,45.01
2014-06-03,46.15,46.49,45.99,46.29,12284300,45.39
2014-06-02,46.34,46.48,45.86,46.00,14216100,45.10
2014-05-30,46.98,47.07,46.40,46.49,19701600,45.58
2014-05-29,47.86,48.03,47.38,47.50,9742700,46.57
2014-05-28,47.21,47.82,46.95,47.65,15374000,46.72
2014-05-27,48.17,48.33,46.94,47.08,14673600,46.16
2014-05-23,48.11,48.28,47.70,47.83,10017800,46.90
2014-05-22,48.35,48.45,47.76,48.22,15576100,47.28
2014-05-21,47.93,48.36,47.90,48.03,16671700,47.09
2014-05-20,48.76,49.16,47.68,47.81,17673300,46.88
2014-05-19,48.90,49.05,48.69,48.86,11984300,47.91
2014-05-16,49.50,49.56,49.03,49.28,9269700,48.32
2014-05-15,49.44,49.49,48.62,49.00,12544900,48.04
2014-05-14,49.24,49.81,49.12,49.68,12949800,48.71
2014-05-13,49.13,49.63,49.03,49.10,12965000,48.14
2014-05-12,48.75,49.29,48.75,49.26,14630300,48.30
2014-05-09,48.53,48.82,48.30,48.54,12373500,47.59
2014-05-08,49.39,49.54,48.68,48.75,13859700,47.80
2014-05-07,48.63,49.26,48.39,49.19,18307300,48.23
2014-05-06,48.07,48.96,47.99,48.69,16347400,47.74
2014-05-05,48.18,48.50,47.68,48.12,12209200,47.18
2014-05-02,47.15,48.48,46.99,48.48,28782400,47.53
2014-05-01,46.80,47.04,46.40,46.86,8461500,45.94
2014-04-30,46.94,47.18,46.60,47.04,11148800,46.12
2014-04-29,47.57,48.21,47.14,47.25,18724300,46.33
2014-04-28,46.41,47.14,46.13,46.98,15712800,46.06
2014-04-25,46.93,46.98,46.30,46.71,15731400,45.80
2014-04-24,47.40,47.61,46.69,47.47,13048300,46.54
2014-04-23,47.05,47.17,46.62,47.08,13121600,46.16
2014-04-22,47.07,47.57,46.84,47.15,14663400,46.23
2014-04-21,47.61,47.79,46.91,47.29,8709200,46.37
2014-04-17,46.39,47.60,46.12,47.50,20214500,46.57
2014-04-16,46.42,46.68,45.99,46.61,18619900,45.70
2014-04-15,47.00,47.02,45.31,45.94,37216000,45.04
2014-04-14,47.59,47.70,47.04,47.25,17102200,46.33
2014-04-11,46.55,47.56,46.46,47.39,18202000,46.46
2014-04-10,47.21,47.45,46.86,46.92,20018000,46.00
2014-04-09,46.73,47.65,46.29,47.15,24344300,46.23
2014-04-08,48.49,48.77,46.99,47.29,35521700,46.37
2014-04-07,46.50,47.59,46.44,47.39,29758500,46.46
2014-04-04,46.95,47.32,46.05,46.15,35525300,45.25
2014-04-03,46.10,46.10,45.30,45.68,18729000,44.79
2014-04-02,45.05,46.24,45.02,46.24,18649500,45.34
2014-04-01,45.27,45.49,44.77,45.15,13674500,44.27
2014-03-31,44.95,45.35,44.93,45.04,17297600,44.16
2014-03-28,44.70,45.41,44.62,44.87,20374200,43.99
2014-03-27,43.34,44.70,43.27,44.49,39647900,43.62
2014-03-26,42.80,43.13,42.48,42.52,13271600,41.69
2014-03-25,42.36,42.89,42.34,42.68,19094800,41.85
2014-03-24,41.90,42.38,41.62,42.16,17290900,41.34
2014-03-21,41.17,42.17,41.13,41.67,26772400,40.86
2014-03-20,40.44,41.69,40.11,41.48,27938800,40.67
2014-03-19,40.33,41.15,40.17,40.53,28362900,39.74
2014-03-18,39.34,40.49,39.30,40.37,23865300,39.58
2014-03-17,39.25,39.64,39.23,39.41,12921100,38.64
2014-03-14,39.02,39.54,38.87,39.11,17510000,38.35
2014-03-13,40.16,40.22,39.09,39.22,21698200,38.45
2014-03-12,39.43,39.77,39.21,39.68,15523100,38.90
2014-03-11,39.96,40.20,39.28,39.38,16530400,38.61
2014-03-10,40.21,40.25,39.31,39.63,21193800,38.86
2014-03-07,40.92,40.96,40.06,40.32,21944800,39.53
2014-03-06,41.30,41.74,41.17,41.28,17351700,40.47
2014-03-05,40.50,40.97,40.37,40.83,18565400,40.03
2014-03-04,40.75,41.00,40.21,40.57,17657300,39.78
2014-03-03,40.29,40.29,39.54,39.95,19213000,39.17
2014-02-28,41.20,41.28,40.61,41.00,16881800,40.20
2014-02-27,40.75,41.70,40.63,41.63,27270500,40.82
2014-02-26,40.46,40.70,40.07,40.37,12065800,39.58
2014-02-25,40.86,40.94,40.27,40.40,12011900,39.61
2014-02-24,40.89,41.26,40.71,40.75,12801600,39.95
2014-02-21,40.57,41.06,40.51,40.76,15073600,39.96
2014-02-20,40.19,40.66,39.76,40.22,23349300,39.43
2014-02-19,39.07,39.96,39.06,39.78,19439400,39.00
2014-02-18,40.09,41.15,39.45,39.53,16765600,38.76
2014-02-14,40.39,41.03,40.30,40.64,14772000,39.85
2014-02-13,39.37,40.60,39.35,40.52,14725600,39.73
2014-02-12,40.65,40.83,39.77,40.02,15620300,39.24
2014-02-11,39.77,40.89,39.73,40.75,16180400,39.95
2014-02-10,40.46,40.49,39.79,39.99,13221300,39.21
2014-02-07,40.76,40.93,40.21,40.64,14110000,39.85
2014-02-06,39.54,40.54,39.48,40.36,23199600,39.57
2014-02-05,39.19,39.36,38.70,39.08,21634400,38.32
2014-02-04,38.90,39.47,38.76,39.16,22638700,38.39
2014-02-03,39.26,39.35,38.00,38.03,21795900,37.29
2014-01-31,38.96,39.89,38.86,39.24,17593100,38.47
2014-01-30,40.01,40.13,39.35,39.64,15455300,38.87
2014-01-29,39.15,39.75,38.95,39.21,22214600,38.44
2014-01-28,40.07,40.34,39.86,40.05,14346100,39.27
2014-01-27,39.94,40.27,39.55,39.99,16482300,39.21
2014-01-24,40.33,40.35,39.76,39.97,21157300,39.19
2014-01-23,42.10,42.16,40.69,41.19,18198600,40.38
2014-01-22,41.87,42.30,41.78,42.25,13901200,41.42
2014-01-21,41.90,42.13,41.40,41.76,15861700,40.94
2014-01-17,42.24,42.42,42.08,42.21,14172600,41.38
2014-01-16,42.81,42.93,42.28,42.38,11185000,41.55
2014-01-15,42.74,43.12,42.64,42.66,11674500,41.83
2014-01-14,42.42,42.74,42.27,42.66,9551900,41.83
2014-01-13,42.75,42.92,42.01,42.25,13253100,41.42
2014-01-10,42.23,42.88,42.21,42.69,17411000,41.86
2014-01-09,42.25,42.30,41.54,41.98,16682500,41.16
2014-01-08,43.03,43.09,42.37,42.51,11738400,41.68
2014-01-07,43.67,43.70,42.83,42.92,10544400,42.08
2014-01-06,43.10,43.27,42.83,42.92,10238600,42.08
2014-01-03,43.51,43.54,42.98,43.43,15316700,42.58
2014-01-02,43.64,43.74,43.03,43.19,18186900,42.35
2013-12-31,44.43,44.83,44.31,44.68,6281300,43.81
2013-12-30,44.56,44.99,44.23,44.37,9402800,43.50
2013-12-27,44.13,44.70,44.13,44.69,8987900,43.82
2013-12-26,44.38,44.38,43.92,43.98,5553100,43.12
2013-12-24,44.08,44.38,43.94,44.35,8767600,43.48
