Date,Open,High,Low,Close,Volume,Adj Close
2014-10-01,102.36,102.92,98.91,99.57,2587200,99.57
2014-09-30,104.20,104.65,102.26,102.97,1312700,102.97
2014-09-29,101.93,103.94,101.25,103.44,1609200,103.44
2014-09-26,102.32,105.15,102.00,104.43,1545600,104.43
2014-09-25,105.81,106.00,101.76,101.79,2598700,101.79
2014-09-24,105.57,106.92,104.40,106.68,1202900,106.68
2014-09-23,106.55,107.99,104.84,104.90,1885800,104.90
2014-09-22,108.99,109.57,107.00,107.20,1565100,107.20
2014-09-19,112.00,112.70,109.00,109.76,2133400,109.76
2014-09-18,109.07,111.38,108.84,110.87,1904500,110.87
2014-09-17,107.37,109.74,106.50,108.08,1962300,108.08
2014-09-16,105.24,107.68,105.12,106.99,1298000,106.99
2014-09-15,105.88,106.46,105.02,105.72,1422500,105.72
2014-09-12,106.78,107.73,104.94,105.93,1139000,105.93
2014-09-11,105.20,107.26,105.10,106.99,942000,106.99
2014-09-10,105.50,107.03,105.13,106.46,1050400,106.46
2014-09-09,107.42,107.68,104.83,105.31,1346200,105.31
2014-09-08,107.87,109.30,107.27,108.23,1150300,108.23
2014-09-05,107.11,108.25,105.61,108.16,1302000,108.16
2014-09-04,108.11,109.40,106.65,107.60,1376300,107.60
2014-09-03,109.04,109.40,106.97,107.62,1225200,107.62
2014-09-02,107.38,108.39,106.43,107.96,1589700,107.96
2014-08-29,105.99,107.21,105.63,106.73,779300,106.73
2014-08-28,105.87,105.95,104.60,105.48,834900,105.48
2014-08-27,107.31,107.78,106.20,106.71,922000,106.71
2014-08-26,106.90,108.15,106.67,107.26,799700,107.26
2014-08-25,105.82,107.39,105.72,106.41,1239500,106.41
2014-08-22,105.06,105.90,103.96,104.24,1274300,104.24
2014-08-21,102.81,105.75,102.53,105.25,2016200,105.25
2014-08-20,100.90,102.70,100.68,102.39,1526800,102.39
2014-08-19,101.51,102.14,101.20,101.43,1177000,101.43
2014-08-18,99.55,101.10,99.46,100.91,1752700,100.91
2014-08-15,99.65,100.20,96.20,97.98,2750200,97.98
2014-08-14,97.91,99.00,97.75,98.96,1039300,98.96
2014-08-13,96.66,98.00,96.38,97.67,1471900,97.67
2014-08-12,95.50,96.69,95.02,95.82,1491500,95.82
2014-08-11,96.11,96.57,95.27,95.59,2230800,95.59
2014-08-08,93.04,95.15,91.90,95.02,1833200,95.02
2014-08-07,95.15,95.44,91.91,92.47,1961600,92.47
2014-08-06,91.52,94.99,91.50,93.77,1765900,93.77
2014-08-05,94.30,95.06,91.84,92.84,2294100,92.84
2014-08-04,94.25,95.88,93.14,95.48,1810900,95.48
2014-08-01,95.20,95.95,92.34,93.45,3209400,93.45
2014-07-31,99.80,100.02,95.52,95.56,3655400,95.56
2014-07-30,101.68,102.29,99.70,101.28,2300900,101.28
2014-07-29,102.39,102.67,100.26,100.31,2066900,100.31
2014-07-28,101.83,102.23,100.04,101.86,1664900,101.86
2014-07-25,102.80,102.84,101.26,101.74,1499900,101.74
2014-07-24,103.39,104.10,103.21,103.65,926400,103.65
2014-07-23,102.80,103.47,102.09,103.01,901400,103.01
2014-07-22,102.30,102.89,101.83,102.35,1145200,102.35
2014-07-21,101.11,101.64,100.10,101.31,1532200,101.31
2014-07-18,100.42,102.27,99.82,101.91,1743500,101.91
2014-07-17,101.60,102.54,98.59,98.95,2670200,98.95
2014-07-16,103.90,103.90,101.97,102.77,1510800,102.77
2014-07-15,103.17,104.12,101.74,103.32,2583400,103.32
2014-07-14,101.94,102.26,101.26,101.46,2034200,101.46
2014-07-11,98.80,99.85,97.60,99.58,1458800,99.58
2014-07-10,97.69,100.02,97.11,99.26,1789200,99.26
2014-07-09,100.93,101.04,99.82,100.82,1888500,100.82
2014-07-08,101.50,101.77,99.30,100.12,2431700,100.12
2014-07-07,102.91,103.07,101.60,102.35,1951400,102.35
2014-07-03,103.00,103.86,102.81,103.65,1112800,103.65
2014-07-02,102.24,102.55,101.40,101.71,1075300,101.71
2014-07-01,100.53,103.02,100.12,101.80,1915000,101.80
2014-06-30,99.59,100.28,99.14,99.96,1312100,99.96
2014-06-27,98.08,99.78,98.08,99.58,1471000,99.58
