Date,Open,High,Low,Close,Volume,Adj Close
2014-10-01,1.16,1.20,1.10,1.11,1834300,1.11
2014-09-30,1.32,1.32,1.16,1.17,1554500,1.17
2014-09-29,1.23,1.44,1.19,1.31,1758100,1.31
2014-09-26,1.25,1.27,1.19,1.27,2406700,1.27
2014-09-25,1.33,1.37,1.19,1.23,5338300,1.23
2014-09-24,1.36,1.36,1.29,1.33,2218200,1.33
2014-09-23,1.40,1.43,1.36,1.37,2741700,1.37
2014-09-22,1.54,1.58,1.39,1.42,1310300,1.42
2014-09-19,1.52,1.60,1.50,1.56,6243100,1.56
2014-09-18,1.57,1.58,1.49,1.53,1123700,1.53
2014-09-17,1.47,1.58,1.46,1.57,1814300,1.57
2014-09-16,1.50,1.51,1.46,1.49,824500,1.49
2014-09-15,1.43,1.52,1.36,1.51,1460400,1.51
2014-09-12,1.45,1.48,1.42,1.44,856900,1.44
2014-09-11,1.49,1.52,1.43,1.46,1709200,1.46
2014-09-10,1.47,1.50,1.42,1.49,1158200,1.49
2014-09-09,1.57,1.59,1.47,1.47,1140300,1.47
2014-09-08,1.44,1.56,1.42,1.56,2212900,1.56
2014-09-05,1.50,1.52,1.42,1.45,2581500,1.45
2014-09-04,1.54,1.55,1.50,1.51,1555300,1.51
2014-09-03,1.59,1.59,1.54,1.55,1163200,1.55
2014-09-02,1.62,1.65,1.57,1.59,1118600,1.59
2014-08-29,1.59,1.65,1.57,1.63,839300,1.63
2014-08-28,1.61,1.61,1.56,1.59,680500,1.59
2014-08-27,1.62,1.65,1.57,1.60,874500,1.60
2014-08-26,1.57,1.65,1.56,1.61,1436600,1.61
2014-08-25,1.61,1.62,1.54,1.57,1875800,1.57
2014-08-22,1.60,1.61,1.52,1.54,1990000,1.54
2014-08-21,1.57,1.61,1.54,1.58,1608800,1.58
2014-08-20,1.63,1.65,1.56,1.57,1070700,1.57
2014-08-19,1.69,1.73,1.59,1.64,1267900,1.64
2014-08-18,1.68,1.71,1.66,1.69,1047600,1.69
2014-08-15,1.60,1.67,1.56,1.67,2090700,1.67
2014-08-14,1.70,1.70,1.55,1.56,3667500,1.56
2014-08-13,1.83,1.85,1.67,1.73,2019900,1.73
2014-08-12,1.98,2.00,1.78,1.83,2558600,1.83
2014-08-11,1.99,2.02,1.96,2.00,1457400,2.00
2014-08-08,2.00,2.04,1.98,1.99,1928300,1.99
2014-08-07,2.04,2.09,1.99,2.00,978700,2.00
2014-08-06,1.98,2.05,1.95,2.04,845800,2.04
2014-08-05,2.01,2.02,1.94,2.00,1021400,2.00
2014-08-04,1.97,2.03,1.95,2.01,1201300,2.01
2014-08-01,2.04,2.07,1.95,1.97,2070900,1.97
2014-07-31,2.11,2.15,2.04,2.04,1534600,2.04
2014-07-30,2.16,2.18,2.10,2.14,935400,2.14
2014-07-29,2.13,2.16,2.12,2.14,757800,2.14
2014-07-28,2.20,2.20,2.12,2.14,1105700,2.14
2014-07-25,2.16,2.20,2.15,2.20,1131900,2.20
2014-07-24,2.17,2.20,2.15,2.19,511100,2.19
2014-07-23,2.20,2.21,2.15,2.17,1057400,2.17
2014-07-22,2.16,2.22,2.15,2.20,567300,2.20
2014-07-21,2.19,2.25,2.14,2.16,1369400,2.16
2014-07-18,2.19,2.24,2.18,2.21,1144200,2.21
2014-07-17,2.27,2.29,2.19,2.21,1248600,2.21
2014-07-16,2.27,2.30,2.25,2.27,1654500,2.27
2014-07-15,2.29,2.29,2.20,2.27,2869400,2.27
2014-07-14,2.26,2.31,2.26,2.28,1343400,2.28
2014-07-11,2.35,2.35,2.24,2.25,1070900,2.25
2014-07-10,2.38,2.43,2.32,2.34,1831100,2.34
2014-07-09,2.25,2.40,2.24,2.40,3835000,2.40
2014-07-08,2.23,2.25,2.21,2.25,1534000,2.25
2014-07-07,2.28,2.31,2.21,2.23,2092500,2.23
2014-07-03,2.33,2.34,2.29,2.30,786200,2.30
2014-07-02,2.27,2.34,2.26,2.31,1697200,2.31
2014-07-01,2.27,2.40,2.27,2.28,2302300,2.28
2014-06-30,2.28,2.34,2.23,2.28,1914500,2.28
2014-06-27,2.30,2.33,2.28,2.30,2842100,2.30
2014-06-26,2.25,2.33,2.22,2.32,1097300,2.32
2014-06-25,2.18,2.28,2.17,2.26,1262300,2.26
2014-06-24,2.29,2.34,2.16,2.20,2120700,2.20
2014-06-23,2.30,2.35,2.28,2.31,1591900,2.31
2014-06-20,2.33,2.36,2.26,2.30,4852500,2.30
2014-06-19,2.30,2.33,2.27,2.31,1988700,2.31
2014-06-18,2.30,2.32,2.25,2.29,2532800,2.29
2014-06-17,2.31,2.37,2.10,2.30,9384500,2.30
2014-06-16,2.45,2.47,1.97,2.01,17515300,2.01
2014-06-13,2.44,2.48,2.38,2.44,2073900,2.44
2014-06-12,2.37,2.46,2.36,2.42,1750900,2.42
2014-06-11,2.37,2.39,2.32,2.37,1218700,2.37
2014-06-10,2.42,2.42,2.34,2.37,1549500,2.37
2014-06-09,2.41,2.46,2.34,2.41,3850400,2.41
2014-06-06,2.43,2.44,2.31,2.39,3250700,2.39
2014-06-05,2.32,2.40,2.28,2.39,2152900,2.39
2014-06-04,2.35,2.38,2.28,2.32,4011700,2.32
2014-06-03,2.40,2.40,2.28,2.37,2569300,2.37
2014-06-02,2.46,2.59,2.35,2.38,2373500,2.38
2014-05-30,2.39,2.49,2.35,2.46,5202000,2.46
2014-05-29,2.26,2.40,2.24,2.37,6440600,2.37
2014-05-28,2.26,2.30,2.20,2.25,2296800,2.25
2014-05-27,2.23,2.27,2.17,2.25,1431100,2.25
2014-05-23,2.21,2.24,2.20,2.21,1055700,2.21
2014-05-22,2.30,2.30,2.17,2.20,1810900,2.20
2014-05-21,2.12,2.29,2.10,2.28,4891300,2.28
2014-05-20,2.15,2.17,2.10,2.12,7618000,2.12
2014-05-19,2.18,2.22,2.12,2.15,5413300,2.15
2014-05-16,2.14,2.19,2.12,2.19,2237100,2.19
2014-05-15,2.19,2.20,2.11,2.15,2299300,2.15
2014-05-14,2.27,2.30,2.17,2.19,2525600,2.19
2014-05-13,2.31,2.33,2.26,2.28,2920900,2.28
2014-05-12,2.30,2.35,2.25,2.30,2963200,2.30
2014-05-09,2.22,2.25,2.16,2.23,3965900,2.23
2014-05-08,2.30,2.40,2.23,2.24,7147600,2.24
2014-05-07,2.05,2.39,2.05,2.33,21767300,2.33
2014-05-06,2.44,2.50,2.02,2.03,37964300,2.03
2014-05-05,1.75,1.81,1.75,1.79,1920500,1.79
2014-05-02,1.81,1.84,1.76,1.77,1551400,1.77
2014-05-01,1.85,1.87,1.75,1.80,1961700,1.80
2014-04-30,1.83,1.86,1.81,1.86,1741700,1.86
