Date,Open,High,Low,Close,Volume,Adj Close
2014-10-01,38.01,38.04,37.44,37.46,27048100,37.46
2014-09-30,38.06,38.36,38.01,38.28,26086900,38.28
2014-09-29,38.32,38.40,38.18,38.27,24930100,38.27
2014-09-26,39.07,39.40,39.07,39.19,16690900,39.19
2014-09-25,39.23,39.28,38.86,39.00,23506600,39.00
2014-09-24,39.63,40.00,39.46,39.84,28033400,39.84
2014-09-23,39.17,39.41,39.03,39.08,28487300,39.08
2014-09-22,39.53,39.57,39.02,39.12,28739700,39.12
2014-09-19,40.25,40.28,39.71,39.87,27467700,39.87
2014-09-18,40.30,40.38,40.20,40.28,17461100,40.28
2014-09-17,40.63,40.69,40.21,40.34,22206100,40.34
2014-09-16,39.89,41.12,39.89,40.63,40882900,40.63
2014-09-15,40.65,40.67,40.30,40.37,15170500,40.37
2014-09-12,40.95,41.05,40.72,40.95,24857400,40.95
2014-09-11,40.91,41.17,40.89,41.11,17574100,41.11
2014-09-10,41.03,41.35,40.96,41.25,22866100,41.25
2014-09-09,42.21,42.27,41.86,41.99,15416500,41.99
2014-09-08,42.39,42.49,42.16,42.29,8804500,42.29
2014-09-05,42.25,42.54,42.14,42.52,13531500,42.52
2014-09-04,42.42,42.56,42.09,42.19,13873400,42.19
2014-09-03,42.15,42.25,41.91,42.06,21300600,42.06
2014-09-02,40.77,40.86,40.68,40.71,14530400,40.71
2014-08-29,40.73,40.84,40.45,40.47,15742400,40.47
2014-08-28,40.47,40.54,40.35,40.52,15588500,40.52
2014-08-27,41.04,41.05,40.94,41.02,7562400,41.02
2014-08-26,41.15,41.37,41.15,41.31,7660000,41.31
2014-08-25,41.24,41.25,41.09,41.25,10006100,41.25
2014-08-22,41.02,41.07,40.80,40.89,15072400,40.89
2014-08-21,40.95,40.97,40.65,40.67,14615300,40.67
2014-08-20,41.17,41.36,41.12,41.21,11131000,41.21
2014-08-19,41.37,41.44,41.32,41.43,10314200,41.43
2014-08-18,41.32,41.43,41.21,41.40,16742700,41.40
2014-08-15,41.29,41.30,40.86,41.07,16492500,41.07
2014-08-14,41.03,41.10,40.96,41.02,12213300,41.02
2014-08-13,41.39,41.58,41.31,41.47,15352500,41.47
2014-08-12,40.85,40.99,40.74,40.97,12737300,40.97
2014-08-11,40.82,41.12,40.81,41.04,17555200,41.04
2014-08-08,40.22,40.57,40.09,40.49,20319100,40.49
2014-08-07,40.11,40.17,39.72,39.86,22052300,39.86
2014-08-06,40.24,40.39,40.14,40.21,19461200,40.21
2014-08-05,40.66,40.80,40.38,40.47,18463000,40.47
2014-08-04,41.03,41.13,40.80,41.07,16481000,41.07
2014-08-01,40.50,40.86,40.42,40.72,21808000,40.72
2014-07-31,40.81,40.91,40.36,40.47,56941300,40.47
2014-07-30,41.07,41.18,40.53,40.71,18024700,40.71
2014-07-29,41.23,41.30,40.95,40.95,17685700,40.95
2014-07-28,40.64,41.08,40.60,41.05,26434700,41.05
2014-07-25,40.16,40.27,40.05,40.19,18073900,40.19
2014-07-24,40.03,40.28,39.99,40.12,27133200,40.12
2014-07-23,39.62,39.65,39.49,39.59,19624500,39.59
2014-07-22,39.06,39.13,38.98,39.07,18549100,39.07
2014-07-21,37.88,38.25,37.84,38.21,14099000,38.21
2014-07-18,38.24,38.41,38.19,38.24,10583600,38.24
2014-07-17,38.22,38.30,37.91,37.97,18780900,37.97
2014-07-16,38.46,38.57,38.40,38.52,9806500,38.52
2014-07-15,38.37,38.49,38.15,38.40,15011500,38.40
2014-07-14,38.30,38.42,38.26,38.40,20783800,38.40
2014-07-11,37.77,37.94,37.66,37.90,8868000,37.90
2014-07-10,37.30,37.76,37.18,37.74,13699800,37.74
2014-07-09,37.72,38.03,37.70,37.97,10578100,37.97
2014-07-08,38.22,38.27,37.95,38.15,12520000,38.15
2014-07-07,38.25,38.37,38.17,38.35,8103300,38.35
2014-07-03,38.22,38.45,38.15,38.43,11992400,38.43
2014-07-02,38.07,38.07,37.93,38.02,11637200,38.02
2014-07-01,37.28,37.48,37.28,37.32,9964800,37.32
2014-06-30,37.16,37.22,37.02,37.04,7748000,37.04
2014-06-27,37.12,37.22,36.96,37.21,6016300,37.21
2014-06-26,37.17,37.22,37.05,37.13,9801900,37.13
2014-06-25,36.62,36.84,36.62,36.77,10187000,36.77
2014-06-24,36.94,37.07,36.64,36.70,12854700,36.70
2014-06-23,37.40,37.45,37.27,37.36,16594200,36.82
2014-06-20,37.94,37.96,37.81,37.83,19667000,37.28
2014-06-19,37.87,37.99,37.81,37.93,14319000,37.38
2014-06-18,37.99,38.32,37.76,38.28,17690000,37.73
2014-06-17,37.80,38.04,37.79,37.99,13542400,37.44
2014-06-16,38.09,38.09,37.89,38.02,14627600,37.47
2014-06-13,37.83,38.14,37.81,38.09,16907500,37.54
2014-06-12,37.74,37.78,37.40,37.52,12277300,36.98
2014-06-11,37.60,37.70,37.50,37.62,13081200,37.08
2014-06-10,37.83,37.83,37.68,37.78,12270000,37.23
2014-06-09,37.38,37.62,37.37,37.61,16177100,37.07
2014-06-06,37.28,37.35,37.19,37.24,21029500,36.70
2014-06-05,37.35,37.51,37.24,37.44,16129700,36.90
2014-06-04,37.02,37.16,36.99,37.14,15660700,36.60
2014-06-03,37.07,37.52,37.07,37.45,24951700,36.91
2014-06-02,37.07,37.23,37.03,37.12,15580400,36.58
2014-05-30,36.97,37.05,36.76,36.85,20205500,36.32
2014-05-29,36.60,36.71,36.54,36.66,10608000,36.13
2014-05-28,36.65,36.68,36.44,36.59,14548700,36.06
2014-05-27,36.33,36.35,36.01,36.15,14600100,35.63
2014-05-23,36.43,36.44,36.29,36.34,12148500,35.81
2014-05-22,36.35,36.41,36.27,36.35,12761000,35.82
2014-05-21,36.07,36.10,35.95,36.04,14428800,35.52
2014-05-20,35.56,35.71,35.40,35.55,13361600,35.04
2014-05-19,35.63,35.79,35.61,35.76,13611200,35.24
2014-05-16,35.66,36.02,35.60,35.97,22689400,35.45
2014-05-15,35.71,35.71,35.35,35.57,19380700,35.06
2014-05-14,35.85,35.94,35.75,35.82,21792000,35.30
2014-05-13,35.23,35.52,35.21,35.42,14033300,34.91
2014-05-12,35.24,35.38,35.15,35.32,23108100,34.81
2014-05-09,34.52,34.73,34.50,34.58,15322700,34.08
2014-05-08,34.79,34.94,34.64,34.72,17206900,34.22
2014-05-07,34.42,34.69,34.42,34.61,15218600,34.11
2014-05-06,34.71,34.96,34.61,34.76,15716000,34.26
2014-05-05,34.60,34.75,34.52,34.70,12820300,34.20
2014-05-02,34.91,35.12,34.79,35.00,14100200,34.49
2014-05-01,34.90,35.17,34.85,34.99,11683800,34.48
2014-04-30,34.86,34.96,34.73,34.93,15378600,34.43
2014-04-29,35.16,35.38,35.07,35.07,21193900,34.56
2014-04-28,34.60,34.72,34.41,34.61,18633700,34.11
2014-04-25,34.50,34.73,34.27,34.70,23974300,34.20
2014-04-24,35.14,35.14,34.74,34.98,22643100,34.47
2014-04-23,34.95,34.98,34.71,34.93,20341900,34.43
2014-04-22,35.53,35.60,35.39,35.41,13713700,34.90
2014-04-21,35.64,35.69,35.41,35.59,11066700,35.08
2014-04-17,35.72,36.00,35.56,35.82,17621500,35.30
2014-04-16,35.61,35.85,35.53,35.73,23561500,35.21
2014-04-15,35.46,35.55,34.98,35.29,46258100,34.78
2014-04-14,36.38,36.44,36.04,36.20,17662400,35.68
2014-04-11,36.03,36.24,35.97,36.14,24866800,35.62
2014-04-10,37.10,37.40,36.59,36.68,38884500,36.15
2014-04-09,36.73,36.97,36.37,36.82,24704500,36.29
2014-04-08,36.46,36.80,36.31,36.38,36823500,35.85
2014-04-07,35.83,35.95,35.60,35.81,20673200,35.29
2014-04-04,36.09,36.39,35.54,35.63,32788900,35.12
2014-04-03,35.66,35.82,35.40,35.75,20324900,35.23
2014-04-02,35.67,35.89,35.60,35.84,12897300,35.32
2014-04-01,35.90,36.00,35.72,35.90,15495700,35.38
2014-03-31,35.83,35.98,35.74,35.78,19811700,35.26
2014-03-28,35.69,36.10,35.67,35.83,55760600,35.31
2014-03-27,34.93,35.22,34.93,35.10,23550900,34.59
2014-03-26,35.07,35.23,34.79,34.85,23549100,34.35
