Date,Open,High,Low,Close,Volume,Adj Close
2014-10-01,91.75,91.90,91.52,91.66,9996600,91.66
2014-09-30,91.64,92.03,91.55,91.95,6905400,91.56
2014-09-29,91.04,91.37,90.89,91.36,6289400,90.97
2014-09-26,91.22,91.73,90.95,91.55,11842500,91.16
2014-09-25,92.10,92.10,91.50,91.61,7348000,91.22
2014-09-24,92.50,92.50,92.06,92.24,6342700,91.85
2014-09-23,92.79,92.92,92.44,92.52,3573100,92.13
2014-09-22,93.16,93.24,92.91,92.99,4355300,92.59
2014-09-19,93.10,93.19,93.02,93.16,6000600,92.76
2014-09-18,92.98,93.08,92.91,93.02,3640300,92.62
2014-09-17,92.87,93.09,92.76,92.99,4399300,92.59
2014-09-16,92.45,92.86,92.43,92.69,5132200,92.30
2014-09-15,92.75,92.76,92.47,92.50,3592400,92.11
2014-09-12,92.70,92.80,92.52,92.67,5372500,92.28
2014-09-11,92.68,92.84,92.58,92.78,2822400,92.39
2014-09-10,92.75,92.82,92.55,92.78,3290600,92.39
2014-09-09,93.14,93.14,92.71,92.74,4647900,92.35
2014-09-08,93.24,93.35,93.08,93.17,2549200,92.77
2014-09-05,93.38,93.45,93.25,93.26,4752700,92.86
2014-09-04,93.73,93.77,93.26,93.37,4754500,92.97
2014-09-03,93.92,93.92,93.67,93.68,3200200,93.28
2014-09-02,93.77,93.98,93.75,93.92,4484800,93.52
2014-08-29,94.24,94.28,94.12,94.24,2046000,93.41
2014-08-28,94.28,94.39,94.13,94.17,1815400,93.34
2014-08-27,94.47,94.48,94.30,94.31,3685200,93.48
2014-08-26,94.33,94.47,94.31,94.40,1562400,93.57
2014-08-25,94.26,94.38,94.08,94.33,1958000,93.50
2014-08-22,94.35,94.41,94.09,94.13,3065500,93.30
2014-08-21,94.36,94.46,94.34,94.36,1869100,93.53
2014-08-20,94.32,94.48,94.17,94.36,2470000,93.53
2014-08-19,94.37,94.38,94.24,94.29,2747200,93.46
2014-08-18,94.07,94.34,94.01,94.32,5112800,93.49
2014-08-15,94.02,94.11,93.87,94.05,6051300,93.22
2014-08-14,93.72,93.96,93.71,93.86,4246600,93.03
2014-08-13,93.65,93.70,93.46,93.68,4960200,92.86
2014-08-12,93.47,93.56,93.32,93.41,4231700,92.59
2014-08-11,93.12,93.49,92.99,93.43,6908300,92.61
2014-08-08,92.50,93.06,92.50,92.99,3426300,92.17
2014-08-07,92.69,92.95,92.67,92.70,3833900,91.88
2014-08-06,92.38,92.73,92.35,92.64,4167700,91.83
2014-08-05,92.61,92.63,92.28,92.42,3612500,91.61
2014-08-04,92.06,92.63,92.03,92.60,7020400,91.79
2014-08-01,92.06,92.35,91.32,92.04,10942000,91.23
2014-07-31,92.83,92.97,92.44,92.48,7460000,91.24
2014-07-30,93.73,93.77,93.10,93.24,5415100,91.99
2014-07-29,93.82,94.00,93.61,93.63,3877100,92.37
2014-07-28,94.01,94.04,93.74,93.76,5355100,92.50
2014-07-25,94.18,94.23,94.01,94.04,3072300,92.78
2014-07-24,94.07,94.29,93.99,94.20,3089100,92.94
2014-07-23,93.96,94.08,93.93,94.03,1995900,92.77
2014-07-22,93.77,94.00,93.76,93.85,3707100,92.59
2014-07-21,93.85,93.88,93.63,93.72,3111700,92.46
2014-07-18,93.77,93.98,93.65,93.88,1994800,92.62
2014-07-17,94.11,94.14,93.48,93.49,5767800,92.24
2014-07-16,94.41,94.41,94.13,94.15,4264900,92.89
2014-07-15,94.46,94.51,94.29,94.30,2888400,93.03
2014-07-14,94.80,94.80,94.44,94.45,2632700,93.18
2014-07-11,94.33,94.53,94.33,94.48,2071400,93.21
2014-07-10,94.54,94.54,94.29,94.32,6011600,93.05
2014-07-09,94.75,94.80,94.58,94.61,3945400,93.34
2014-07-08,94.74,94.78,94.66,94.68,2035300,93.41
2014-07-07,94.70,94.80,94.65,94.66,1941300,93.39
2014-07-03,94.86,94.91,94.70,94.73,2776100,93.46
2014-07-02,94.87,95.00,94.81,94.87,2819400,93.60
2014-07-01,94.93,95.03,94.78,94.81,3472700,93.54
2014-06-30,95.11,95.32,95.11,95.20,2647600,93.51
2014-06-27,95.31,95.33,95.19,95.28,1702700,93.59
2014-06-26,95.34,95.39,95.20,95.28,1806400,93.59
2014-06-25,95.30,95.40,95.25,95.38,2385000,93.69
2014-06-24,95.27,95.41,95.24,95.24,1839300,93.55
2014-06-23,95.34,95.43,95.29,95.32,1551000,93.63
2014-06-20,95.26,95.40,95.24,95.33,2372300,93.64
2014-06-19,95.27,95.31,95.15,95.24,2882500,93.55
2014-06-18,94.84,95.31,94.84,95.26,4284800,93.57
2014-06-17,94.89,95.00,94.78,94.83,7251700,93.15
2014-06-16,94.92,95.00,94.89,94.90,1869500,93.22
2014-06-13,94.98,94.98,94.83,94.95,1276500,93.27
2014-06-12,94.81,94.93,94.81,94.84,1354000,93.16
2014-06-11,94.88,94.92,94.78,94.90,1699500,93.22
2014-06-10,94.76,95.00,94.76,94.89,2091000,93.21
2014-06-09,94.97,94.98,94.78,94.94,2906800,93.26
2014-06-06,94.60,94.91,94.59,94.83,3059100,93.15
2014-06-05,94.42,94.59,94.33,94.56,2034100,92.88
2014-06-04,94.31,94.40,94.26,94.33,2527200,92.66
2014-06-03,94.41,94.43,94.31,94.33,2978300,92.66
2014-06-02,94.75,94.75,94.31,94.32,5722500,92.65
2014-05-30,94.98,95.07,94.93,95.05,4445800,92.94
2014-05-29,94.90,95.00,94.84,94.95,4734800,92.85
2014-05-28,94.85,94.90,94.81,94.86,3904400,92.76
2014-05-27,94.77,94.85,94.72,94.83,4384700,92.73
2014-05-23,94.66,94.84,94.66,94.74,2289100,92.64
2014-05-22,94.66,94.73,94.59,94.71,1950900,92.61
2014-05-21,94.73,94.77,94.50,94.64,2925900,92.54
2014-05-20,94.77,94.78,94.64,94.65,4217800,92.55
2014-05-19,94.60,94.85,94.51,94.77,7351000,92.67
2014-05-16,94.50,94.65,94.38,94.63,3185000,92.53
2014-05-15,94.60,94.60,94.34,94.44,4240700,92.35
2014-05-14,94.40,94.59,94.39,94.53,1721400,92.44
2014-05-13,94.27,94.62,94.25,94.48,1933600,92.39
2014-05-12,94.38,94.38,94.22,94.33,1123000,92.24
2014-05-09,94.16,94.30,94.14,94.23,1736600,92.14
2014-05-08,94.27,94.31,94.09,94.14,4522400,92.05
2014-05-07,94.09,94.26,94.05,94.16,1578600,92.07
2014-05-06,94.15,94.15,93.98,94.02,2567800,91.94
2014-05-05,93.77,94.08,93.75,94.00,3541300,91.92
2014-05-02,94.04,94.04,93.83,94.04,2146000,91.96
2014-05-01,94.01,94.05,93.82,93.82,7322200,91.74
2014-04-30,94.36,94.42,94.20,94.34,4393100,91.84
2014-04-29,94.36,94.38,94.19,94.36,1775300,91.86
2014-04-28,94.26,94.30,94.13,94.22,1903900,91.72
2014-04-25,94.31,94.32,94.16,94.24,1195400,91.74
2014-04-24,94.25,94.40,94.15,94.27,1021700,91.77
2014-04-23,94.24,94.44,94.20,94.25,1591300,91.75
2014-04-22,94.25,94.27,94.12,94.22,2442800,91.72
2014-04-21,94.24,94.28,94.10,94.12,1682200,91.62
2014-04-17,94.18,94.25,94.10,94.12,2443800,91.62
2014-04-16,94.22,94.25,94.10,94.23,3450100,91.73
2014-04-15,94.22,94.22,94.00,94.18,3104900,91.68
2014-04-14,93.84,94.14,93.84,94.08,3355800,91.58
2014-04-11,94.22,94.22,93.77,93.78,7228500,91.29
2014-04-10,94.50,94.50,94.18,94.18,3226900,91.68
2014-04-09,94.30,94.46,94.20,94.45,4383400,91.94
2014-04-08,94.15,94.30,94.08,94.30,2804400,91.80
2014-04-07,94.27,94.30,94.07,94.08,1520900,91.58
2014-04-04,94.18,94.36,94.15,94.28,4555000,91.78
2014-04-03,94.10,94.15,94.04,94.06,2812400,91.56
2014-04-02,94.14,94.14,93.98,94.02,2285900,91.53
2014-04-01,94.05,94.12,93.97,94.12,4514900,91.62
2014-03-31,94.45,94.49,94.34,94.39,2641400,91.45
2014-03-28,94.23,94.35,94.17,94.25,2732600,91.32
2014-03-27,94.17,94.24,94.07,94.09,2255400,91.16
2014-03-26,94.35,94.35,94.16,94.23,3887200,91.30
2014-03-25,94.09,94.29,94.09,94.21,3468800,91.28
2014-03-24,94.20,94.20,93.96,94.02,5986100,91.09
2014-03-21,94.01,94.16,93.96,93.99,6106500,91.06
2014-03-20,93.90,94.07,93.67,94.05,4872300,91.12
2014-03-19,94.19,94.29,93.54,93.73,9983600,90.81
2014-03-18,94.03,94.23,93.93,94.21,2903500,91.28
2014-03-17,93.91,94.01,93.85,93.93,2943100,91.01
2014-03-14,93.89,94.01,93.74,93.80,4088200,90.88
2014-03-13,94.18,94.18,93.83,93.87,4829700,90.95
2014-03-12,93.98,94.14,93.97,94.12,2595000,91.19
2014-03-11,94.14,94.16,93.94,93.96,1618500,91.04
2014-03-10,94.04,94.09,93.92,94.06,1908200,91.13
2014-03-07,94.31,94.38,94.01,94.05,4552000,91.12
2014-03-06,94.63,94.67,94.37,94.41,4075500,91.47
