Date,Open,High,Low,Close,Volume,Adj Close
2014-10-01,198.04,198.05,195.21,195.66,13017200,195.66
2014-09-30,199.03,199.61,197.92,198.26,4368600,198.26
2014-09-29,197.50,199.20,197.36,198.78,3024800,198.78
2014-09-26,197.97,199.70,197.73,199.29,2959500,199.29
2014-09-25,200.33,200.37,197.59,197.59,2388500,197.59
2014-09-24,199.32,200.98,198.83,200.89,3065200,200.89
2014-09-23,200.67,201.50,200.19,200.28,2891100,199.35
2014-09-22,202.57,202.65,200.98,201.39,3042800,200.45
2014-09-19,203.78,204.00,202.57,202.87,4963900,201.92
2014-09-18,202.70,203.19,202.46,203.11,3454900,202.16
2014-09-17,202.13,202.99,201.07,202.05,4295900,201.11
2014-09-16,199.92,202.15,199.80,201.80,9836600,200.86
2014-09-15,200.47,200.62,199.66,200.26,3028900,199.33
2014-09-12,201.44,201.44,199.86,200.48,3115200,199.55
2014-09-11,200.58,201.65,200.42,201.62,2105800,200.68
2014-09-10,200.71,201.51,200.06,201.43,1268600,200.49
2014-09-09,201.74,201.86,200.23,200.67,2988700,199.73
2014-09-08,202.23,202.52,201.31,201.93,1762100,200.99
2014-09-05,201.44,202.50,200.73,202.43,2834900,201.49
2014-09-04,202.18,202.90,200.96,201.51,2446300,200.57
2014-09-03,202.69,202.73,201.53,201.85,1336300,200.91
2014-09-02,202.32,202.32,201.18,201.88,9544800,200.94
2014-08-29,201.80,202.04,201.13,201.96,1496900,201.02
2014-08-28,200.89,201.57,200.69,201.42,2386200,200.48
2014-08-27,201.72,201.88,201.26,201.61,1965000,200.67
2014-08-26,201.64,202.13,201.57,201.65,2258900,200.71
2014-08-25,201.40,201.83,201.18,201.50,1977900,200.56
2014-08-22,200.67,200.97,200.05,200.46,2277800,199.53
2014-08-21,200.37,201.07,200.25,200.75,2237400,199.81
2014-08-20,199.39,200.45,199.39,200.24,1989900,199.31
2014-08-19,199.09,199.83,198.93,199.71,3773100,198.78
2014-08-18,198.10,198.73,197.98,198.62,8800900,197.69
2014-08-15,197.75,197.93,195.58,197.02,4850600,196.10
2014-08-14,196.40,197.00,196.24,196.95,2090500,196.03
2014-08-13,195.50,196.30,195.23,196.11,1985700,195.20
2014-08-12,194.83,195.38,194.20,194.80,2505700,193.89
2014-08-11,195.23,195.92,194.96,195.08,3113500,194.17
2014-08-08,192.68,194.60,192.17,194.47,3053300,193.56
2014-08-07,194.16,194.34,191.78,192.25,2923200,191.35
2014-08-06,192.35,194.11,192.30,193.27,1916300,192.37
2014-08-05,194.34,194.84,192.55,193.20,3344100,192.30
2014-08-04,194.12,195.53,193.28,195.12,1685500,194.21
2014-08-01,193.82,194.98,192.81,193.74,12771200,192.84
2014-07-31,196.86,197.03,194.25,194.25,4692000,193.34
2014-07-30,198.92,199.18,197.43,198.25,2390200,197.33
2014-07-29,199.46,199.70,198.19,198.19,2146200,197.27
2014-07-28,199.04,199.37,197.89,199.08,2178200,198.15
2014-07-25,199.40,199.53,198.60,199.01,2493800,198.08
2014-07-24,200.14,200.35,199.76,199.89,1932000,198.96
2014-07-23,199.76,200.13,199.41,199.90,2795700,198.97
2014-07-22,199.32,199.83,199.15,199.51,1926900,198.58
2014-07-21,198.38,198.78,197.71,198.57,2714700,197.64
2014-07-18,197.60,199.19,197.51,198.94,2565100,198.01
2014-07-17,198.66,199.38,196.70,197.00,4091500,196.08
2014-07-16,199.37,199.52,198.70,199.29,11223300,198.36
2014-07-15,199.01,199.39,197.64,198.49,3300700,197.56
2014-07-14,198.91,199.14,198.72,198.85,1750100,197.92
2014-07-11,197.51,198.01,197.06,197.90,3058100,196.98
2014-07-10,196.51,198.14,196.34,197.56,2992100,196.64
2014-07-09,198.01,198.56,197.60,198.45,4942800,197.52
2014-07-08,198.40,198.49,197.03,197.57,5374700,196.65
2014-07-07,199.12,199.26,198.51,198.85,2893500,197.92
2014-07-03,199.07,199.57,198.92,199.51,1371800,198.58
2014-07-02,198.29,198.73,198.22,198.49,2624600,197.56
2014-07-01,197.48,198.90,197.41,198.30,13005100,197.38
2014-06-30,197.01,197.43,196.80,197.00,2173900,196.08
2014-06-27,196.21,197.26,196.15,197.26,4126300,196.34
2014-06-26,196.87,196.90,195.39,196.66,1492400,195.74
2014-06-25,195.53,197.03,195.52,196.80,4681500,195.88
2014-06-24,196.82,197.77,195.74,196.00,3057400,195.09
2014-06-23,198.16,198.23,197.70,198.10,2173200,196.27
2014-06-20,198.21,198.25,197.89,198.06,3891900,196.23
2014-06-19,197.69,197.84,197.03,197.69,1946500,195.86
2014-06-18,196.06,197.60,195.62,197.53,3819200,195.70
2014-06-17,195.22,196.19,195.04,196.00,1714500,194.18
2014-06-16,195.12,195.92,194.87,195.54,1352600,193.73
2014-06-13,195.13,195.52,194.51,195.36,2803200,193.55
2014-06-12,195.89,196.04,194.32,194.73,3713900,192.93
2014-06-11,196.10,196.34,195.71,196.17,1772700,194.35
2014-06-10,196.57,196.87,196.15,196.80,2551400,194.98
2014-06-09,196.59,197.30,196.41,196.84,3010600,195.02
2014-06-06,196.10,196.65,196.01,196.62,1977400,194.80
2014-06-05,194.61,195.86,193.93,195.63,2685000,193.82
2014-06-04,193.66,194.50,193.47,194.34,2302200,192.54
2014-06-03,193.63,194.10,193.46,193.99,1524800,192.19
2014-06-02,194.16,194.19,193.16,194.11,2176800,192.31
2014-05-30,193.39,194.00,193.22,193.87,3190900,192.07
2014-05-29,193.02,193.58,192.52,193.53,2287100,191.74
2014-05-28,192.72,193.01,192.26,192.56,2441600,190.78
2014-05-27,192.26,192.76,192.13,192.73,3147900,190.95
2014-05-23,190.93,191.65,190.83,191.55,2413500,189.78
2014-05-22,190.32,191.14,190.02,190.74,4701100,188.97
2014-05-21,189.25,190.37,189.20,190.26,1952000,188.50
2014-05-20,189.79,189.82,188.19,188.68,12254800,186.93
2014-05-19,188.83,190.06,188.66,189.87,1893600,188.11
2014-05-16,188.64,189.26,187.87,189.24,2199000,187.49
2014-05-15,189.85,189.88,187.61,188.55,3458700,186.80
2014-05-14,190.98,191.01,189.95,190.19,1990300,188.43
2014-05-13,191.19,191.59,190.93,191.14,2921500,189.37
2014-05-12,189.92,191.03,189.92,190.88,2912100,189.11
2014-05-09,188.84,189.21,187.98,189.21,2453400,187.46
2014-05-08,188.82,190.18,188.24,188.87,2435200,187.12
2014-05-07,188.57,189.11,187.15,188.99,3641700,187.24
2014-05-06,189.16,189.28,187.88,187.96,1530200,186.22
2014-05-05,188.28,189.69,187.78,189.60,2451700,187.84
2014-05-02,189.44,190.28,188.94,189.26,2117800,187.51
2014-05-01,189.38,189.99,188.88,189.42,1965700,187.67
2014-04-30,188.58,189.64,188.33,189.54,2214700,187.78
2014-04-29,188.59,189.17,188.21,188.87,1994100,187.12
2014-04-28,188.20,188.81,186.08,188.07,3275300,186.33
2014-04-25,188.36,188.44,187.01,187.45,2209400,185.71
2014-04-24,189.54,189.55,188.07,189.02,2084600,187.27
2014-04-23,188.96,189.05,188.45,188.62,1979400,186.87
2014-04-22,188.37,189.55,188.29,189.01,3096800,187.26
2014-04-21,187.58,188.23,187.36,188.22,2424000,186.48
2014-04-17,187.03,188.02,186.71,187.54,2236100,185.80
2014-04-16,186.58,187.27,185.78,187.25,1911100,185.52
2014-04-15,184.40,185.43,182.61,185.36,3865300,183.64
2014-04-14,184.03,184.47,182.55,184.03,4064400,182.33
2014-04-11,183.25,184.52,182.41,182.60,4198100,180.91
2014-04-10,188.23,188.30,184.05,184.23,5825100,182.52
2014-04-09,186.71,188.28,186.20,188.24,3020200,186.50
2014-04-08,185.36,186.52,184.72,186.24,3667700,184.52
2014-04-07,187.05,187.40,185.08,185.41,5485000,183.69
2014-04-04,190.78,190.85,187.24,187.56,3825400,185.82
2014-04-03,190.40,190.41,189.20,189.81,2464200,188.05
2014-04-02,189.65,190.26,189.28,189.99,4152200,188.23
2014-04-01,188.74,189.50,188.59,189.38,2962200,187.63
2014-03-31,187.75,188.43,187.59,188.14,6096900,186.40
2014-03-28,186.26,187.55,186.13,186.56,3667700,184.83
2014-03-27,185.86,186.45,185.02,185.77,4262400,184.05
2014-03-26,188.16,188.45,186.07,186.09,5017300,184.37
2014-03-25,187.48,188.06,186.40,187.49,3739400,185.75
2014-03-24,188.78,189.02,186.57,187.40,5129700,184.84
2014-03-21,189.68,190.13,188.00,188.19,4019900,185.62
2014-03-20,187.37,189.02,187.05,188.90,3453300,186.32
2014-03-19,188.81,189.08,186.62,187.80,6050800,185.24
2014-03-18,187.84,189.05,187.63,188.84,3212000,186.26
2014-03-17,186.68,187.89,186.64,187.46,3430500,184.90
2014-03-14,185.89,186.89,185.55,185.76,4713500,183.22
2014-03-13,188.98,189.11,185.78,186.27,4921000,183.73
2014-03-12,187.45,188.47,187.02,188.40,2450300,185.83
2014-03-11,189.59,189.85,187.93,188.38,3919200,185.81
2014-03-10,189.07,189.36,188.21,189.32,1922700,186.74
2014-03-07,190.03,190.10,188.58,189.40,5062100,186.81
2014-03-06,189.36,189.75,189.04,189.28,4918600,186.70
2014-03-05,188.88,189.19,188.60,188.74,5397600,186.16
2014-03-04,187.89,189.13,187.89,188.82,22516600,186.24
2014-03-03,185.76,186.56,184.85,186.09,6207100,183.55
2014-02-28,186.93,188.28,186.17,187.34,5779900,184.78
2014-02-27,185.69,186.97,185.48,186.94,2389000,184.39
2014-02-26,186.24,186.70,185.44,185.95,4230600,183.41
2014-02-25,186.14,186.70,185.35,185.95,3515200,183.41
2014-02-24,185.40,187.26,185.31,185.86,3101600,183.32
2014-02-21,185.59,185.99,184.90,185.08,2572000,182.55
2014-02-20,184.36,185.63,183.71,185.18,3147400,182.65
2014-02-19,184.86,186.06,183.96,184.14,3095900,181.63
2014-02-18,185.27,185.59,184.76,185.37,3014400,182.84
2014-02-14,183.93,185.45,183.77,185.09,3422500,182.56
2014-02-13,181.91,184.28,181.91,184.11,5104600,181.60
2014-02-12,183.31,183.90,182.79,183.22,5400900,180.72
2014-02-11,181.25,183.51,181.13,183.07,4634400,180.57
2014-02-10,180.75,181.12,180.27,181.07,4264300,178.60
2014-02-07,179.37,180.92,178.78,180.82,5945300,178.35
2014-02-06,176.61,178.51,176.61,178.49,5247300,176.05
2014-02-05,175.79,176.59,174.72,176.14,4705500,173.73
2014-02-04,175.96,176.86,175.35,176.37,5725900,173.96
2014-02-03,178.97,179.39,174.84,175.17,38748500,172.78
2014-01-31,178.06,180.34,177.97,179.17,6167000,176.72
2014-01-30,179.88,180.85,179.31,180.30,3790000,177.84
2014-01-29,178.64,179.59,177.91,178.38,7934900,175.94
2014-01-28,179.20,180.33,179.16,180.12,4905800,177.66
2014-01-27,180.13,180.56,178.16,178.96,8580500,176.52
2014-01-24,182.65,182.72,179.90,179.90,12046900,177.44
2014-01-23,184.47,184.47,182.89,183.87,4297500,181.36
2014-01-22,185.60,185.64,184.99,185.39,4456200,182.86
2014-01-21,185.78,185.85,184.13,185.26,3283100,182.73
2014-01-17,185.20,185.53,184.41,184.75,3661600,182.23
2014-01-16,185.39,185.57,184.91,185.46,6712600,182.93
2014-01-15,185.16,186.02,185.09,185.78,3368900,183.24
2014-01-14,183.34,184.85,183.02,184.73,5433000,182.21
2014-01-13,184.76,185.26,182.42,182.78,4853400,180.28
