Date,Open,High,Low,Close,Volume,Adj Close
2014-10-01,109.29,109.39,107.43,107.80,88621100,107.80
2014-09-30,110.92,111.03,109.31,109.35,55596900,109.35
2014-09-29,109.82,111.35,109.72,111.03,30619000,111.03
2014-09-26,110.55,111.22,110.20,111.12,26473300,111.12
2014-09-25,111.73,111.83,109.75,110.13,49733600,110.13
2014-09-24,111.15,112.11,110.60,112.02,34323100,112.02
2014-09-23,111.90,112.62,111.19,111.32,51616800,111.01
2014-09-22,113.44,113.53,112.05,112.37,45800600,112.06
2014-09-19,115.89,115.91,113.61,113.97,52459600,113.66
2014-09-18,115.24,115.53,114.91,115.43,24714600,115.11
2014-09-17,114.49,115.47,114.19,114.73,45543000,114.42
2014-09-16,113.78,114.76,113.40,114.43,51365900,114.12
2014-09-15,115.36,115.40,113.71,114.11,41644400,113.80
2014-09-12,116.55,116.56,114.97,115.37,32892900,115.05
2014-09-11,115.17,116.73,115.14,116.61,27075600,116.29
2014-09-10,115.16,115.93,114.71,115.86,23060600,115.54
2014-09-09,116.36,116.39,115.00,115.18,36390100,114.86
2014-09-08,116.26,116.80,115.83,116.56,20347300,116.24
2014-09-05,115.78,116.42,115.17,116.38,26935300,116.06
2014-09-04,116.78,117.49,115.72,116.01,26523500,115.69
2014-09-03,117.76,117.80,116.27,116.46,33266600,116.14
2014-09-02,116.98,117.50,116.50,117.20,38816400,116.88
2014-08-29,116.16,116.81,115.65,116.56,26231100,116.24
2014-08-28,116.03,116.23,115.51,115.91,22817800,115.59
2014-08-27,116.89,116.94,116.29,116.51,19070100,116.19
2014-08-26,115.88,116.92,115.80,116.80,34831700,116.48
2014-08-25,115.96,116.41,115.32,115.75,27808600,115.43
2014-08-22,115.04,115.63,114.61,115.21,30100100,114.89
2014-08-21,114.88,115.40,113.84,115.20,33018200,114.88
2014-08-20,114.85,115.22,114.41,114.95,26266900,114.64
2014-08-19,115.13,115.73,115.06,115.44,22692600,115.12
2014-08-18,114.50,115.14,114.09,115.04,33287300,114.72
2014-08-15,114.45,114.45,112.26,113.39,53713800,113.08
2014-08-14,113.52,113.73,113.23,113.61,20882100,113.30
2014-08-13,112.92,113.65,112.70,113.44,23126100,113.13
2014-08-12,112.94,113.47,112.04,112.56,31188400,112.25
2014-08-11,112.89,114.22,112.62,113.34,31000700,113.03
2014-08-08,111.33,112.40,110.99,112.27,32667200,111.96
2014-08-07,112.09,112.52,110.77,111.19,40852200,110.89
2014-08-06,110.67,112.47,110.63,111.73,33658300,111.42
2014-08-05,111.11,112.23,110.56,111.38,44375000,111.07
2014-08-04,111.16,111.80,109.89,111.66,34646200,111.35
2014-08-01,111.16,111.70,109.86,110.68,67805300,110.38
2014-07-31,112.63,112.99,111.05,111.19,61507700,110.89
2014-07-30,114.18,114.31,113.31,113.79,30219000,113.48
2014-07-29,113.39,114.11,113.03,113.34,30574500,113.03
2014-07-28,113.86,113.88,112.23,113.03,37373400,112.72
2014-07-25,113.77,114.01,113.21,113.60,46514500,113.29
2014-07-24,115.22,115.65,114.34,114.64,31905100,114.33
2014-07-23,115.01,115.44,114.51,114.87,26417600,114.56
2014-07-22,114.47,115.25,114.19,114.73,31326500,114.42
2014-07-21,113.51,113.99,113.01,113.77,32720500,113.46
2014-07-18,112.69,114.45,112.46,114.23,46164100,113.92
