Date,Open,High,Low,Close,Volume,Adj Close
2014-10-01,69.18,69.65,68.94,69.24,15034400,69.24
2014-09-30,69.57,69.73,69.10,69.20,13406000,69.20
2014-09-29,69.06,69.62,68.89,69.62,10652300,69.62
2014-09-26,68.78,69.73,68.59,69.64,11235300,69.64
2014-09-25,69.23,69.27,68.61,68.88,13587200,68.88
2014-09-24,69.26,69.91,69.00,69.22,14179000,69.22
2014-09-23,70.29,70.64,69.89,69.92,8117200,69.29
2014-09-22,70.88,70.90,70.32,70.32,16170500,69.69
2014-09-19,71.09,71.28,70.75,70.95,12906500,70.31
2014-09-18,71.58,71.65,70.78,70.91,14133700,70.27
2014-09-17,71.74,72.10,71.37,71.43,18717900,70.79
2014-09-16,70.96,71.70,70.92,71.48,12545200,70.84
2014-09-15,71.28,71.56,70.66,70.95,10270100,70.31
2014-09-12,72.87,72.96,70.86,71.24,26158100,70.60
2014-09-11,73.21,73.47,72.99,73.35,6952900,72.69
2014-09-10,74.02,74.07,73.19,73.26,14574000,72.60
2014-09-09,74.49,74.68,74.15,74.29,7008100,73.62
2014-09-08,74.83,74.95,74.52,74.69,8470200,74.02
2014-09-05,74.25,74.88,74.11,74.82,13249500,74.15
2014-09-04,74.25,74.54,73.85,74.12,10887000,73.45
2014-09-03,74.23,74.47,74.08,74.26,8656900,73.59
2014-09-02,74.05,74.33,74.00,74.24,5386100,73.57
2014-08-29,73.98,74.20,73.80,74.20,6178900,73.53
2014-08-28,73.89,74.01,73.64,73.83,4091100,73.16
2014-08-27,73.94,74.08,73.73,73.90,2845500,73.23
2014-08-26,73.78,74.03,73.70,73.78,3133800,73.12
2014-08-25,74.12,74.19,73.47,73.78,7306100,73.12
2014-08-22,74.40,74.40,73.61,73.81,8299600,73.14
2014-08-21,74.48,74.69,74.31,74.31,4645100,73.64
2014-08-20,74.08,74.46,73.68,74.38,15038100,73.71
2014-08-19,74.12,74.23,73.88,74.02,7827000,73.35
2014-08-18,73.58,73.96,73.48,73.96,15038000,73.29
2014-08-15,73.46,73.62,73.03,73.28,9707600,72.62
2014-08-14,73.20,73.50,73.07,73.21,6522600,72.55
2014-08-13,72.45,73.23,72.45,73.23,5739400,72.57
2014-08-12,72.47,72.66,72.22,72.33,3882900,71.68
2014-08-11,72.25,72.74,72.17,72.54,9721300,71.89
2014-08-08,71.89,72.17,71.52,72.14,6750200,71.49
2014-08-07,71.68,71.95,71.47,71.60,6944400,70.95
