Date,Open,High,Low,Close,Volume,Adj Close
2014-10-01,52.76,53.06,52.45,52.60,5502900,52.60
2014-09-30,53.40,53.44,52.57,52.92,5349800,52.92
2014-09-29,52.97,53.44,52.76,53.35,4370900,53.35
2014-09-26,53.16,53.35,52.89,53.18,4428700,53.18
2014-09-25,53.45,53.76,53.02,53.07,4217000,53.07
2014-09-24,53.15,53.79,53.09,53.63,4567100,53.63
2014-09-23,53.28,53.48,53.06,53.12,3488500,53.12
2014-09-22,53.92,53.92,53.30,53.46,3885200,53.46
2014-09-19,54.38,54.81,53.82,54.09,7181400,54.09
2014-09-18,53.95,54.33,53.80,54.15,4199900,54.15
2014-09-17,53.79,54.25,53.67,53.86,5878700,53.86
2014-09-16,53.00,53.97,52.91,53.70,5177600,53.70
2014-09-15,52.95,53.24,52.71,53.13,4418200,53.13
2014-09-12,53.12,53.38,52.67,52.97,5443500,52.97
2014-09-11,53.04,53.20,52.67,53.08,6348500,53.08
2014-09-10,53.11,53.42,52.89,53.39,3265100,53.39
2014-09-09,53.44,53.54,52.91,53.03,3342000,53.03
2014-09-08,53.83,54.13,53.46,53.54,4019800,53.54
2014-09-05,53.53,54.14,53.10,54.11,5073300,54.11
2014-09-04,53.00,53.70,52.95,53.61,6665100,53.61
2014-09-03,52.70,53.04,52.36,52.91,5820100,52.91
2014-09-02,52.66,52.94,52.03,52.61,5144200,52.61
2014-08-29,52.50,52.73,52.26,52.51,3510600,52.51
2014-08-28,52.15,52.69,52.03,52.54,4357500,52.54
2014-08-27,52.68,52.84,52.46,52.52,4927900,52.52
2014-08-26,52.63,52.97,52.56,52.58,4814000,52.58
2014-08-25,52.80,52.95,52.50,52.70,3779300,52.70
2014-08-22,52.49,52.90,52.13,52.53,5062200,52.53
2014-08-21,52.64,53.04,52.49,52.67,7154100,52.67
2014-08-20,49.95,52.66,49.70,52.33,18405900,52.33
2014-08-19,51.81,52.00,51.28,51.52,9344800,51.52
2014-08-18,50.50,50.70,50.34,50.45,4816800,50.45
2014-08-15,50.56,51.19,49.57,50.00,6642200,50.00
2014-08-14,49.96,50.41,49.75,50.41,3605200,50.41
2014-08-13,49.91,50.30,49.62,49.85,4397800,49.85
2014-08-12,49.78,49.95,49.59,49.83,3287300,49.83
2014-08-11,49.84,49.95,49.41,49.86,4070500,49.86
2014-08-08,48.26,49.79,48.20,49.72,7386400,49.72
2014-08-07,48.26,48.50,47.80,47.92,3175700,47.92
2014-08-06,47.59,48.22,47.52,48.10,3968500,48.10
2014-08-05,47.76,48.23,47.55,47.64,4879400,47.64
2014-08-04,47.61,48.05,47.60,47.91,3528100,47.91
2014-08-01,47.89,48.13,47.27,47.59,5231200,47.59
2014-07-31,48.18,48.47,47.85,47.85,4740700,47.85
2014-07-30,48.20,48.54,48.06,48.47,4380500,48.47
2014-07-29,47.72,48.26,47.70,48.04,4181400,48.04
2014-07-28,47.76,47.85,47.35,47.69,3192900,47.69
2014-07-25,47.81,48.13,47.55,47.70,4531100,47.70
2014-07-24,47.98,48.36,47.88,48.00,3934600,48.00
2014-07-23,47.77,48.00,47.60,47.91,3917900,47.91
2014-07-22,47.59,48.08,47.54,47.79,3222400,47.79
2014-07-21,47.62,47.76,47.42,47.58,3117900,47.58
2014-07-18,47.45,47.87,47.38,47.81,5211200,47.81
2014-07-17,47.42,47.78,47.22,47.30,5010000,47.30
2014-07-16,47.63,47.77,47.23,47.66,5318100,47.66
2014-07-15,47.35,47.73,47.27,47.51,5921700,47.51
2014-07-14,47.70,47.70,47.14,47.22,4358900,47.22
2014-07-11,47.18,47.51,47.09,47.44,4430800,47.44
2014-07-10,46.67,47.42,46.48,47.20,8008700,47.20
2014-07-09,48.01,48.32,47.59,47.86,5830900,47.86
2014-07-08,48.08,48.15,47.63,47.82,5011300,47.82
2014-07-07,48.10,48.40,47.97,48.21,4538000,48.21
2014-07-03,48.22,48.44,48.18,48.23,2132400,48.23
2014-07-02,48.16,48.39,48.00,48.12,3097900,48.12
2014-07-01,48.03,48.42,47.97,48.13,5843800,48.13
2014-06-30,47.32,48.06,47.07,47.99,7388700,47.99
2014-06-27,47.13,47.57,47.07,47.42,5216600,47.42
2014-06-26,46.83,47.44,46.75,47.20,5272000,47.20
2014-06-25,46.58,46.88,46.39,46.70,5059500,46.70
2014-06-24,45.96,46.86,45.70,46.51,11137700,46.51
2014-06-23,45.98,46.23,45.84,46.08,6532800,46.08
2014-06-20,46.08,46.24,45.65,46.02,13871100,46.02
2014-06-19,45.94,46.19,45.61,45.90,4751200,45.90
2014-06-18,45.76,45.95,45.50,45.84,10408400,45.84
2014-06-17,45.34,46.07,45.24,45.84,8366900,45.84
2014-06-16,45.36,45.62,45.21,45.42,6713500,45.42
2014-06-13,45.69,45.83,45.10,45.45,6139500,45.45
2014-06-12,46.57,46.66,45.52,45.55,11318400,45.55
2014-06-11,47.38,47.52,46.82,46.91,4244900,46.91
2014-06-10,47.45,47.75,47.28,47.59,3588100,47.59
2014-06-09,47.66,48.25,47.53,47.61,3700200,47.61
2014-06-06,47.53,47.90,47.44,47.77,3860500,47.77
2014-06-05,47.34,47.61,47.06,47.40,4300100,47.40
2014-06-04,47.09,47.40,46.86,47.17,4501900,47.17
2014-06-03,46.82,47.38,46.80,47.22,3560600,47.22
2014-06-02,47.09,47.41,46.89,47.01,4070800,47.01
2014-05-30,46.97,47.11,46.57,47.08,4288900,47.08
2014-05-29,46.86,47.15,46.45,47.01,3947800,47.01
2014-05-28,46.91,47.24,46.57,46.71,6889900,46.71
2014-05-27,47.18,47.83,47.15,47.78,5534400,47.78
2014-05-23,46.82,47.14,46.73,47.06,5096400,47.06
2014-05-22,45.20,47.15,45.20,46.89,8780800,46.89
2014-05-21,45.40,45.84,44.31,45.41,8572000,45.41
2014-05-20,46.01,46.29,45.25,45.52,8853200,45.52
2014-05-19,45.24,45.69,45.00,45.55,4567700,45.55
2014-05-16,44.77,45.40,44.77,45.36,5727100,45.36
2014-05-15,44.91,44.91,44.13,44.63,7721200,44.63
2014-05-14,45.68,45.70,44.99,45.17,5480300,45.17
2014-05-13,46.30,46.63,45.51,45.76,3962300,45.76
2014-05-12,45.83,46.45,45.82,46.28,2820500,46.28
2014-05-09,45.01,45.73,44.89,45.71,4023700,45.71
2014-05-08,45.07,45.79,44.78,45.02,3718200,45.02
2014-05-07,45.60,45.79,44.68,45.11,5148500,45.11
2014-05-06,46.19,46.25,45.31,45.39,4586800,45.39
2014-05-05,46.68,46.84,46.13,46.29,3984700,46.29
2014-05-02,46.38,47.34,46.38,46.98,4732300,46.98
2014-05-01,46.05,46.69,45.89,46.37,4367100,46.37
2014-04-30,46.30,46.37,45.65,45.91,6618800,45.91
2014-04-29,46.48,46.58,46.14,46.43,3888400,46.43
2014-04-28,46.60,47.20,45.67,46.38,7024100,46.38
2014-04-25,46.98,47.01,46.35,46.38,4589200,46.38
2014-04-24,46.46,47.18,46.34,47.16,4674800,47.16
2014-04-23,47.53,47.68,46.19,46.22,7862500,46.22
2014-04-22,46.75,47.88,46.67,47.54,4687200,47.54
2014-04-21,46.66,46.88,46.51,46.68,3140900,46.68
2014-04-17,46.51,47.08,46.29,46.80,4281000,46.62
2014-04-16,46.97,47.18,46.56,46.73,4270900,46.55
2014-04-15,46.96,46.96,45.79,46.71,5437900,46.53
2014-04-14,46.64,47.14,46.27,46.64,4698300,46.46
2014-04-11,46.66,46.72,46.19,46.31,4931500,46.13
2014-04-10,47.49,47.86,46.75,46.79,6203400,46.61
2014-04-09,46.82,47.61,46.51,47.54,6023000,47.36
2014-04-08,46.75,46.91,46.41,46.73,6887600,46.55
2014-04-07,48.45,48.52,46.58,46.77,8818100,46.59
2014-04-04,49.21,49.24,48.18,48.44,5951900,48.25
2014-04-03,49.50,49.59,48.89,49.05,4765600,48.86
2014-04-02,49.39,49.97,49.29,49.52,4846000,49.33
2014-04-01,49.07,49.79,49.05,49.43,3571000,49.24
2014-03-31,49.11,49.14,48.76,48.90,6694100,48.71
2014-03-28,48.84,49.02,48.63,48.92,4016300,48.73
2014-03-27,48.39,48.57,48.22,48.54,5300800,48.35
2014-03-26,48.46,48.83,48.16,48.53,7082300,48.34
2014-03-25,49.27,49.36,48.19,48.36,5955600,48.17
2014-03-24,49.32,49.58,48.75,49.18,5388400,48.99
2014-03-21,49.84,50.07,49.19,49.25,7777500,49.06
2014-03-20,49.41,49.61,49.23,49.55,4145500,49.36
2014-03-19,49.94,50.28,49.28,49.58,4315500,49.39
2014-03-18,49.49,49.93,49.35,49.83,3910600,49.64
2014-03-17,49.25,49.82,49.21,49.48,4965200,49.29
2014-03-14,49.09,49.62,48.96,49.09,5298700,48.90
2014-03-13,49.53,49.75,48.62,48.71,5587200,48.52
2014-03-12,49.31,49.39,48.94,49.38,4435900,49.19
2014-03-11,50.10,50.20,49.28,49.46,4553000,49.27
2014-03-10,50.28,50.50,49.98,49.99,5132100,49.80
2014-03-07,50.50,50.53,50.02,50.42,4340500,50.23
2014-03-06,49.73,50.25,49.69,50.09,4380800,49.90
2014-03-05,50.74,50.78,50.30,50.35,5217200,50.16
2014-03-04,50.42,50.78,50.27,50.63,6390300,50.44
2014-03-03,48.60,50.58,48.60,50.19,7203400,50.00
2014-02-28,50.88,50.89,49.47,50.03,9573400,49.84
2014-02-27,50.58,51.02,50.39,50.82,7249300,50.62
2014-02-26,50.20,51.28,48.81,50.72,18638100,50.52
2014-02-25,47.84,48.37,47.76,48.11,10095100,47.92
2014-02-24,47.21,47.78,47.21,47.22,7786700,47.04
2014-02-21,46.66,47.30,46.66,47.06,7675200,46.88
2014-02-20,46.67,47.09,46.60,46.66,7724200,46.48
2014-02-19,46.81,47.17,46.51,46.54,5460600,46.36
2014-02-18,47.50,47.68,46.69,46.93,5454500,46.75
2014-02-14,46.60,47.39,46.46,47.28,3459900,47.10
2014-02-13,46.47,46.81,46.03,46.64,5051600,46.46
2014-02-12,46.78,47.09,46.56,46.68,6788200,46.50
2014-02-11,45.98,46.94,45.97,46.76,6922100,46.58
2014-02-10,46.11,46.42,45.91,46.12,7342900,45.94
2014-02-07,46.11,46.26,45.44,46.07,9641200,45.89
2014-02-06,45.67,46.64,45.60,46.58,6486400,46.40
2014-02-05,44.82,45.67,44.45,45.53,8036000,45.35
2014-02-04,45.55,45.73,44.78,44.90,8399200,44.73
2014-02-03,46.26,46.53,45.48,45.60,7755000,45.42
2014-01-31,46.01,46.80,45.62,46.29,6767300,46.11
2014-01-30,46.31,46.78,45.96,46.50,5772900,46.32
2014-01-29,46.57,46.89,45.78,45.97,9922000,45.79
2014-01-28,46.75,47.38,46.58,46.96,13364000,46.78
2014-01-27,47.78,48.32,47.34,48.00,8050300,47.82
2014-01-24,47.78,48.30,47.73,47.83,9086200,47.65
2014-01-23,47.55,48.22,47.25,48.15,6938800,47.96
2014-01-22,47.84,47.85,47.18,47.75,7916600,47.57
2014-01-21,47.59,47.86,47.26,47.82,7430100,47.64
2014-01-17,48.10,48.14,47.56,47.61,5764000,47.43
2014-01-16,48.11,48.28,47.77,48.18,4146200,47.82
2014-01-15,48.98,49.03,48.10,48.29,6224600,47.92
2014-01-14,48.61,48.93,48.37,48.90,5498900,48.53
2014-01-13,49.40,49.91,48.50,48.66,6403800,48.29
2014-01-10,48.92,49.78,48.88,49.68,5736400,49.30
2014-01-09,48.75,48.88,48.36,48.75,4941400,48.38
2014-01-08,48.28,48.75,48.25,48.55,4875800,48.18
2014-01-07,48.40,48.82,48.00,48.38,5541900,48.01
2014-01-06,48.97,49.10,48.04,48.26,4923000,47.89
2014-01-03,49.41,49.53,48.83,48.95,4257500,48.58
2014-01-02,49.55,49.86,49.15,49.44,5458300,49.07
2013-12-31,49.22,49.61,49.18,49.55,3457300,49.18
2013-12-30,48.98,49.43,48.91,49.25,3202800,48.88
2013-12-27,49.15,49.45,48.65,48.83,3828600,48.46
2013-12-26,48.83,49.23,48.73,49.03,3124500,48.66
2013-12-24,48.43,48.95,48.28,48.70,2281800,48.33
2013-12-23,47.96,48.79,47.96,48.40,4715100,48.03
2013-12-20,48.58,48.92,47.92,47.97,8169900,47.61
2013-12-19,48.06,48.92,47.75,48.39,7668100,48.02
2013-12-18,46.70,48.48,46.62,48.32,10359700,47.95
2013-12-17,47.16,47.23,46.44,46.65,5502000,46.30
2013-12-16,47.47,47.72,47.08,47.13,4228200,46.77
2013-12-13,46.90,47.38,46.90,47.11,3815800,46.75
2013-12-12,47.31,47.39,46.82,46.89,4552400,46.54
2013-12-11,47.34,47.80,47.22,47.31,5307800,46.95
2013-12-10,47.68,47.97,47.32,47.36,5477500,47.00
2013-12-09,47.89,48.18,47.69,47.76,6269600,47.40
2013-12-06,47.19,48.48,47.14,47.98,8217900,47.62
2013-12-05,46.70,47.08,46.55,46.61,5232900,46.26
2013-12-04,46.19,47.04,46.08,46.86,8019100,46.51
2013-12-03,45.82,46.55,45.75,46.50,11475200,46.15
2013-12-02,47.58,47.60,46.72,46.83,6834800,46.48
2013-11-29,47.89,47.97,47.45,47.48,3343900,47.12
2013-11-27,47.98,48.21,47.61,47.89,4561900,47.53
2013-11-26,47.86,48.32,47.84,48.01,6901400,47.65
2013-11-25,48.05,48.29,47.51,47.75,6472200,47.39
2013-11-22,48.22,48.24,47.68,47.90,6142600,47.54
2013-11-21,47.54,48.79,47.17,48.20,11977200,47.84
2013-11-20,48.50,48.90,47.16,47.33,26083700,46.97
2013-11-19,51.50,51.85,50.18,50.44,12070900,50.06
2013-11-18,51.74,51.77,50.77,50.89,8655100,50.50
2013-11-15,52.05,52.08,51.53,51.77,10833100,51.38
2013-11-14,51.44,52.03,51.38,51.95,9024800,51.56
2013-11-13,49.81,51.28,49.81,51.28,7433500,50.89
2013-11-12,49.37,50.39,49.37,50.12,10150000,49.74
2013-11-11,48.82,49.44,48.72,49.10,5530100,48.73
2013-11-08,49.01,49.26,48.48,48.72,8931200,48.35
2013-11-07,50.11,50.43,49.03,49.07,4694500,48.70
2013-11-06,50.42,50.50,49.82,49.97,4104400,49.59
2013-11-05,49.54,50.42,49.40,50.18,5153500,49.80
2013-11-04,49.49,49.82,49.48,49.77,5592500,49.39
2013-11-01,49.83,49.99,49.15,49.18,9961600,48.81
2013-10-31,50.25,50.34,49.66,49.78,7212200,49.40
2013-10-30,50.67,50.74,49.77,50.15,6991100,49.77
2013-10-29,50.29,50.71,50.19,50.61,8843200,50.23
2013-10-28,50.49,50.52,49.83,50.11,5916400,49.73
2013-10-25,50.25,50.63,49.93,50.59,6014300,50.21
2013-10-24,49.29,50.48,49.22,50.44,8420900,50.06
2013-10-23,48.17,49.31,48.12,49.25,9541700,48.88
2013-10-22,48.19,48.53,48.12,48.19,7711400,47.83
2013-10-21,47.59,48.03,47.40,48.02,6482500,47.66
2013-10-18,48.48,48.48,47.58,47.66,12981900,47.12
2013-10-17,48.32,49.12,48.31,49.02,6769800,48.47
2013-10-16,48.72,48.79,47.84,48.47,9179900,47.92
2013-10-15,48.84,48.84,47.95,48.45,7282700,47.90
2013-10-14,48.45,48.97,48.36,48.88,4959300,48.33
2013-10-11,47.96,48.81,47.93,48.80,6949900,48.25
2013-10-10,47.27,47.89,47.16,47.82,5738400,47.28
2013-10-09,46.53,47.07,46.10,46.60,6652000,46.07
2013-10-08,47.25,47.60,46.49,46.53,7306200,46.00
2013-10-07,47.54,47.82,47.26,47.26,6404200,46.73
2013-10-04,47.97,48.22,47.85,48.14,5518600,47.60
2013-10-03,48.54,48.80,47.55,47.93,7403300,47.39
2013-10-02,47.85,48.48,47.66,48.41,5951600,47.86
2013-10-01,47.64,48.38,47.50,48.19,6662500,47.64
2013-09-30,47.31,47.96,47.20,47.61,5846500,47.07
2013-09-27,47.79,48.02,47.63,47.77,4107600,47.23
2013-09-26,47.73,48.16,47.73,47.89,4354400,47.35
2013-09-25,48.02,48.02,47.34,47.54,5916600,47.00
2013-09-24,47.19,48.43,47.02,48.04,7195300,47.50
2013-09-23,47.66,47.74,47.19,47.27,7187300,46.74
2013-09-20,49.07,49.14,47.84,47.84,11704700,47.30
2013-09-19,48.00,49.17,48.00,48.98,11076500,48.43
2013-09-18,46.77,48.02,46.42,47.75,7535200,47.21
2013-09-17,46.76,47.05,46.60,46.85,5347900,46.32
