Date,Open,High,Low,Close,Volume,Adj Close
2014-10-01,92.67,93.22,92.42,92.65,4842800,92.65
2014-09-30,92.95,93.43,92.92,93.09,4219300,93.09
2014-09-29,92.51,93.39,92.51,93.15,2973500,93.15
2014-09-26,92.50,93.33,92.44,93.13,3536300,93.13
2014-09-25,93.40,93.43,92.48,92.67,4372400,92.67
2014-09-24,93.11,94.04,93.08,93.50,4227300,93.50
2014-09-23,93.55,93.58,92.84,92.93,3386300,92.93
2014-09-22,93.42,93.78,93.29,93.58,3790600,93.58
2014-09-19,93.86,94.21,93.42,93.79,6259500,93.79
2014-09-18,92.97,93.50,92.70,93.37,4753300,93.37
2014-09-17,92.67,93.31,92.05,92.85,4997200,92.85
2014-09-16,91.14,93.09,90.95,92.57,5155400,92.57
2014-09-15,91.07,91.31,90.78,91.20,3770700,91.20
2014-09-12,91.60,91.80,90.58,90.87,3587700,90.87
2014-09-11,91.69,91.95,91.48,91.65,3670600,91.65
2014-09-10,91.67,91.92,91.53,91.79,3720500,91.79
2014-09-09,91.50,91.79,91.30,91.42,3259200,91.42
2014-09-08,91.48,92.25,91.39,91.86,3534300,91.86
2014-09-05,91.85,91.85,91.39,91.75,3148000,91.75
2014-09-04,92.95,93.15,91.77,91.85,4466800,91.85
2014-09-03,92.40,92.76,91.81,92.75,4929600,92.75
2014-09-02,92.62,93.14,92.38,92.48,5130300,91.83
2014-08-29,92.73,92.91,92.01,92.49,3657700,91.83
2014-08-28,92.09,92.70,91.81,92.58,3234300,91.92
2014-08-27,92.72,92.72,92.06,92.23,2955100,91.58
2014-08-26,93.21,93.51,92.56,92.60,3143400,91.94
2014-08-25,92.58,93.45,92.58,93.19,5031800,92.53
2014-08-22,92.27,92.59,91.60,91.60,3865500,90.95
2014-08-21,92.57,93.19,92.01,92.05,4060300,91.40
2014-08-20,91.82,92.44,91.52,92.23,5709300,91.58
2014-08-19,92.22,92.36,91.78,91.86,3086300,91.21
