Date,Open,High,Low,Close,Volume,Adj Close
2014-10-01,34.39,34.60,34.08,34.34,5365600,34.34
2014-09-30,34.59,34.76,34.27,34.56,5016000,34.56
2014-09-29,34.68,35.03,34.64,35.00,3150100,35.00
2014-09-26,34.97,35.30,34.83,35.11,3565200,35.11
2014-09-25,34.91,35.13,34.82,35.04,4774500,35.04
2014-09-24,34.81,35.11,34.53,35.06,3402800,35.06
2014-09-23,35.00,35.26,34.84,34.87,3120500,34.87
2014-09-22,35.14,35.28,34.78,34.88,3391500,34.88
2014-09-19,35.38,35.59,35.13,35.40,5284600,35.40
2014-09-18,35.46,35.53,35.23,35.38,3516900,35.38
2014-09-17,35.32,35.67,35.05,35.45,6186500,35.45
2014-09-16,34.65,35.29,34.55,35.26,6683500,35.26
2014-09-15,34.32,34.57,33.95,34.55,4780000,34.55
2014-09-12,33.56,34.31,33.42,34.29,4862400,34.29
2014-09-11,33.85,34.23,33.58,33.69,4935800,33.69
2014-09-10,33.86,34.02,33.65,34.01,4022900,34.01
2014-09-09,33.98,34.05,33.61,33.86,6414800,33.86
2014-09-08,34.37,34.53,34.29,34.36,2819400,34.36
2014-09-05,34.27,34.58,34.24,34.41,3560000,34.41
2014-09-04,34.92,34.92,34.20,34.31,3391300,34.31
2014-09-03,35.08,35.21,34.80,34.84,2157800,34.84
2014-09-02,35.01,35.24,34.74,34.96,2643300,34.96
2014-08-29,35.27,35.40,35.10,35.16,1850900,35.16
2014-08-28,35.12,35.34,34.97,35.30,2080000,35.30
2014-08-27,35.36,35.40,34.91,35.23,2862100,35.23
2014-08-26,35.19,35.39,35.07,35.17,1992900,35.17
2014-08-25,35.35,35.40,35.21,35.27,1421200,35.27
2014-08-22,35.62,35.64,35.21,35.21,1559700,35.21
2014-08-21,35.36,35.78,35.32,35.53,2183000,35.53
2014-08-20,35.26,35.41,34.95,35.38,2885800,35.38
2014-08-19,35.28,35.51,35.10,35.26,2129300,35.26
2014-08-18,35.18,35.50,35.11,35.35,2303300,35.35
2014-08-15,34.86,35.05,34.67,35.02,2592800,35.02
2014-08-14,34.47,34.74,34.47,34.73,3149900,34.73
2014-08-13,34.58,34.67,34.34,34.44,4053600,34.44
2014-08-12,35.00,35.21,34.83,34.93,3971600,34.93
2014-08-11,34.73,35.12,34.69,35.08,3318600,35.08
2014-08-08,34.38,34.57,34.11,34.51,3949300,34.51
2014-08-07,35.20,35.25,34.28,34.42,4345900,34.42
2014-08-06,34.96,35.24,34.91,35.05,4359000,35.05
2014-08-05,35.00,35.10,34.72,35.07,3311100,35.07
2014-08-04,35.04,35.19,34.80,35.11,2966700,35.11
2014-08-01,35.50,35.62,34.69,34.97,5054400,34.97
2014-07-31,35.99,36.23,35.47,35.49,3876000,35.49
2014-07-30,36.14,36.43,35.87,36.05,3470000,36.05
2014-07-29,36.71,36.71,36.17,36.19,3319300,36.19
2014-07-28,36.46,36.73,36.27,36.51,3232000,36.51
2014-07-25,36.19,36.61,36.19,36.47,3121300,36.47
2014-07-24,36.90,37.11,36.15,36.23,7891600,36.23
2014-07-23,35.98,36.23,35.84,36.18,3763900,36.18
2014-07-22,35.74,36.00,35.56,35.87,3308600,35.87
2014-07-21,36.02,36.03,35.52,35.76,2583300,35.76
2014-07-18,35.70,36.26,35.68,36.10,2672100,36.10
2014-07-17,35.80,36.27,35.54,35.90,3541300,35.90
2014-07-16,35.61,35.95,35.56,35.85,5686900,35.85
2014-07-15,36.16,36.49,35.59,35.83,4694300,35.83
2014-07-14,35.84,36.06,35.76,36.05,3478800,36.05
2014-07-11,35.93,35.98,35.50,35.73,5535600,35.73
2014-07-10,36.20,36.28,35.84,35.96,6173400,35.96
2014-07-09,36.86,36.93,36.31,36.59,6554600,36.59
2014-07-08,37.45,37.47,37.16,37.28,4702700,36.93
2014-07-07,37.76,37.93,37.35,37.55,3474100,37.20
2014-07-03,37.84,38.06,37.84,37.99,1635300,37.63
2014-07-02,37.99,38.14,37.85,37.89,2596500,37.53
2014-07-01,37.89,38.13,37.75,37.81,2456800,37.46
2014-06-30,37.84,38.18,37.79,37.96,3369200,37.60
2014-06-27,37.79,37.98,37.74,37.94,1689200,37.58
2014-06-26,37.98,38.15,37.67,37.91,3065400,37.55
2014-06-25,38.21,38.33,37.81,38.03,5401800,37.67
2014-06-24,38.21,38.49,38.16,38.19,5225600,37.83
2014-06-23,38.34,38.58,38.15,38.25,4652800,37.89
2014-06-20,38.29,38.58,38.18,38.42,4555900,38.06
2014-06-19,38.29,38.40,37.76,38.24,3669900,37.88
2014-06-18,37.56,38.20,37.56,38.07,5456100,37.71
2014-06-17,36.86,38.14,36.75,37.66,7502100,37.31
2014-06-16,35.96,37.14,35.91,37.06,5527200,36.71
2014-06-13,35.87,36.15,35.85,36.05,2533000,35.71
2014-06-12,35.98,36.18,35.83,36.00,3255200,35.66
2014-06-11,36.00,36.24,35.90,35.99,3280400,35.65
2014-06-10,35.52,36.31,35.48,36.11,5456300,35.77
2014-06-09,35.49,35.65,35.41,35.55,2754700,35.22
2014-06-06,35.43,35.56,35.29,35.51,3386400,35.18
2014-06-05,35.58,35.77,35.17,35.47,3468100,35.14
2014-06-04,35.58,35.86,35.40,35.57,2304900,35.24
2014-06-03,35.61,35.75,35.33,35.68,3664600,35.35
2014-06-02,36.18,36.42,35.72,35.76,4224100,35.42
2014-05-30,36.31,36.42,36.15,36.32,2911600,35.98
2014-05-29,36.29,36.40,36.05,36.40,3479000,36.06
2014-05-28,36.21,36.59,36.09,36.19,3971200,35.85
2014-05-27,36.47,36.51,36.14,36.18,3072200,35.84
2014-05-23,36.31,36.44,35.98,36.32,4282400,35.98
2014-05-22,36.73,37.12,36.27,36.30,5066700,35.96
2014-05-21,36.92,37.22,36.63,37.05,5054500,36.70
2014-05-20,36.75,37.36,36.72,37.22,3094300,36.87
2014-05-19,36.88,37.20,36.81,36.90,2703400,36.55
2014-05-16,36.67,37.25,36.67,36.95,4027100,36.60
2014-05-15,37.04,37.20,36.52,36.77,7776400,36.42
2014-05-14,36.80,37.46,36.77,37.13,4962000,36.78
2014-05-13,36.34,36.76,36.32,36.68,3968100,36.34
2014-05-12,36.19,36.33,36.13,36.32,3042900,35.98
2014-05-09,36.06,36.23,35.95,36.04,2968600,35.70
2014-05-08,36.18,36.33,36.08,36.26,2524800,35.92
2014-05-07,36.37,36.37,35.79,36.16,4130200,35.82
2014-05-06,36.12,36.24,35.77,36.21,5067200,35.87
2014-05-05,36.40,36.59,36.02,36.24,3298900,35.90
2014-05-02,36.22,36.60,36.22,36.57,5925200,36.23
2014-05-01,36.09,36.31,36.00,36.25,6202800,35.91
2014-04-30,35.74,36.18,35.68,36.16,4430500,35.82
2014-04-29,36.08,36.24,35.67,35.76,4909800,35.42
2014-04-28,35.83,35.92,35.49,35.84,4680200,35.50
2014-04-25,35.03,35.79,35.00,35.72,5063300,35.38
2014-04-24,35.60,35.63,34.81,35.43,5109700,35.10
2014-04-23,35.54,35.54,34.97,35.14,5732400,34.81
2014-04-22,35.53,35.71,35.33,35.60,3849600,35.27
2014-04-21,34.95,35.50,34.95,35.44,4718000,35.11
2014-04-17,34.94,35.04,34.66,34.90,4262600,34.57
2014-04-16,35.08,35.28,34.80,35.01,4524500,34.68
2014-04-15,34.37,35.12,34.31,34.94,8054600,34.61
2014-04-14,33.55,34.07,33.43,33.89,3320800,33.57
2014-04-11,33.43,33.67,33.27,33.33,3241300,33.02
2014-04-10,34.12,34.20,33.62,33.69,4261000,33.37
2014-04-09,33.92,34.27,33.89,34.21,3860300,33.89
2014-04-08,33.52,33.95,33.44,33.95,4165800,33.63
2014-04-07,34.28,34.38,33.57,33.81,5504900,33.15
2014-04-04,34.81,34.92,34.33,34.46,4283600,33.78
2014-04-03,34.90,35.02,34.46,34.52,5051500,33.84
2014-04-02,34.95,35.04,34.50,34.91,6464400,34.22
2014-04-01,35.92,36.18,35.04,35.32,8206300,34.63
2014-03-31,35.70,36.29,35.55,36.22,6498000,35.51
2014-03-28,35.50,35.84,35.28,35.56,3832200,34.86
2014-03-27,35.10,35.36,35.01,35.31,3203500,34.62
2014-03-26,35.12,35.68,35.08,35.19,5229000,34.50
2014-03-25,34.62,35.03,34.52,34.91,4395300,34.22
2014-03-24,34.37,34.64,34.18,34.48,4007900,33.80
2014-03-21,34.66,34.87,34.22,34.32,4445400,33.65
2014-03-20,34.43,34.62,34.20,34.53,3506400,33.85
2014-03-19,34.61,34.77,34.28,34.50,4355100,33.82
2014-03-18,34.28,34.79,34.24,34.73,6109600,34.05
2014-03-17,34.36,34.48,34.08,34.23,4624600,33.56
