Date,Open,High,Low,Close,Volume,Adj Close
2014-10-01,98.51,98.61,96.90,97.21,58088700,97.21
2014-09-30,98.92,99.30,98.32,98.79,41834300,98.79
2014-09-29,97.80,98.92,97.75,98.65,33342700,98.65
2014-09-26,98.06,98.96,97.89,98.78,56106200,98.78
2014-09-25,99.52,99.65,97.70,97.74,68642500,97.74
2014-09-24,98.88,99.89,98.54,99.84,35959000,99.84
2014-09-23,98.65,99.22,98.58,98.78,33989600,98.78
2014-09-22,99.74,99.75,98.62,99.05,48658000,99.05
2014-09-19,100.46,100.56,99.58,99.98,46918000,99.98
2014-09-18,99.84,100.29,99.73,100.28,30196700,100.04
2014-09-17,99.36,100.00,98.93,99.53,37196500,99.29
2014-09-16,98.15,99.57,98.05,99.38,38166900,99.14
2014-09-15,99.59,99.60,98.22,98.52,32972200,98.29
2014-09-12,99.87,99.93,99.17,99.48,30444400,99.24
2014-09-11,99.64,100.04,99.24,99.99,28691900,99.75
2014-09-10,99.38,100.11,99.10,100.07,31080100,99.83
2014-09-09,100.09,100.46,99.06,99.25,36449200,99.01
2014-09-08,99.92,100.33,99.62,100.08,25571300,99.84
2014-09-05,99.54,99.95,99.03,99.89,30798200,99.65
2014-09-04,99.71,100.22,99.14,99.39,24663500,99.15
2014-09-03,100.34,100.34,99.30,99.48,25950700,99.24
2014-09-02,100.02,100.10,99.66,100.07,18326800,99.83
2014-08-29,99.63,99.91,99.27,99.78,17906300,99.54
2014-08-28,99.18,99.53,99.08,99.41,23563900,99.17
2014-08-27,99.53,99.64,99.31,99.52,15589100,99.28
2014-08-26,99.55,99.61,99.27,99.50,20100400,99.26
2014-08-25,99.52,99.68,99.16,99.40,24124700,99.16
2014-08-22,98.94,99.25,98.72,99.05,24692000,98.81
2014-08-21,98.75,98.95,98.60,98.90,19339500,98.67
2014-08-20,98.62,98.90,98.53,98.70,23435600,98.47
2014-08-19,98.38,98.76,98.32,98.70,21363400,98.47
2014-08-18,97.91,98.24,97.77,98.15,38938300,97.92
2014-08-15,97.49,97.63,96.48,97.40,55205500,97.17
2014-08-14,96.56,96.95,96.43,96.93,25006600,96.70
2014-08-13,95.81,96.47,95.76,96.43,27996500,96.20
2014-08-12,95.36,95.67,94.93,95.42,28152300,95.19
2014-08-11,95.27,95.76,95.20,95.46,28277500,95.23
2014-08-08,94.37,95.01,93.97,94.90,40236900,94.67
2014-08-07,94.96,95.14,93.89,94.22,33274700,94.00
2014-08-06,94.00,95.11,93.92,94.52,34431900,94.30
2014-08-05,94.94,95.21,94.15,94.59,50331100,94.37
2014-08-04,94.87,95.69,94.52,95.32,33230500,95.09
2014-08-01,94.82,95.34,94.04,94.67,60708000,94.45
2014-07-31,96.18,96.34,94.88,95.02,50047900,94.79
2014-07-30,97.14,97.32,96.60,96.98,35348500,96.75
2014-07-29,96.98,97.20,96.52,96.60,27022200,96.37
2014-07-28,96.84,97.02,96.02,96.77,25603400,96.54
2014-07-25,96.62,96.87,96.23,96.74,29898900,96.51
2014-07-24,97.40,97.51,96.98,97.12,24707200,96.89
2014-07-23,96.95,97.34,96.77,97.23,28947500,97.00
2014-07-22,96.45,96.76,96.35,96.61,25770400,96.38
2014-07-21,95.92,96.16,95.55,96.00,29750700,95.77
2014-07-18,95.11,96.17,95.00,96.12,36682200,95.89
2014-07-17,95.63,95.97,94.32,94.62,43111500,94.40
2014-07-16,96.20,96.30,95.79,95.89,22052600,95.66
2014-07-15,95.99,96.13,94.83,95.51,39467500,95.28
2014-07-14,95.70,96.06,95.54,95.84,19579000,95.61
2014-07-11,94.90,95.27,94.61,95.27,19566300,95.04
2014-07-10,93.74,95.05,93.63,94.66,44245300,94.44
2014-07-09,94.51,95.07,94.24,94.96,29919000,94.73
2014-07-08,95.23,95.30,93.87,94.26,40612400,94.04
2014-07-07,95.59,95.71,95.23,95.41,23266400,95.18
2014-07-03,95.41,95.70,95.15,95.70,15291700,95.47
2014-07-02,95.00,95.24,94.91,95.10,18777300,94.87
2014-07-01,94.24,95.19,94.20,94.94,31862500,94.71
2014-06-30,93.73,94.14,93.67,93.91,19764900,93.69
2014-06-27,93.21,93.77,93.19,93.75,22877800,93.53
2014-06-26,93.35,93.36,92.62,93.34,22563900,93.12
2014-06-25,92.49,93.45,92.48,93.29,32818600,93.07
2014-06-24,92.78,93.57,92.43,92.70,31945800,92.48
2014-06-23,92.76,92.82,92.51,92.79,20837900,92.57
2014-06-20,92.70,92.87,92.53,92.77,25897500,92.55
2014-06-19,93.11,93.17,92.49,92.91,38422200,92.44
2014-06-18,92.54,93.10,91.98,92.97,34514000,92.50
2014-06-17,92.33,92.70,92.18,92.45,19977900,91.98
2014-06-16,92.16,92.67,91.96,92.40,25212300,91.93
2014-06-13,92.45,92.55,91.92,92.32,39447100,91.85
2014-06-12,92.69,92.79,91.73,92.05,35275900,91.59
2014-06-11,92.59,93.02,92.50,92.89,22878200,92.42
2014-06-10,92.67,92.96,92.56,92.91,20626000,92.44
2014-06-09,92.84,92.98,92.50,92.75,23399500,92.28
2014-06-06,92.63,92.82,92.45,92.82,22680600,92.35
2014-06-05,91.60,92.46,91.29,92.29,35583100,91.82
2014-06-04,90.95,91.67,90.81,91.52,20118300,91.06
2014-06-03,90.92,91.33,90.80,91.18,21774500,90.72
2014-06-02,91.42,91.44,90.64,91.22,30409900,90.76
2014-05-30,91.32,91.45,90.83,91.31,29906400,90.85
2014-05-29,91.04,91.31,90.86,91.30,33036100,90.84
2014-05-28,90.97,91.10,90.65,90.72,30468100,90.26
2014-05-27,90.28,91.02,90.20,91.00,29725200,90.54
2014-05-23,89.32,89.90,89.12,89.88,22687300,89.43
2014-05-22,88.94,89.48,88.80,89.23,30617100,88.78
2014-05-21,88.16,88.89,88.11,88.84,36837700,88.39
2014-05-20,88.28,88.60,87.64,88.00,33716000,87.56
2014-05-19,87.45,88.46,87.30,88.32,32017000,87.87
2014-05-16,87.24,87.76,86.64,87.71,66804100,87.27
2014-05-15,87.81,87.96,86.58,87.14,59680300,86.70
2014-05-14,88.02,88.35,87.62,87.83,26483600,87.39
2014-05-13,88.31,88.61,88.12,88.29,30311900,87.84
2014-05-12,87.32,88.26,87.24,88.23,38951100,87.78
2014-05-09,86.43,86.86,85.85,86.80,35081500,86.36
2014-05-08,86.25,87.53,86.05,86.48,46556900,86.04
2014-05-07,86.99,87.08,85.53,86.56,67489100,86.12
2014-05-06,87.81,87.86,86.77,86.81,33698500,86.37
2014-05-05,86.97,87.97,86.76,87.95,27924400,87.51
2014-05-02,87.95,88.11,87.28,87.49,40074200,87.05
2014-05-01,87.53,88.15,87.31,87.65,37127200,87.21
2014-04-30,86.76,87.48,86.54,87.39,38689400,86.95
2014-04-29,86.75,87.32,86.31,87.16,36742700,86.72
2014-04-28,86.60,87.11,85.11,86.47,58623800,86.03
2014-04-25,87.07,87.17,85.98,86.19,44334000,85.75
2014-04-24,88.19,88.21,86.65,87.59,48926300,87.15
2014-04-23,87.53,87.56,86.71,86.76,34376700,86.32
2014-04-22,87.14,87.75,86.99,87.53,38593400,87.09
2014-04-21,86.40,86.84,86.00,86.84,25947900,86.40
2014-04-17,85.85,86.63,85.63,86.20,53719500,85.76
2014-04-16,85.79,86.18,85.09,86.18,46970900,85.75
2014-04-15,85.08,85.54,83.28,85.05,84631500,84.62
2014-04-14,84.85,85.22,83.99,84.77,46500700,84.34
2014-04-11,84.34,85.44,83.91,84.11,93657400,83.69
2014-04-10,87.88,87.88,84.86,85.10,73616700,84.67
2014-04-09,86.66,87.87,86.43,87.82,45685200,87.38
2014-04-08,85.65,86.46,85.35,86.34,51495700,85.90
2014-04-07,85.83,86.63,84.95,85.55,83995800,85.12
2014-04-04,89.32,89.41,86.14,86.37,131213200,85.93
2014-04-03,89.53,89.68,88.22,88.73,30319100,88.28
2014-04-02,89.59,89.68,89.04,89.44,34631600,88.99
2014-04-01,88.10,89.27,87.71,89.21,38683800,88.76
2014-03-31,87.73,88.26,87.62,87.67,33924300,87.23
2014-03-28,87.16,88.01,86.81,87.05,39895100,86.61
2014-03-27,87.25,87.64,86.40,86.88,64784500,86.44
2014-03-26,88.95,89.15,87.36,87.37,40930400,86.93
2014-03-25,88.68,89.25,87.77,88.51,41723300,88.06
2014-03-24,89.32,89.39,87.41,88.22,77735300,87.77
2014-03-21,90.60,90.65,88.83,89.00,62754000,88.55
2014-03-20,89.76,90.56,89.58,90.29,31634500,89.63
2014-03-19,90.56,90.66,89.45,90.04,40869400,89.38
2014-03-18,89.56,90.64,89.53,90.53,31250200,89.87
2014-03-17,89.24,89.91,89.19,89.45,28467200,88.80
2014-03-14,88.99,89.38,88.63,88.67,38732300,88.02
2014-03-13,90.90,90.93,88.87,89.28,48542000,88.63
2014-03-12,89.81,90.61,89.48,90.56,27977200,89.90
2014-03-11,90.83,91.06,89.95,90.22,27484300,89.56
2014-03-10,90.48,90.66,90.03,90.61,18131700,89.95
2014-03-07,91.27,91.36,90.07,90.53,31167800,89.87
2014-03-06,91.27,91.34,90.65,90.98,24063900,90.31
2014-03-05,90.96,91.22,90.77,91.06,27203300,90.39
2014-03-04,90.65,90.98,90.56,90.81,33189000,90.15
2014-03-03,89.49,89.91,88.87,89.67,38885700,89.01
2014-02-28,90.42,90.96,89.54,90.34,48609800,89.68
2014-02-27,89.87,90.53,89.73,90.44,28742400,89.78
2014-02-26,90.55,90.84,89.87,90.23,42953700,89.20
2014-02-25,90.54,90.72,90.02,90.31,26771700,89.28
2014-02-24,90.14,90.82,90.04,90.41,31500400,89.38
2014-02-21,90.34,90.47,89.82,89.93,31192200,88.90
2014-02-20,89.69,90.22,89.31,90.05,41814800,89.02
2014-02-19,90.08,90.29,89.45,89.63,41749900,88.61
2014-02-18,89.96,90.42,89.74,90.25,29546600,89.22
2014-02-14,89.60,90.01,89.33,89.81,33212400,88.78
2014-02-13,88.32,89.70,88.30,89.63,40454500,88.61
2014-02-12,88.98,89.17,88.70,88.97,32507200,87.95
2014-02-11,87.99,88.97,87.89,88.80,38635500,87.79
2014-02-10,87.27,87.84,87.21,87.80,30205400,86.80
2014-02-07,86.25,87.36,86.00,87.30,38359400,86.30
2014-02-06,84.94,85.88,84.92,85.77,32308600,84.79
2014-02-05,84.63,84.99,83.74,84.69,41721800,83.72
2014-02-04,84.72,85.25,84.46,84.91,37675500,83.94
2014-02-03,86.11,86.50,84.07,84.29,65596900,83.33
2014-01-31,85.54,86.68,85.45,86.27,45187000,85.28
2014-01-30,85.97,86.80,85.88,86.50,65833600,85.51
2014-01-29,85.11,85.74,84.76,84.93,51939300,83.96
2014-01-28,85.50,85.94,85.31,85.85,44378800,84.87
2014-01-27,86.74,86.89,85.25,85.90,63519300,84.92
2014-01-24,88.05,88.18,86.71,86.74,63974600,85.75
2014-01-23,88.51,88.52,87.86,88.48,35011900,87.47
2014-01-22,88.78,89.00,88.52,88.78,29376900,87.77
2014-01-21,88.44,88.59,87.81,88.55,26412700,87.54
2014-01-17,88.11,88.37,87.67,87.88,36895800,86.88
2014-01-16,88.30,88.51,88.16,88.38,31630100,87.37
2014-01-15,88.03,88.54,87.94,88.37,39835600,87.36
2014-01-14,86.30,87.72,86.30,87.65,37178900,86.65
2014-01-13,87.18,87.48,85.68,86.01,48842300,85.03
2014-01-10,87.23,87.40,86.58,87.30,38008900,86.30
2014-01-09,87.63,87.64,86.72,87.02,23674700,86.03
2014-01-08,87.14,87.55,86.95,87.31,27197400,86.31
