Date,Open,High,Low,Close,Volume,Adj Close
2014-10-01,117.34,117.43,114.05,114.59,7201700,114.59
2014-09-30,118.59,119.27,117.28,117.69,3822300,117.69
2014-09-29,116.74,118.78,116.57,118.37,3444400,118.37
2014-09-26,117.39,119.38,117.08,118.84,3040900,118.84
2014-09-25,120.25,120.25,116.90,116.91,8071300,116.91
2014-09-24,119.09,121.02,118.44,120.90,4148600,120.90
2014-09-23,119.56,120.59,119.01,119.09,5201800,119.04
2014-09-22,121.93,121.95,119.97,120.45,5348100,120.40
2014-09-19,123.35,123.59,121.86,122.30,4237900,122.25
2014-09-18,122.02,122.62,121.72,122.53,3747000,122.48
2014-09-17,121.34,122.39,120.09,121.24,6045400,121.19
2014-09-16,118.72,121.36,118.56,120.97,6981500,120.92
2014-09-15,119.33,119.54,118.42,119.13,3383100,119.08
2014-09-12,120.53,120.53,118.66,119.35,5174000,119.30
2014-09-11,119.50,120.78,119.33,120.72,3873100,120.67
2014-09-10,119.76,120.63,118.92,120.52,4218400,120.47
2014-09-09,120.89,121.08,119.11,119.65,4854500,119.60
2014-09-08,121.55,121.87,120.44,121.15,4083500,121.10
2014-09-05,120.61,121.86,119.73,121.79,3886900,121.74
2014-09-04,121.43,122.33,120.04,120.66,5108800,120.61
2014-09-03,122.10,122.14,120.72,121.09,4025700,121.04
2014-09-02,121.66,121.66,120.29,121.17,7784900,121.12
2014-08-29,121.03,121.33,120.25,121.30,2987600,121.25
2014-08-28,119.94,120.77,119.74,120.62,2949600,120.57
2014-08-27,120.98,121.15,120.42,120.81,2076200,120.76
2014-08-26,120.87,121.48,120.80,120.91,2284600,120.86
2014-08-25,120.64,121.11,120.33,120.72,3297000,120.67
2014-08-22,119.70,120.13,118.98,119.48,4725800,119.43
2014-08-21,119.42,120.19,119.22,119.85,2787000,119.80
2014-08-20,118.26,119.46,118.20,119.20,3536600,119.15
2014-08-19,117.86,118.73,117.68,118.54,2199200,118.49
2014-08-18,116.70,117.45,116.55,117.35,7009600,117.30
2014-08-15,116.30,116.52,113.77,115.43,6032100,115.38
2014-08-14,114.75,115.46,114.55,115.46,2507400,115.41
2014-08-13,113.71,114.66,113.37,114.43,3265500,114.38
2014-08-12,112.92,113.59,112.17,112.84,4020800,112.79
2014-08-11,113.33,114.17,113.08,113.14,2702700,113.09
2014-08-08,110.50,112.66,109.91,112.52,3386900,112.47
2014-08-07,112.23,112.41,109.45,109.96,5401700,109.91
2014-08-06,110.10,112.13,110.05,111.17,3494200,111.12
2014-08-05,112.43,112.99,110.34,111.14,5583800,111.09
2014-08-04,112.17,113.81,111.21,113.34,3942400,113.29
2014-08-01,111.83,113.21,110.67,111.78,13366900,111.73
2014-07-31,115.42,115.66,112.35,112.45,6869400,112.40
2014-07-30,117.88,118.18,116.13,117.12,3165800,117.07
2014-07-29,118.53,118.82,117.03,117.04,3023500,116.99
2014-07-28,118.06,118.41,116.68,118.05,2731900,118.00
2014-07-25,118.45,118.63,117.52,117.99,3035600,117.94
2014-07-24,119.36,119.58,118.89,119.09,1960700,119.04
2014-07-23,118.90,119.34,118.47,119.12,1708000,119.07
2014-07-22,118.40,118.99,118.17,118.56,1987100,118.51
2014-07-21,117.25,117.75,116.49,117.53,2951700,117.48
2014-07-18,116.44,118.24,116.26,118.02,3130700,117.97
2014-07-17,117.66,118.51,115.33,115.68,5392100,115.63
2014-07-16,118.52,118.71,117.69,118.40,8112400,118.35
2014-07-15,118.08,118.54,116.46,117.53,3449800,117.48
2014-07-14,117.91,118.24,117.74,117.94,1956700,117.89
2014-07-11,116.31,116.92,115.80,116.76,1926100,116.71
2014-07-10,115.09,117.06,114.91,116.47,3066600,116.42
2014-07-09,116.90,117.57,116.43,117.40,2360900,117.35
2014-07-08,117.43,117.50,115.76,116.33,3852800,116.28
2014-07-07,118.24,118.42,117.53,117.89,2724000,117.84
2014-07-03,118.20,118.79,118.04,118.78,1502700,118.73
2014-07-02,117.29,117.81,117.23,117.53,2043700,117.48
2014-07-01,116.35,118.02,116.28,117.31,9226600,117.26
2014-06-30,115.78,116.30,115.57,115.78,2081200,115.73
2014-06-27,114.94,115.97,114.81,115.88,2258200,115.83
2014-06-26,115.70,115.70,113.92,115.42,3610000,115.37
2014-06-25,114.08,115.85,114.08,115.60,2976800,115.55
2014-06-24,115.66,116.82,114.43,114.69,3985200,114.55
2014-06-23,116.19,116.29,115.68,116.13,1800600,115.99
2014-06-20,116.26,116.32,115.91,116.16,2655800,116.02
2014-06-19,115.62,115.85,114.91,115.74,3038500,115.60
2014-06-18,113.80,115.58,113.30,115.42,3259200,115.28
2014-06-17,112.81,113.94,112.60,113.74,2130900,113.60
2014-06-16,112.71,113.64,112.42,113.14,2356200,113.00
2014-06-13,112.75,113.19,112.01,112.99,2620600,112.85
2014-06-12,113.62,113.79,111.81,112.33,4469300,112.19
2014-06-11,113.93,114.17,113.41,113.95,3050900,113.81
2014-06-10,114.42,114.77,113.94,114.75,1915500,114.61
2014-06-09,114.40,115.28,114.25,114.71,2914500,114.57
2014-06-06,113.88,114.53,113.79,114.46,2702300,114.32
2014-06-05,112.17,113.63,111.39,113.36,4168800,113.22
2014-06-04,111.07,112.06,110.86,111.96,2223000,111.82
2014-06-03,111.05,111.61,110.87,111.50,2496400,111.36
2014-06-02,111.67,111.71,110.54,111.58,3086800,111.44
2014-05-30,110.81,111.49,110.61,111.31,3234100,111.17
2014-05-29,110.38,111.02,109.81,111.01,2979900,110.87
2014-05-28,110.02,110.37,109.51,109.85,3324400,109.71
2014-05-27,109.50,110.10,109.39,110.05,2457900,109.91
2014-05-23,108.00,108.84,107.94,108.71,2425200,108.58
2014-05-22,107.35,108.28,106.99,107.83,3019500,107.70
2014-05-21,106.11,107.39,106.09,107.27,3750000,107.14
2014-05-20,106.81,106.82,104.96,105.45,15791700,105.32
2014-05-19,105.73,107.07,105.53,106.93,2646500,106.80
2014-05-16,105.54,106.21,104.67,106.18,4610500,106.05
2014-05-15,106.83,106.89,104.36,105.40,6467400,105.27
2014-05-14,108.15,108.24,106.98,107.31,3220400,107.18
2014-05-13,108.38,108.86,108.11,108.29,3244100,108.16
2014-05-12,106.98,108.22,106.95,108.13,3085900,108.00
2014-05-09,105.77,106.16,104.80,106.12,3994200,105.99
2014-05-08,105.80,107.28,105.10,105.74,4179200,105.61
2014-05-07,105.49,106.07,103.90,105.99,5918500,105.86
2014-05-06,106.15,106.29,104.73,104.81,4135900,104.68
2014-05-05,105.18,106.75,104.60,106.64,3297000,106.51
2014-05-02,106.50,107.43,105.92,106.22,5152800,106.09
2014-05-01,106.44,107.10,105.86,106.50,4861700,106.37
2014-04-30,105.55,106.73,105.25,106.61,3847500,106.48
2014-04-29,105.60,106.20,105.13,105.84,3638400,105.71
2014-04-28,105.11,105.82,102.78,104.93,8354500,104.80
2014-04-25,105.31,105.44,103.80,104.30,4770600,104.17
2014-04-24,106.64,106.66,105.00,105.98,5768300,105.85
2014-04-23,105.98,106.10,105.43,105.64,3073400,105.51
2014-04-22,105.35,106.66,105.25,106.02,3620300,105.89
2014-04-21,104.48,105.19,104.21,105.16,3633600,105.03
2014-04-17,103.85,104.99,103.51,104.36,4870000,104.23
2014-04-16,103.39,104.14,102.49,104.05,3336400,103.92
2014-04-15,101.00,102.13,99.04,102.04,6194100,101.91
2014-04-14,100.60,101.07,99.00,100.60,4810800,100.48
2014-04-11,99.80,101.16,98.84,99.06,5540800,98.94
2014-04-10,105.31,105.41,100.65,100.85,5555100,100.73
2014-04-09,103.64,105.38,103.10,105.32,2429900,105.19
2014-04-08,102.14,103.44,101.47,103.08,4166500,102.95
2014-04-07,104.06,104.43,101.88,102.29,6733300,102.16
2014-04-04,108.31,108.35,104.27,104.62,6808500,104.49
2014-04-03,107.77,107.79,106.48,107.15,3074500,107.02
2014-04-02,106.96,107.70,106.58,107.39,2906200,107.26
2014-04-01,105.99,106.83,105.80,106.66,2762800,106.53
2014-03-31,104.87,105.62,104.73,105.31,2982100,105.18
2014-03-28,103.22,104.67,103.09,103.55,4147000,103.42
2014-03-27,102.83,103.47,101.87,102.69,4694000,102.56
2014-03-26,105.42,105.71,103.02,103.03,4499100,102.90
2014-03-25,104.66,105.30,103.45,104.61,4643000,104.45
2014-03-24,105.20,105.46,102.72,103.62,7469500,103.46
2014-03-21,106.18,106.70,104.31,104.46,6198800,104.30
2014-03-20,103.65,105.45,103.28,105.24,5630900,105.08
2014-03-19,105.26,105.54,102.78,104.19,6887400,104.03
2014-03-18,104.17,105.51,103.95,105.21,5237400,105.05
2014-03-17,102.94,104.23,102.85,103.68,5493300,103.52
2014-03-14,102.05,103.16,101.67,101.90,8826500,101.75
2014-03-13,105.50,105.64,101.91,102.50,7181500,102.34
2014-03-12,103.79,104.92,103.31,104.86,3879900,104.70
2014-03-11,106.18,106.48,104.33,104.81,5098100,104.65
2014-03-10,105.61,105.94,104.66,105.90,3390800,105.74
2014-03-07,106.71,106.77,105.04,105.92,5736800,105.76
2014-03-06,105.93,106.39,105.59,105.89,5118700,105.73
2014-03-05,105.40,105.77,105.10,105.28,4020400,105.12
2014-03-04,104.30,105.72,104.30,105.30,25034200,105.14
2014-03-03,102.00,102.87,100.97,102.33,8873800,102.17
2014-02-28,103.23,104.76,102.43,103.76,7979300,103.60
2014-02-27,101.93,103.31,101.70,103.28,5301400,103.12
2014-02-26,102.52,103.06,101.66,102.17,6304600,102.02
2014-02-25,102.42,103.04,101.55,102.20,6504900,102.05
2014-02-24,101.57,103.66,101.51,102.18,4396900,102.03
2014-02-21,101.84,102.28,101.08,101.17,5670100,101.02
2014-02-20,100.53,101.88,99.81,101.34,6596800,101.19
2014-02-19,101.07,102.39,100.08,100.28,7113500,100.13
2014-02-18,101.51,101.88,100.95,101.62,4046100,101.47
2014-02-14,100.09,101.72,99.87,101.33,4264300,101.18
2014-02-13,97.88,100.45,97.88,100.24,5556100,100.09
2014-02-12,99.42,100.05,98.83,99.25,5987700,99.10
2014-02-11,97.22,99.62,97.06,99.10,9501100,98.95
2014-02-10,96.66,97.07,96.15,96.97,4635700,96.82
2014-02-07,95.19,96.84,94.60,96.68,7438700,96.53
2014-02-06,92.32,94.30,92.31,94.24,7349200,94.10
2014-02-05,91.49,92.30,90.36,91.90,9655900,91.76
2014-02-04,91.71,92.60,91.06,92.11,9352300,91.97
2014-02-03,94.93,95.39,90.49,90.78,45333300,90.64
2014-01-31,93.95,96.39,93.86,95.14,7336800,95.00
2014-01-30,95.91,96.94,95.31,96.34,7040700,96.19
2014-01-29,94.59,95.64,93.84,94.32,10059700,94.18
2014-01-28,95.22,96.44,95.17,96.16,6680400,96.01
2014-01-27,96.20,96.68,94.12,95.01,12122800,94.87
2014-01-24,99.01,99.07,96.02,96.03,13159600,95.88
2014-01-23,100.97,100.99,99.25,100.35,6728900,100.20
2014-01-22,102.22,102.30,101.54,102.00,3944300,101.85
2014-01-21,102.41,102.50,100.60,101.80,4960300,101.65
2014-01-17,101.80,102.16,100.91,101.24,4205000,101.09
2014-01-16,101.98,102.21,101.49,102.10,3701700,101.95
2014-01-15,101.77,102.71,101.68,102.44,5356500,102.28
2014-01-14,99.81,101.42,99.44,101.27,5610800,101.12
2014-01-13,101.35,101.91,98.78,99.17,8417100,99.02
2014-01-10,101.71,101.96,100.63,101.79,4493100,101.64
2014-01-09,101.84,101.88,100.41,101.35,5889600,101.20
2014-01-08,101.13,101.54,100.51,101.19,6525000,101.04
2014-01-07,100.76,101.49,100.60,101.15,4855200,101.00
2014-01-06,101.18,101.28,99.64,100.00,7237000,99.85
2014-01-03,100.92,101.34,100.28,100.46,5563700,100.31
2014-01-02,101.76,101.87,100.12,100.59,7130100,100.44
2013-12-31,101.90,102.56,101.73,102.56,3345800,102.40
2013-12-30,101.67,101.82,101.34,101.58,3276900,101.43
2013-12-27,101.95,102.02,101.43,101.68,4245000,101.53
2013-12-26,101.09,101.78,101.07,101.69,3593400,101.54
2013-12-24,100.22,100.73,100.21,100.67,2166100,100.52
2013-12-23,100.20,100.42,99.81,100.30,3975200,100.05
