Date,Open,High,Low,Close,Volume,Adj Close
2014-10-01,55.45,55.48,54.12,54.14,5548900,54.14
2014-09-30,55.95,56.45,55.58,56.33,2038800,56.33
2014-09-29,55.63,55.95,55.46,55.67,2731100,55.67
2014-09-26,56.64,57.01,56.34,56.58,2296000,56.58
2014-09-25,57.32,57.32,56.42,56.48,3027100,56.48
2014-09-24,57.34,57.98,57.08,57.82,2236800,57.82
2014-09-23,57.73,57.85,57.16,57.16,2507300,57.16
2014-09-22,58.04,58.21,57.59,57.92,3683900,57.92
2014-09-19,59.12,59.52,57.99,58.09,3111000,58.09
2014-09-18,59.55,59.89,59.24,59.57,3116400,59.57
2014-09-17,59.14,59.99,58.85,59.97,5289000,59.97
2014-09-16,59.12,59.64,58.82,59.62,3764400,59.62
2014-09-15,58.87,59.37,58.62,59.16,2300000,59.16
2014-09-12,59.06,59.54,58.82,59.37,5590100,59.37
2014-09-11,57.49,58.19,57.20,58.17,3443200,58.17
2014-09-10,57.75,57.97,57.63,57.76,3041000,57.76
2014-09-09,57.30,57.30,56.86,57.10,2705400,57.10
2014-09-08,56.36,57.32,56.14,57.06,4325900,57.06
2014-09-05,56.37,57.32,56.20,57.06,4340000,57.06
2014-09-04,56.24,56.85,55.93,56.85,6024300,56.85
2014-09-03,56.44,56.50,55.47,55.47,3007600,55.47
2014-09-02,55.56,56.14,55.48,56.12,5049500,56.12
2014-08-29,54.36,54.52,53.91,54.25,3572800,54.25
2014-08-28,54.20,54.57,53.94,54.30,4448700,54.30
2014-08-27,55.47,55.79,54.83,54.91,3784100,54.91
2014-08-26,55.25,55.97,55.23,55.85,2742400,55.85
2014-08-25,55.77,55.97,55.44,55.47,3279600,55.47
2014-08-22,56.48,56.96,55.78,55.87,4669500,55.87
2014-08-21,57.16,57.16,56.40,56.54,2801300,56.54
2014-08-20,57.14,57.60,57.07,57.24,2605900,57.24
2014-08-19,56.12,57.18,56.08,56.99,2693400,56.99
2014-08-18,56.05,56.80,55.98,56.67,3906800,56.67
2014-08-15,56.56,56.56,54.93,55.60,9685400,55.60
2014-08-14,57.32,57.85,56.75,56.82,4831600,56.82
2014-08-13,58.37,58.48,57.75,57.76,2123300,57.76
2014-08-12,57.82,58.53,57.82,58.49,2616900,58.49
2014-08-11,57.64,57.97,57.46,57.73,2623900,57.73
2014-08-08,57.34,57.90,56.85,57.72,4225900,57.72
2014-08-07,58.51,58.74,57.54,57.55,3833600,57.55
2014-08-06,57.87,58.71,57.84,58.62,3843900,58.62
2014-08-05,59.27,59.67,58.52,58.72,3432100,58.72
2014-08-04,58.77,59.09,58.50,59.05,3873700,59.05
2014-08-01,59.75,60.19,58.46,58.73,4661000,58.73
2014-07-31,60.14,60.22,59.08,59.63,6870200,59.63
2014-07-30,58.49,59.49,58.28,59.34,6682900,59.34
2014-07-29,57.80,58.26,57.61,57.77,4295500,57.77
2014-07-28,58.15,58.57,57.80,58.22,3420300,58.22
2014-07-25,58.42,58.57,58.03,58.06,3233800,58.06
2014-07-24,59.24,59.49,59.16,59.39,2924600,59.39
2014-07-23,58.25,58.58,58.11,58.55,2459000,58.55
2014-07-22,58.64,59.09,58.27,58.40,2566800,58.40
2014-07-21,58.72,58.75,58.11,58.64,3841900,58.64
2014-07-18,58.90,59.67,58.82,59.22,3455100,59.22
2014-07-17,59.58,59.88,58.71,58.85,7370500,58.85
2014-07-16,60.86,60.95,60.26,60.34,2042100,60.34
2014-07-15,61.11,61.43,60.40,60.98,3083800,60.98
2014-07-14,60.62,60.97,60.45,60.80,2696600,60.80
2014-07-11,60.56,60.57,60.19,60.30,2525300,60.30
2014-07-10,60.33,61.08,60.18,61.03,4072000,61.03
2014-07-09,61.26,61.60,60.74,61.07,3166500,61.07
2014-07-08,61.75,61.76,61.07,61.18,3649900,61.18
2014-07-07,62.87,62.90,62.26,62.57,3248000,62.57
2014-07-03,63.90,63.92,63.35,63.50,2970800,63.50
2014-07-02,62.49,63.22,62.44,63.08,3536500,63.08
2014-07-01,61.50,61.86,61.29,61.75,2661600,61.75
2014-06-30,60.82,61.27,60.47,60.72,2934000,60.72
2014-06-27,60.60,61.19,60.48,61.13,2556700,61.13
2014-06-26,61.15,61.15,60.51,60.90,4231900,60.90
2014-06-25,61.25,61.70,60.96,61.52,3518400,61.52
2014-06-24,62.33,62.71,61.76,61.81,4015700,61.81
2014-06-23,62.40,63.16,62.28,63.13,2462900,63.13
2014-06-20,63.70,63.76,62.73,62.76,2669000,62.76
2014-06-19,61.91,63.92,61.89,63.65,5314700,63.65
2014-06-18,62.76,62.90,61.65,62.10,4477800,62.10
2014-06-17,62.43,63.10,62.43,63.06,2521100,63.06
2014-06-16,62.24,62.44,61.85,62.06,1682200,62.06
2014-06-13,63.01,63.07,61.85,62.35,2356600,62.35
2014-06-12,63.39,63.70,62.12,62.34,4970900,62.34
2014-06-11,63.41,63.89,63.09,63.48,2521400,63.48
2014-06-10,63.65,63.90,63.41,63.71,2829700,63.71
2014-06-09,63.19,63.50,63.01,63.21,2411700,63.21
2014-06-06,62.47,63.17,62.15,63.07,3905200,63.07
2014-06-05,63.61,63.70,62.62,63.03,4142700,63.03
2014-06-04,62.89,63.42,62.80,63.15,3367200,63.15
2014-06-03,62.17,63.15,62.03,63.08,4530600,63.08
2014-06-02,61.45,61.99,60.78,61.53,4496300,61.53
2014-05-30,60.82,61.00,60.37,60.69,2882700,60.69
2014-05-29,59.90,60.65,59.54,60.64,5910200,60.64
2014-05-28,60.74,60.75,59.91,60.02,6912600,60.02
2014-05-27,62.09,62.61,61.49,61.51,2972300,61.51
2014-05-23,62.45,62.55,62.05,62.34,1960700,62.34
2014-05-22,62.80,63.30,62.61,62.93,2321100,62.93
2014-05-21,62.82,63.21,62.62,62.74,3374500,62.74
2014-05-20,62.41,62.41,61.44,62.03,2662300,62.03
2014-05-19,60.98,62.38,60.94,62.27,3426300,62.27
2014-05-16,61.33,61.53,60.89,61.42,3097900,61.42
2014-05-15,61.15,61.34,60.46,61.10,6884900,61.10
2014-05-14,62.44,62.52,61.77,62.08,6357300,62.08
2014-05-13,63.86,63.94,63.45,63.49,1585300,63.49
2014-05-12,64.34,64.85,64.17,64.55,2276600,64.55
2014-05-09,63.66,64.35,63.42,64.06,2785600,64.06
2014-05-08,62.80,63.81,62.34,63.60,3755600,63.60
2014-05-07,62.86,63.27,62.56,63.13,2807300,63.13
2014-05-06,63.08,63.18,62.42,62.69,2431100,62.69
2014-05-05,62.39,63.33,62.35,63.20,3866200,63.20
2014-05-02,63.76,64.04,62.02,62.44,6879700,62.44
2014-05-01,64.56,64.61,63.17,63.38,5058900,63.38
2014-04-30,65.08,65.43,64.44,64.66,2807400,64.66
2014-04-29,65.65,65.86,65.07,65.10,1977900,65.10
2014-04-28,64.65,65.27,64.43,65.00,2770000,65.00
2014-04-25,64.21,64.37,63.64,64.37,2680900,64.37
2014-04-24,65.40,65.42,64.54,64.60,2732500,64.60
2014-04-23,65.26,65.35,64.73,64.86,2139700,64.86
2014-04-22,66.39,66.45,65.40,65.59,2224500,65.59
2014-04-21,65.51,66.18,65.25,66.07,1826400,66.07
2014-04-17,64.42,66.31,64.32,65.91,4219500,65.91
2014-04-16,65.48,65.52,64.52,64.55,2555800,64.55
2014-04-15,65.28,65.59,64.20,64.67,4226900,64.67
2014-04-14,65.42,65.66,65.18,65.45,2188900,65.45
