Date,Open,High,Low,Close,Volume,Adj Close
2014-10-01,116.89,118.26,116.83,118.23,17180500,118.23
2014-09-30,116.66,117.04,116.13,116.27,7277500,115.98
2014-09-29,117.00,117.17,116.66,116.93,6791800,116.64
2014-09-26,116.02,116.29,115.62,116.00,7799600,115.71
2014-09-25,115.31,116.18,115.31,116.17,8947800,115.88
2014-09-24,115.29,115.55,114.64,114.81,5223300,114.52
2014-09-23,114.91,115.47,114.77,115.45,6362400,115.16
2014-09-22,114.66,115.04,114.44,114.74,6617200,114.45
2014-09-19,113.58,114.68,113.20,114.60,13236900,114.32
2014-09-18,113.18,113.48,112.85,113.16,7031200,112.88
2014-09-17,113.53,113.83,112.73,112.80,12917000,112.52
2014-09-16,113.61,113.86,113.08,113.09,9304700,112.81
2014-09-15,113.85,114.07,113.36,113.55,5510700,113.27
2014-09-12,113.69,113.92,113.22,113.38,11114900,113.10
2014-09-11,115.26,115.54,114.57,114.58,9274800,114.30
2014-09-10,114.97,115.12,114.79,114.96,8729400,114.67
2014-09-09,115.49,115.89,115.45,115.69,5353100,115.40
2014-09-08,116.41,116.63,115.45,115.78,9326400,115.49
2014-09-05,116.44,116.60,115.44,115.73,6886000,115.44
2014-09-04,116.62,116.88,115.93,115.95,12528900,115.66
2014-09-03,116.40,117.38,116.31,117.38,6553900,117.09
2014-09-02,117.28,117.38,116.70,116.73,10506000,116.44
2014-08-29,118.92,119.43,118.75,119.05,8512900,118.48
2014-08-28,119.13,119.37,118.67,118.97,9463600,118.40
2014-08-27,117.70,118.41,117.40,118.35,7265800,117.79
2014-08-26,117.94,117.99,117.21,117.35,5487600,116.79
2014-08-25,117.45,117.78,117.21,117.73,5760700,117.17
2014-08-22,116.74,117.43,116.21,117.29,10149900,116.73
2014-08-21,116.07,116.76,116.02,116.64,6790700,116.09
2014-08-20,116.04,116.11,115.57,115.99,7275600,115.44
2014-08-19,117.08,117.15,115.98,116.18,5936900,115.63
2014-08-18,117.21,117.30,116.39,116.54,7595300,115.99
2014-08-15,116.71,118.36,116.69,117.71,17606700,117.15
2014-08-14,115.93,116.50,115.39,116.44,9028200,115.89
2014-08-13,114.87,115.52,114.78,115.51,8210500,114.96
2014-08-12,115.41,115.44,114.73,114.76,8122400,114.21
2014-08-11,115.65,115.82,115.29,115.51,6668800,114.96
2014-08-08,115.93,116.42,115.38,115.52,9536700,114.97
2014-08-07,114.84,115.77,114.57,115.77,9745500,115.22
2014-08-06,115.47,115.47,114.60,114.70,7289200,114.15
2014-08-05,114.07,114.80,113.68,114.63,8032000,114.08
2014-08-04,114.53,114.81,114.26,114.26,5183800,113.72
2014-08-01,113.58,114.87,113.05,114.56,14951200,114.02
2014-07-31,113.53,114.58,113.47,113.98,18254000,113.14
2014-07-30,115.15,115.38,114.17,114.32,12251200,113.48
2014-07-29,115.87,116.07,115.42,115.93,6579300,115.07
2014-07-28,115.59,115.90,115.12,115.51,5138300,114.66
2014-07-25,115.34,115.68,115.16,115.67,7041800,114.82
2014-07-24,114.52,114.58,114.25,114.32,6609000,113.48
2014-07-23,115.51,115.63,115.17,115.18,3489600,114.33
2014-07-22,115.09,115.46,114.65,115.33,5753200,114.48
2014-07-21,115.01,115.63,115.01,115.09,5724100,114.24
2014-07-18,114.88,114.96,114.11,114.52,6677900,113.68
2014-07-17,114.23,115.05,113.94,114.89,10901000,114.04
2014-07-16,113.00,113.58,112.94,113.46,4615800,112.62
2014-07-15,112.83,113.47,112.50,112.86,7720000,112.03
2014-07-14,113.28,113.41,112.93,113.09,4743300,112.26
2014-07-11,113.35,113.68,113.28,113.58,4676500,112.74
2014-07-10,113.54,113.66,112.82,112.86,7196900,112.03
2014-07-09,112.66,113.14,112.38,112.83,6395200,112.00
2014-07-08,112.24,112.86,112.24,112.74,6352100,111.91
2014-07-07,111.27,111.81,111.23,111.49,5928900,110.67
2014-07-03,110.38,110.86,110.34,110.68,6173900,109.86
