Date,Open,High,Low,Close,Volume,Adj Close
2014-10-01,63.33,63.53,60.14,60.76,14279300,60.76
2014-09-30,66.25,66.46,63.39,63.40,12172200,63.40
2014-09-29,64.24,67.02,64.11,66.47,9449000,66.47
2014-09-26,65.65,66.78,65.02,66.58,8044100,66.58
2014-09-25,67.80,67.99,64.19,64.96,13745300,64.96
2014-09-24,66.82,68.49,65.81,68.36,7648900,68.36
2014-09-23,67.61,68.93,66.33,66.59,8646600,66.59
2014-09-22,70.48,70.67,67.90,68.43,9392700,68.43
2014-09-19,75.18,75.20,70.83,71.52,7567600,71.52
2014-09-18,73.93,74.46,73.32,74.18,4623000,74.18
2014-09-17,72.48,74.33,71.95,72.95,6533100,72.95
2014-09-16,71.25,73.00,70.50,72.42,8505200,72.42
2014-09-15,74.24,74.32,71.07,71.82,7640200,71.82
2014-09-12,76.48,76.52,73.48,74.33,7181900,74.33
2014-09-11,73.89,76.90,73.83,76.69,6333700,76.69
2014-09-10,73.96,75.35,73.06,75.29,7544400,75.29
2014-09-09,76.28,76.30,73.61,73.97,9207200,73.97
2014-09-08,76.06,77.13,75.25,76.61,7177200,76.61
2014-09-05,75.16,76.35,74.00,76.28,7290200,76.28
2014-09-04,77.02,78.50,75.07,75.56,7284700,75.56
2014-09-03,79.10,79.14,76.16,76.57,7254300,76.57
2014-09-02,77.51,78.54,76.60,77.96,7918700,77.96
2014-08-29,75.93,77.17,74.97,76.69,6311200,76.69
2014-08-28,75.72,76.08,74.67,75.47,5806200,75.47
2014-08-27,77.36,77.47,76.22,76.66,4243800,76.66
2014-08-26,75.43,77.41,75.26,77.17,5059900,77.17
2014-08-25,75.55,76.41,74.33,75.10,5753600,75.10
2014-08-22,73.76,74.92,72.95,74.14,6585700,74.14
2014-08-21,73.53,74.47,71.51,74.11,5977300,74.11
2014-08-20,73.44,74.14,72.59,73.74,5714100,73.74
2014-08-19,74.00,75.12,73.86,74.54,5048400,74.54
2014-08-18,72.78,73.98,72.05,73.83,5740800,73.83
2014-08-15,72.68,72.70,68.62,70.73,10398800,70.73
2014-08-14,70.99,71.38,69.59,71.10,4995500,71.10
2014-08-13,69.86,71.21,69.51,70.75,5900000,70.75
2014-08-12,69.97,70.93,68.27,69.25,8834800,69.25
2014-08-11,69.76,72.28,69.37,70.70,7756900,70.70
2014-08-08,67.00,68.94,66.47,68.74,7113000,68.74
2014-08-07,68.45,69.20,66.05,66.83,8866900,66.83
2014-08-06,65.91,69.10,65.80,67.79,7025000,67.79
2014-08-05,66.71,68.71,65.69,67.11,8825700,67.11
2014-08-04,66.85,67.91,64.55,67.61,8230800,67.61
2014-08-01,66.80,67.77,64.46,66.07,11184900,66.07
2014-07-31,69.55,70.27,66.69,66.80,11071800,66.80
2014-07-30,72.46,72.74,70.91,71.78,10162700,71.78
2014-07-29,71.12,72.37,70.39,70.88,8531300,70.88
2014-07-28,71.82,71.97,68.89,70.46,8161800,70.46
2014-07-25,71.74,72.25,70.72,71.43,8037400,71.43
2014-07-24,74.50,75.38,72.88,73.52,7850500,73.52
2014-07-23,74.21,74.95,73.23,73.93,8911400,73.93
2014-07-22,73.13,74.57,72.64,73.65,8277100,73.65
2014-07-21,71.31,72.25,70.38,71.86,8110300,71.86
2014-07-18,69.88,73.09,69.45,72.70,8477800,72.70
2014-07-17,71.45,72.87,69.00,69.50,12361800,69.50
2014-07-16,74.31,74.48,72.06,72.95,10197600,72.95
2014-07-15,75.51,76.30,72.12,73.45,14979800,73.45
2014-07-14,77.08,77.17,75.13,75.66,9052800,75.66
2014-07-11,74.72,75.11,73.41,74.55,8488600,74.55
2014-07-10,72.57,76.44,72.31,74.85,11610200,74.85
2014-07-09,77.71,78.50,76.40,77.29,8280200,77.29
2014-07-08,79.48,79.84,75.77,77.14,10426300,77.14
2014-07-07,83.45,83.49,79.83,80.01,9932400,80.01
2014-07-03,83.80,84.41,83.12,84.21,4053800,84.21
2014-07-02,83.76,84.58,82.35,82.78,5934000,82.78
2014-07-01,82.16,85.66,82.04,83.81,8277600,83.81
2014-06-30,80.06,81.39,79.32,81.30,6360400,81.30
2014-06-27,77.78,80.60,77.70,80.30,6915100,80.30
2014-06-26,79.30,79.30,76.83,78.71,7896800,78.71
2014-06-25,75.80,79.19,75.79,79.16,7224700,79.16
2014-06-24,79.13,81.50,77.00,77.29,11042700,77.29
2014-06-23,80.73,80.79,79.07,79.75,6015600,79.75
2014-06-20,79.40,80.27,78.83,80.25,5349800,80.25
2014-06-19,80.06,80.17,77.91,79.46,8574200,79.46
2014-06-18,77.51,79.29,76.75,79.15,8505800,79.15
2014-06-17,75.77,78.56,75.33,77.71,10213000,77.71
2014-06-16,74.78,76.03,74.05,75.99,8311800,75.99
2014-06-13,75.09,75.57,73.21,75.03,7623100,75.03
2014-06-12,75.38,75.61,73.67,74.55,8340200,74.55
2014-06-11,75.85,76.45,74.63,75.92,8361300,75.92
2014-06-10,77.02,77.42,75.75,77.07,6871600,77.07
2014-06-09,75.55,78.68,75.14,77.54,9705600,77.54
2014-06-06,74.41,76.26,74.12,75.60,7889000,75.60
2014-06-05,69.69,73.63,68.53,73.44,11850000,73.44
2014-06-04,67.41,69.36,66.85,69.14,5724000,69.14
2014-06-03,67.73,69.03,66.75,68.32,7052300,68.32
2014-06-02,70.39,70.40,67.18,68.84,7566800,68.84
2014-05-30,70.85,71.00,69.01,69.94,7104200,69.94
2014-05-29,70.87,71.30,69.67,70.87,6267400,70.87
2014-05-28,70.86,71.10,69.36,70.18,6524300,70.18
2014-05-27,69.76,71.76,69.61,71.40,8064900,71.40
2014-05-23,66.01,68.42,65.73,68.32,6603600,68.32
2014-05-22,64.77,66.69,64.19,66.20,7094800,66.20
2014-05-21,64.31,65.05,62.39,64.14,10287500,64.14
2014-05-20,65.74,65.80,62.11,63.22,14254400,63.22
2014-05-19,63.66,66.75,63.10,66.26,8213200,66.26
2014-05-16,63.13,64.26,61.57,64.16,8938800,64.16
2014-05-15,63.41,63.60,60.54,63.06,12757900,63.06
2014-05-14,67.03,67.07,64.00,64.32,10117400,64.32
2014-05-13,69.39,70.23,67.47,67.66,8225900,67.66
2014-05-12,66.37,70.50,66.05,69.59,8831200,69.59
2014-05-09,62.94,65.27,62.21,65.18,9219100,65.18
2014-05-08,65.24,67.39,62.91,63.54,11155300,63.54
2014-05-07,65.64,66.06,62.46,65.43,11354500,65.43
2014-05-06,67.83,68.39,65.23,65.36,7824400,65.36
2014-05-05,67.24,69.21,66.23,68.68,6829200,68.68
2014-05-02,69.10,70.95,68.34,68.99,7667600,68.99
2014-05-01,68.44,70.28,66.27,68.63,11120500,68.63
2014-04-30,66.80,68.90,65.19,68.85,7568600,68.85
2014-04-29,67.86,68.84,66.92,67.53,5695300,67.53
2014-04-28,68.98,69.92,64.09,67.04,10607600,67.04
2014-04-25,71.16,71.24,67.50,68.18,7937200,68.18
2014-04-24,73.90,74.05,70.30,72.02,8342500,72.02
2014-04-23,73.66,74.24,72.37,72.67,5837800,72.67
2014-04-22,72.14,74.71,71.79,73.96,6392400,73.96
2014-04-21,71.13,71.91,69.63,71.78,4848600,71.78
2014-04-17,69.06,71.65,68.56,70.69,7564400,70.69
2014-04-16,68.92,69.86,67.68,69.65,10252300,69.65
2014-04-15,67.42,68.59,63.09,67.54,12145700,67.54
2014-04-14,68.26,69.00,64.87,66.70,9096100,66.70
2014-04-11,67.37,69.58,65.25,66.24,12582000,66.24
2014-04-10,75.28,75.34,68.03,69.09,11566500,69.09
2014-04-09,73.19,75.52,72.25,75.39,7508100,75.39
2014-04-08,70.98,73.53,69.81,72.48,9067800,72.48
2014-04-07,73.18,73.74,69.56,70.95,11973600,70.95
2014-04-04,81.29,81.62,73.31,74.25,13240300,74.25
2014-04-03,82.24,82.35,78.70,79.70,6329100,79.70
2014-04-02,82.01,82.38,80.86,82.27,6305700,82.27
2014-04-01,78.70,81.50,78.63,81.29,7429800,81.29
2014-03-31,75.61,78.73,74.80,78.10,8624700,78.10
2014-03-28,74.46,77.40,73.53,74.27,7523200,74.27
2014-03-27,74.96,76.24,73.00,74.20,7558900,74.20
2014-03-26,80.92,81.04,74.88,74.95,8610300,74.95
2014-03-25,81.00,82.27,77.91,79.50,7940500,79.50
2014-03-24,83.33,83.65,77.38,79.54,9654800,79.54
2014-03-21,84.67,85.76,82.27,82.37,8264200,82.37
2014-03-20,82.61,84.26,81.47,83.46,5720500,83.46
2014-03-19,84.62,84.77,81.32,83.28,6747700,83.28
2014-03-18,81.65,85.03,81.41,84.81,7529200,84.81
2014-03-17,81.65,83.40,80.95,81.39,6291000,81.39
2014-03-14,78.44,80.90,78.39,80.18,8241500,80.18
2014-03-13,83.02,83.25,77.92,79.21,11476000,79.21
2014-03-12,79.95,82.19,79.05,82.12,7466500,82.12
2014-03-11,84.24,85.06,80.28,81.35,10203200,81.35
2014-03-10,84.18,84.60,82.33,83.96,6432400,83.96
2014-03-07,86.40,86.50,83.46,84.75,8820400,84.75
2014-03-06,85.79,86.08,84.33,85.00,8116100,85.00
2014-03-05,85.26,85.47,84.42,85.03,8285800,85.03
2014-03-04,81.86,86.68,81.84,85.10,13017800,85.10
2014-03-03,78.49,79.95,76.56,79.27,12740300,79.27
2014-02-28,81.40,82.97,79.02,80.37,10776300,80.37
2014-02-27,79.40,81.57,79.00,81.48,10107000,81.48
2014-02-26,78.86,81.68,78.32,80.10,13147500,80.10
2014-02-25,78.80,79.93,77.84,78.69,9404000,78.69
2014-02-24,77.12,80.02,76.97,78.61,9208600,78.61
2014-02-21,76.69,77.64,76.24,76.65,6578000,76.65
2014-02-20,73.96,76.52,73.39,75.96,9310100,75.96
2014-02-19,75.40,76.82,73.55,73.68,9558200,73.68
2014-02-18,74.37,76.40,73.90,76.06,7961500,76.06
2014-02-14,72.90,74.00,71.99,73.77,8848900,73.77
2014-02-13,68.70,73.74,68.65,73.44,9987400,73.44
2014-02-12,70.25,71.74,69.82,70.69,8741800,70.69
2014-02-11,68.32,70.48,67.82,69.95,7902300,69.95
2014-02-10,67.65,68.19,66.15,68.11,6285800,68.11
2014-02-07,66.21,67.71,65.34,67.55,9831600,67.55
2014-02-06,64.24,66.18,64.24,65.40,9278600,65.40
2014-02-05,64.17,64.76,61.40,63.79,12509400,63.79
2014-02-04,65.01,66.16,63.47,65.42,8167500,65.42
2014-02-03,70.01,70.64,63.02,64.02,12786700,64.02
2014-01-31,68.77,72.11,68.66,70.56,7984200,70.56
2014-01-30,70.92,73.35,70.37,72.01,8679200,72.01
