Date,Open,High,Low,Close,Volume,Adj Close
2014-10-01,47.51,47.72,46.82,46.88,7854600,46.88
2014-09-30,48.20,48.53,47.55,47.69,6431700,47.69
2014-09-29,48.01,48.47,47.91,48.26,3160800,48.26
2014-09-26,48.18,48.47,48.04,48.33,3601700,48.33
2014-09-25,48.74,48.84,48.06,48.14,5297300,48.14
2014-09-24,48.66,48.95,48.56,48.81,5125600,48.81
2014-09-23,48.32,48.96,48.32,48.66,5646900,48.66
2014-09-22,48.69,48.75,48.26,48.66,5756500,48.66
2014-09-19,49.00,49.37,48.65,48.75,12560600,48.75
2014-09-18,48.47,49.04,48.34,48.98,3778500,48.98
2014-09-17,47.97,48.63,47.91,48.37,3854700,48.37
2014-09-16,47.35,48.08,47.10,47.92,5499600,47.92
2014-09-15,47.11,47.95,47.11,47.59,3238700,47.59
2014-09-12,47.93,48.18,47.46,47.83,4838300,47.83
2014-09-11,47.80,48.22,47.70,48.15,3165900,48.15
2014-09-10,48.42,48.42,47.83,47.99,5503700,47.99
2014-09-09,48.39,48.52,48.20,48.28,3153700,48.28
2014-09-08,48.39,48.77,48.32,48.49,3975400,48.49
2014-09-05,48.31,48.59,48.21,48.58,3648600,48.58
2014-09-04,48.50,48.56,48.16,48.25,3480200,48.25
2014-09-03,48.31,48.37,47.91,48.35,3884300,48.35
2014-09-02,48.43,48.43,47.65,47.91,3321300,47.91
2014-08-29,48.31,48.34,47.89,48.18,3433000,48.18
2014-08-28,47.61,48.16,47.49,48.02,3427300,48.02
2014-08-27,47.62,47.84,47.23,47.78,4945900,47.78
2014-08-26,47.46,47.65,47.31,47.49,4560400,47.49
2014-08-25,48.37,48.50,47.26,47.37,4986900,47.37
2014-08-22,48.26,48.35,47.96,48.02,3196900,48.02
2014-08-21,47.94,48.23,47.80,48.17,3698600,48.17
2014-08-20,47.68,47.99,47.67,47.88,5266400,47.88
2014-08-19,47.61,47.92,47.45,47.69,3092200,47.69
2014-08-18,47.55,47.74,47.36,47.56,3806300,47.56
2014-08-15,47.67,47.73,46.99,47.56,5854100,47.56
2014-08-14,47.18,47.33,47.01,47.26,2550700,47.26
2014-08-13,47.20,47.20,46.83,47.08,5457800,47.08
2014-08-12,46.25,46.74,46.25,46.67,3788200,46.67
2014-08-11,46.20,46.82,46.20,46.50,3393300,46.50
2014-08-08,45.90,46.39,45.85,46.33,4992300,46.33
2014-08-07,46.45,46.50,45.60,45.67,6689400,45.67
2014-08-06,45.88,46.44,45.78,46.17,4940900,46.17
2014-08-05,46.46,46.46,45.92,45.99,7867500,45.99
2014-08-04,46.20,46.51,46.05,46.39,5327100,46.39
2014-08-01,46.27,46.63,46.12,46.24,7316800,46.24
2014-07-31,46.84,46.94,46.02,46.25,8564900,46.25
2014-07-30,47.00,47.38,46.76,47.23,5408200,47.23
2014-07-29,47.19,47.48,46.77,46.77,6139700,46.77
2014-07-28,46.85,47.44,46.38,47.35,11324800,47.35
2014-07-25,47.73,47.73,46.77,46.82,9472100,46.82
2014-07-24,48.50,48.61,47.78,47.86,9868300,47.86
2014-07-23,49.22,49.24,48.15,48.20,12255400,48.20
2014-07-22,49.00,49.24,48.44,49.12,8210500,49.12
2014-07-21,48.08,49.34,48.08,49.17,7681800,49.17
2014-07-18,48.42,48.97,48.17,48.82,5178800,48.82
2014-07-17,48.53,48.93,48.06,48.15,5321300,48.15
2014-07-16,49.00,49.20,48.81,49.05,4894500,49.05
2014-07-15,48.98,49.12,48.42,48.66,5461600,48.66
2014-07-14,49.44,49.53,48.86,48.92,5171500,48.92
2014-07-11,48.83,49.29,48.83,49.29,4231400,49.29
2014-07-10,48.76,49.09,48.28,49.00,4907400,49.00
2014-07-09,49.06,49.41,48.83,49.28,4378200,49.28
2014-07-08,48.52,49.04,48.52,48.85,4789800,48.85
2014-07-07,48.73,49.09,48.73,48.92,2912700,48.92
2014-07-03,48.58,48.98,48.50,48.95,1689500,48.95
2014-07-02,48.33,48.67,48.33,48.51,2825500,48.51
2014-07-01,48.03,48.73,47.93,48.49,4714500,48.49
2014-06-30,47.67,47.95,47.48,47.79,3109800,47.79
2014-06-27,47.72,47.78,47.37,47.76,4105900,47.76
2014-06-26,48.04,48.05,47.38,47.79,3533000,47.79
2014-06-25,46.66,48.11,46.55,48.04,3645000,48.04
2014-06-24,47.89,48.20,47.64,47.71,3732800,47.71
2014-06-23,47.98,48.17,47.82,48.08,3002500,48.08
2014-06-20,48.06,48.22,47.56,47.94,8463900,47.94
2014-06-19,48.08,48.21,47.62,47.91,5185400,47.91
2014-06-18,48.28,48.30,47.63,47.87,3973100,47.87
2014-06-17,47.96,48.32,47.92,48.26,3845300,48.26
2014-06-16,48.05,48.29,47.80,48.13,4473200,48.13
2014-06-13,48.28,48.45,47.91,48.33,4763500,48.33
2014-06-12,47.89,48.24,47.83,48.14,5782600,48.14
2014-06-11,47.86,48.24,47.67,48.09,3333300,48.09
2014-06-10,47.78,47.98,47.65,47.97,2697000,47.97
2014-06-09,47.54,47.97,47.48,47.88,4376700,47.88
2014-06-06,47.69,47.77,47.38,47.50,2965800,47.50
2014-06-05,45.86,47.49,45.65,47.40,4038200,47.40
2014-06-04,47.19,47.19,46.77,46.85,3497700,46.85
2014-06-03,46.93,47.19,46.78,46.99,3955200,46.99
2014-06-02,47.00,47.24,46.78,46.99,3379700,46.99
2014-05-30,46.84,47.00,46.44,46.98,4576100,46.98
2014-05-29,46.57,46.66,46.39,46.66,2975300,46.66
2014-05-28,46.29,46.53,45.97,46.46,3976400,46.46
2014-05-27,46.38,46.79,46.24,46.35,4594900,46.35
2014-05-23,46.08,46.30,45.92,46.25,3864500,46.25
2014-05-22,45.74,46.26,45.62,46.14,4279700,46.14
2014-05-21,45.94,45.95,45.35,45.65,3993300,45.65
2014-05-20,45.42,45.83,45.38,45.71,4440100,45.71
2014-05-19,45.21,45.83,45.13,45.60,4692100,45.60
2014-05-16,45.12,45.22,44.75,44.99,6593500,44.99
2014-05-15,45.53,45.66,44.68,44.89,8456000,44.89
2014-05-14,45.83,46.28,45.46,45.61,6239800,45.61
2014-05-13,46.91,47.01,46.10,46.14,8041500,46.14
2014-05-12,46.13,47.15,45.98,46.95,6529000,46.95
2014-05-09,46.04,46.18,45.48,45.84,5549800,45.84
2014-05-08,45.59,46.60,45.37,46.11,6113600,46.11
2014-05-07,45.33,45.66,45.08,45.58,4491500,45.58
2014-05-06,45.63,45.86,45.32,45.38,4431200,45.38
2014-05-05,45.49,45.86,45.38,45.72,3970900,45.72
2014-05-02,45.57,45.97,45.25,45.78,6002400,45.78
2014-05-01,45.91,46.00,45.15,45.23,9211400,45.23
2014-04-30,45.96,46.17,45.43,45.45,9909700,45.45
2014-04-29,45.82,46.22,45.63,46.12,7783900,46.12
2014-04-28,46.46,46.73,45.21,45.45,13496500,45.45
2014-04-25,47.99,48.16,45.94,46.34,12403800,46.04
2014-04-24,47.78,49.11,47.63,48.47,13421500,48.16
2014-04-23,46.55,47.00,46.42,46.46,5865900,46.16
2014-04-22,45.88,46.71,45.54,46.59,4981400,46.29
2014-04-21,46.18,46.24,45.68,46.11,3000900,45.81
2014-04-17,45.35,46.06,45.08,45.83,6542500,45.53
2014-04-16,45.70,45.73,44.54,45.21,8908100,44.92
2014-04-15,45.38,45.99,45.04,45.81,6506100,45.51
2014-04-14,45.76,45.76,44.92,45.32,5175100,45.03
2014-04-11,44.77,45.74,44.73,44.98,8361500,44.69
2014-04-10,47.12,47.29,45.52,45.53,8497300,45.24
2014-04-09,46.95,47.36,46.56,47.24,4638900,46.93
2014-04-08,46.36,46.90,46.28,46.77,6590100,46.47
2014-04-07,46.29,46.90,46.02,46.25,7278000,45.95
2014-04-04,47.89,48.00,46.23,46.34,7418800,46.04
2014-04-03,47.73,47.89,47.50,47.69,2626800,47.38
2014-04-02,47.58,47.97,47.47,47.62,5153900,47.31
2014-04-01,47.32,49.77,47.12,47.53,6467800,47.22
2014-03-31,47.06,47.44,46.86,47.16,4650500,46.85
2014-03-28,46.23,47.06,46.12,46.64,4329500,46.34
2014-03-27,46.45,46.62,46.00,46.08,4935700,45.78
2014-03-26,46.98,47.25,46.23,46.39,6824900,46.09
2014-03-25,46.84,46.90,46.10,46.69,6606500,46.39
2014-03-24,46.80,47.00,46.20,46.57,6884000,46.27
2014-03-21,47.43,47.65,46.49,47.15,21693300,46.84
2014-03-20,45.55,46.97,45.41,46.95,7694600,46.65
2014-03-19,45.51,46.01,45.27,45.52,5830900,45.23
2014-03-18,45.21,45.65,45.07,45.40,4093400,45.11
2014-03-17,44.54,45.52,44.41,45.27,5894500,44.98
2014-03-14,44.95,45.29,44.29,44.31,10047300,44.02
2014-03-13,46.50,46.78,44.92,44.99,9890400,44.70
2014-03-12,45.52,46.60,45.52,46.43,9523400,46.13
2014-03-11,45.99,46.24,45.30,45.67,4978200,45.37
2014-03-10,45.91,46.00,45.53,45.87,3370300,45.57
2014-03-07,45.88,46.04,45.62,45.85,3872400,45.55
2014-03-06,45.31,45.75,45.21,45.68,4803100,45.38
2014-03-05,44.15,45.60,44.15,45.18,5094800,44.89
2014-03-04,44.83,45.41,44.82,45.26,5112200,44.97
2014-03-03,44.68,44.94,44.35,44.58,4679400,44.29
2014-02-28,44.88,45.19,44.58,44.96,5772900,44.67
2014-02-27,44.53,44.82,44.48,44.78,4343500,44.49
2014-02-26,44.50,44.94,44.49,44.63,4532100,44.34
2014-02-25,44.49,44.71,44.07,44.47,5303900,44.18
2014-02-24,44.22,44.83,44.20,44.45,5311800,44.16
2014-02-21,44.40,44.43,44.02,44.15,5669500,43.86
2014-02-20,43.85,44.26,43.80,44.20,5371100,43.91
2014-02-19,43.83,44.15,43.67,43.93,5346600,43.65
2014-02-18,43.75,44.07,43.24,44.01,5826100,43.73
2014-02-14,43.52,43.94,43.40,43.86,4907400,43.58
2014-02-13,43.05,43.75,43.05,43.74,5029100,43.46
2014-02-12,43.24,43.44,43.01,43.30,5041200,43.02
2014-02-11,42.76,43.29,42.31,43.13,7149900,42.85
2014-02-10,41.97,42.37,41.89,42.36,4666000,42.09
2014-02-07,41.56,42.00,41.29,41.95,6005000,41.68
2014-02-06,41.19,41.44,41.00,41.23,4734500,40.96
2014-02-05,40.63,41.13,40.33,40.97,9254300,40.70
2014-02-04,41.60,41.70,40.85,40.89,10529900,40.63
2014-02-03,42.42,42.50,41.38,41.50,12669400,41.23
2014-01-31,41.35,42.65,41.26,42.40,12821700,42.13
2014-01-30,42.61,42.93,42.43,42.69,6703000,42.41
2014-01-29,42.32,42.75,42.24,42.40,8619600,42.13
2014-01-28,42.58,42.93,42.30,42.90,6356100,42.32
2014-01-27,42.95,43.27,42.55,42.64,7360000,42.07
2014-01-24,43.79,44.03,42.88,42.95,10676700,42.37
2014-01-23,44.12,44.55,43.95,44.09,8236400,43.50
2014-01-22,43.70,44.82,43.55,44.61,9822000,44.01
2014-01-21,43.75,43.93,43.37,43.85,7413800,43.26
2014-01-17,43.20,43.85,43.01,43.45,6614200,42.87
2014-01-16,43.52,43.60,43.24,43.37,4086900,42.79
2014-01-15,43.45,43.65,43.10,43.54,6605400,42.96
2014-01-14,42.50,43.40,42.35,43.34,6892700,42.76
2014-01-13,42.96,43.10,42.12,42.24,6759100,41.67
2014-01-10,43.15,43.25,42.74,43.11,5330900,42.53
2014-01-09,43.28,43.39,42.90,43.06,3383800,42.48
2014-01-08,42.96,43.32,42.62,43.29,6353500,42.71
2014-01-07,42.98,43.11,42.64,42.70,5078900,42.13
2014-01-06,43.25,43.28,42.85,42.93,4446300,42.35
2014-01-03,43.12,43.46,42.97,43.29,4693300,42.71
2014-01-02,43.44,43.50,42.88,43.10,6959200,42.52
2013-12-31,44.04,44.09,43.79,43.91,2631300,43.32
2013-12-30,43.50,43.91,43.49,43.90,2445700,43.31
2013-12-27,43.77,43.83,43.59,43.67,1938000,43.08
2013-12-26,43.52,43.65,43.45,43.59,1960100,43.00
2013-12-24,43.31,43.60,43.25,43.43,1339900,42.85
2013-12-23,43.00,43.41,42.90,43.36,3908600,42.78
2013-12-20,42.76,43.00,42.49,42.84,8648200,42.27
2013-12-19,43.11,43.11,42.28,42.46,4910200,41.89
2013-12-18,42.51,43.10,42.05,43.10,6390700,42.52
2013-12-17,42.26,42.61,42.23,42.43,3570500,41.86
2013-12-16,42.18,42.58,42.05,42.29,4144400,41.72
2013-12-13,42.65,42.78,41.91,41.95,5596000,41.39
2013-12-12,42.33,42.75,42.30,42.42,6970500,41.85
2013-12-11,43.45,43.50,42.78,42.81,4169600,42.24
2013-12-10,43.49,43.65,43.28,43.41,5146200,42.83
2013-12-09,43.65,43.67,43.32,43.58,5121700,43.00
2013-12-06,43.01,43.56,43.01,43.49,4794000,42.91
2013-12-05,42.48,42.73,42.39,42.66,4486700,42.09
2013-12-04,42.67,43.07,42.22,42.43,6592500,41.86
2013-12-03,42.62,42.94,42.39,42.84,6318700,42.27
2013-12-02,42.95,43.00,42.72,42.81,4389600,42.24
2013-11-29,42.63,43.08,42.51,43.00,3756400,42.42
2013-11-27,42.10,42.58,41.94,42.52,4764300,41.95
2013-11-26,42.59,42.85,42.56,42.70,4181000,42.13
2013-11-25,42.66,42.74,42.42,42.55,6201200,41.98
2013-11-22,42.43,42.67,42.15,42.64,5002300,42.07
2013-11-21,42.08,42.49,42.01,42.44,3826700,41.87
2013-11-20,42.40,42.40,41.81,41.93,4858800,41.37
2013-11-19,42.48,42.70,42.09,42.15,3605000,41.58
2013-11-18,42.62,42.70,42.33,42.44,4000400,41.87
2013-11-15,42.60,42.74,42.29,42.55,4231800,41.98
2013-11-14,42.23,42.75,42.21,42.63,6114500,42.06
2013-11-13,41.65,42.41,41.51,42.39,7129600,41.82
2013-11-12,41.61,41.99,41.61,41.85,4176800,41.29
2013-11-11,41.94,42.00,41.64,41.79,4291000,41.23
2013-11-08,41.84,42.04,41.56,41.98,5590100,41.42
2013-11-07,42.26,42.30,41.51,41.65,6335400,41.09
2013-11-06,42.11,42.26,41.90,42.14,4637300,41.57
2013-11-05,41.75,42.04,41.50,41.90,5350400,41.34
2013-11-04,42.18,42.24,41.89,41.99,3681600,41.43
2013-11-01,42.36,42.37,41.82,42.03,6033800,41.47
2013-10-31,41.70,42.34,41.65,42.09,9643500,41.53
2013-10-30,41.66,42.33,41.56,41.72,11278100,41.16
2013-10-29,41.41,41.77,40.92,41.76,11073600,41.20
2013-10-28,40.13,41.07,40.09,41.01,11604000,40.16
2013-10-25,39.95,40.27,39.79,40.23,7152100,39.40
2013-10-24,39.65,40.28,39.65,39.88,6663600,39.06
2013-10-23,40.00,40.11,39.19,39.73,12047600,38.91
2013-10-22,40.18,40.46,39.78,40.28,13064800,39.45
2013-10-21,40.55,41.22,40.54,40.99,9658800,40.14
2013-10-18,40.69,40.76,40.34,40.71,5724400,39.87
2013-10-17,40.28,40.72,40.09,40.65,4972800,39.81
2013-10-16,39.99,40.77,39.74,40.75,8301700,39.91
2013-10-15,40.51,40.60,40.21,40.25,6437400,39.42
2013-10-14,40.23,40.64,40.14,40.55,6080400,39.71
2013-10-11,39.82,40.43,39.82,40.38,4500100,39.55
2013-10-10,39.57,40.24,39.56,40.12,6383900,39.29
2013-10-09,39.32,39.49,38.92,39.29,6859200,38.48
2013-10-08,39.90,39.90,39.20,39.24,6427000,38.43
2013-10-07,39.61,40.22,39.52,39.86,5850700,39.04
2013-10-04,40.25,40.25,39.83,39.93,6539300,39.11
2013-10-03,40.06,40.36,39.81,40.22,5899200,39.39
2013-10-02,40.11,40.47,40.08,40.26,4255100,39.43
2013-10-01,40.34,40.55,40.23,40.40,3942000,39.57
2013-09-30,39.88,40.41,39.68,40.29,5521700,39.46
2013-09-27,40.25,40.33,40.00,40.16,3799300,39.33
2013-09-26,40.52,40.54,40.15,40.38,3275500,39.55
2013-09-25,40.43,40.52,40.21,40.32,4421200,39.49
2013-09-24,40.45,40.56,40.23,40.31,4440700,39.48
2013-09-23,40.50,40.62,40.25,40.47,5780200,39.63
2013-09-20,40.89,40.91,40.51,40.52,7179000,39.68
2013-09-19,40.91,40.94,40.67,40.80,5066800,39.96
2013-09-18,40.70,40.90,40.55,40.85,7654400,40.01
2013-09-17,40.66,40.84,40.39,40.73,4061200,39.89
2013-09-16,40.50,40.58,40.28,40.45,5393100,39.62
2013-09-13,40.06,40.30,39.74,40.28,4272300,39.45
2013-09-12,39.93,40.11,39.66,39.91,5855600,39.09
2013-09-11,40.05,40.39,39.96,40.03,6720000,39.20
2013-09-10,39.96,40.36,39.88,40.31,6427400,39.48
2013-09-09,39.39,39.84,39.25,39.75,3656700,38.93
2013-09-06,39.60,39.60,38.98,39.18,4770400,38.37
2013-09-05,39.36,39.58,39.29,39.48,4374400,38.67
2013-09-04,38.77,39.47,38.52,39.37,6224400,38.56
2013-09-03,38.62,39.09,38.48,38.64,4466800,37.84
2013-08-30,38.64,38.65,38.06,38.20,4377300,37.41
2013-08-29,38.38,38.82,38.26,38.61,3192400,37.81
2013-08-28,38.37,38.69,38.14,38.43,5115000,37.64
2013-08-27,38.81,38.81,38.12,38.25,9172200,37.46
2013-08-26,39.16,39.56,39.04,39.19,6757700,38.38
2013-08-23,38.93,39.14,38.71,39.07,5162800,38.26
2013-08-22,38.62,38.95,38.35,38.82,4258600,38.02
2013-08-21,38.30,38.76,38.00,38.45,9314200,37.66
2013-08-20,38.58,38.86,38.45,38.75,5428900,37.95
2013-08-19,38.94,39.03,38.41,38.44,5365800,37.65
2013-08-16,38.63,39.05,38.44,38.74,5714600,37.94
2013-08-15,38.67,38.90,38.36,38.65,8551200,37.85
2013-08-14,39.78,39.79,39.04,39.17,11735300,38.36
2013-08-13,39.70,39.92,39.45,39.76,4100300,38.94
2013-08-12,39.48,39.92,39.48,39.71,3506600,38.89
2013-08-09,39.55,39.94,39.51,39.78,5768600,38.96
2013-08-08,39.85,39.96,39.42,39.65,3897300,38.83
2013-08-07,39.55,39.89,39.49,39.65,4513300,38.83
2013-08-06,39.81,39.99,39.53,39.73,5140100,38.91
2013-08-05,39.72,39.90,39.66,39.86,4514300,39.04
2013-08-02,39.63,39.99,39.41,39.94,9305700,39.12
2013-08-01,39.36,39.90,39.25,39.82,8625100,39.00
2013-07-31,38.98,39.35,38.78,39.18,8871300,38.37
2013-07-30,38.73,39.05,38.62,38.76,6160000,37.96
2013-07-29,38.62,38.99,38.54,38.59,4970300,37.79
2013-07-26,38.76,39.12,38.75,39.11,6965000,38.03
2013-07-25,38.91,39.27,38.73,39.25,9191700,38.16
2013-07-24,38.97,39.21,38.66,38.93,10252200,37.85
