Date,Open,High,Low,Close,Volume,Adj Close
2014-10-01,16.95,17.80,16.89,17.62,24706600,17.62
2014-09-30,16.22,16.93,16.17,16.92,19690400,16.92
2014-09-29,16.70,16.75,16.05,16.19,15832100,16.19
2014-09-26,16.40,16.56,16.10,16.15,14588200,16.15
2014-09-25,15.91,16.75,15.86,16.57,23346100,16.57
2014-09-24,16.16,16.41,15.75,15.79,17591500,15.79
2014-09-23,15.99,16.29,15.68,16.23,20500500,16.23
2014-09-22,15.36,15.92,15.33,15.78,19225100,15.78
2014-09-19,14.41,15.29,14.41,15.15,21157000,15.15
2014-09-18,14.68,14.81,14.57,14.61,13345300,14.61
2014-09-17,14.97,15.08,14.59,14.87,18703800,14.87
2014-09-16,15.27,15.41,14.86,15.00,18280100,15.00
2014-09-15,14.65,15.27,14.64,15.13,19282300,15.13
2014-09-12,14.22,14.79,14.21,14.65,15310800,14.65
2014-09-11,14.74,14.75,14.16,14.20,16685900,14.20
2014-09-10,14.75,14.92,14.46,14.47,19791600,14.47
2014-09-09,14.32,14.81,14.30,14.74,18656700,14.74
2014-09-08,14.36,14.51,14.15,14.23,15828400,14.23
2014-09-05,14.53,14.75,14.30,14.30,19543100,14.30
2014-09-04,14.18,14.55,13.91,14.45,16190900,14.45
2014-09-03,13.82,14.35,13.81,14.29,14252200,14.29
2014-09-02,14.10,14.28,13.92,14.03,14674200,14.03
2014-08-29,14.41,14.59,14.17,14.25,11744700,14.25
2014-08-28,14.47,14.66,14.39,14.52,12805300,14.52
2014-08-27,14.17,14.37,14.14,14.30,9744100,14.30
2014-08-26,14.53,14.56,14.15,14.18,16023500,14.18
2014-08-25,14.53,14.75,14.34,14.60,15663000,14.60
2014-08-22,14.88,15.03,14.64,14.80,17505400,14.80
2014-08-21,14.93,15.32,14.73,14.81,16433300,14.81
2014-08-20,14.94,15.11,14.80,14.90,13927200,14.90
2014-08-19,14.85,14.87,14.62,14.72,13939400,14.72
2014-08-18,15.10,15.26,14.85,14.87,17705000,14.87
2014-08-15,15.13,16.01,15.12,15.53,21950800,15.53
2014-08-14,15.52,15.63,15.42,15.49,7459800,15.49
2014-08-13,15.75,15.85,15.45,15.56,11631500,15.56
2014-08-12,15.75,16.12,15.54,15.92,13190900,15.92
2014-08-11,15.79,15.90,15.23,15.60,14178700,15.60
2014-08-08,16.49,16.61,16.00,16.05,16392800,16.05
2014-08-07,16.14,16.72,15.96,16.53,19609600,16.53
2014-08-06,16.78,16.80,15.99,16.30,19608600,16.30
2014-08-05,16.58,16.83,16.09,16.49,24885500,16.49
2014-08-04,16.56,17.15,16.28,16.35,15956200,16.35
2014-08-01,16.59,17.16,16.34,16.78,26507000,16.78
2014-07-31,15.98,16.59,15.84,16.57,28373200,16.57
2014-07-30,15.36,15.71,15.30,15.50,18957000,15.50
2014-07-29,15.67,15.83,15.37,15.69,18219300,15.69
2014-07-28,15.48,16.15,15.47,15.82,18486400,15.82
2014-07-25,15.53,15.74,15.43,15.61,16499400,15.61
2014-07-24,14.96,15.31,14.79,15.17,15649700,15.17
2014-07-23,15.04,15.24,14.88,15.09,15944300,15.09
