Date,Open,High,Low,Close,Volume,Adj Close
2014-10-01,107.48,107.65,105.41,105.80,4501100,105.80
2014-09-30,108.52,109.77,108.28,108.42,3339300,108.42
2014-09-29,107.95,108.71,107.17,108.53,1928600,108.53
2014-09-26,107.02,108.89,107.02,108.58,2036000,108.58
2014-09-25,108.60,108.63,106.97,107.19,2716700,107.19
2014-09-24,107.90,108.82,107.74,108.69,3121100,108.69
2014-09-23,108.20,108.58,107.79,107.80,2660500,107.80
2014-09-22,109.52,109.69,108.47,108.50,2364200,108.50
2014-09-19,109.97,110.14,109.02,109.36,4336300,109.36
2014-09-18,109.74,110.26,109.32,109.40,2913600,109.40
2014-09-17,108.35,110.25,108.28,109.58,3439900,109.58
2014-09-16,107.16,108.00,106.38,107.92,3591500,107.92
2014-09-15,107.09,107.30,106.41,107.04,2925000,107.04
2014-09-12,107.02,107.90,106.79,107.01,2091900,107.01
2014-09-11,106.98,107.86,106.75,107.71,1640800,107.71
2014-09-10,107.42,107.78,106.91,107.38,1696200,107.38
2014-09-09,107.61,107.94,107.20,107.47,1901700,107.47
2014-09-08,107.65,107.90,107.33,107.46,2052200,107.46
2014-09-05,107.22,107.88,106.81,107.69,3660500,107.69
2014-09-04,106.77,108.74,106.65,107.25,4582100,107.25
2014-09-03,106.67,107.38,106.16,106.60,2842000,106.60
2014-09-02,105.70,106.55,105.49,106.21,3225100,106.21
2014-08-29,105.03,105.36,104.56,105.27,1936500,105.27
2014-08-28,105.07,105.15,104.54,105.04,1786300,105.04
2014-08-27,105.48,105.65,104.84,105.30,1904700,105.30
2014-08-26,106.04,106.08,105.12,105.56,3195400,105.06
2014-08-25,106.20,106.23,105.47,105.64,2345000,105.14
2014-08-22,105.78,106.34,105.58,105.77,2306000,105.27
2014-08-21,106.11,106.30,105.41,105.86,2350800,105.36
2014-08-20,104.68,105.87,104.40,105.57,3478900,105.07
2014-08-19,104.39,104.75,104.14,104.39,2357800,103.90
2014-08-18,102.74,104.07,102.35,103.79,3812900,103.30
2014-08-15,102.16,102.28,101.16,101.99,2920800,101.51
2014-08-14,100.92,101.73,100.70,101.73,2664800,101.25
2014-08-13,99.94,100.69,99.86,100.57,2139000,100.09
2014-08-12,99.82,100.30,99.27,99.67,2669400,99.20
2014-08-11,99.10,100.32,99.00,99.57,3019400,99.10
2014-08-08,97.40,98.70,97.05,98.64,2415400,98.17
2014-08-07,98.00,98.46,97.27,97.48,2340200,97.02
2014-08-06,97.13,98.02,96.76,97.51,3295000,97.05
2014-08-05,97.87,98.75,97.40,97.96,3166300,97.50
2014-08-04,98.12,98.55,97.47,98.29,4540500,97.82
2014-08-01,98.22,99.19,97.74,97.91,4207200,97.45
2014-07-31,99.05,99.20,97.96,98.31,4492200,97.84
2014-07-30,100.15,100.31,98.96,99.47,4676300,99.00
2014-07-29,100.54,100.59,99.54,99.60,4010700,99.13
2014-07-28,101.46,101.63,100.32,100.64,3160400,100.16
2014-07-25,101.50,102.35,101.43,101.66,2337400,101.18
2014-07-24,101.39,102.20,100.60,101.77,3283600,101.29
2014-07-23,102.97,103.25,101.77,102.51,3554000,102.02
2014-07-22,101.87,102.98,101.75,102.86,2861500,102.37
2014-07-21,101.32,101.89,100.86,101.64,2746600,101.16
2014-07-18,100.70,101.35,100.37,101.34,3189800,100.86
2014-07-17,100.97,101.73,100.44,100.45,2218200,99.97
2014-07-16,101.88,102.00,101.25,101.78,2164800,101.30
2014-07-15,100.67,101.64,100.59,101.37,2659500,100.89
2014-07-14,100.74,101.35,100.73,101.09,2261500,100.61
2014-07-11,99.66,100.43,99.55,100.27,2086600,99.80
2014-07-10,99.60,99.98,99.27,99.61,2436400,99.14
2014-07-09,100.54,101.00,100.20,100.61,1782900,100.13
2014-07-08,100.02,100.34,99.53,100.09,2022200,99.62
2014-07-07,101.20,101.20,99.71,100.26,2914100,99.79
2014-07-03,100.19,101.09,100.18,100.98,2461400,100.50
2014-07-02,100.05,100.78,99.91,100.07,3471100,99.60
2014-07-01,99.96,100.68,99.77,100.10,3365400,99.63
2014-06-30,99.54,100.84,99.54,99.75,3773600,99.28
2014-06-27,99.57,99.94,99.16,99.64,3244200,99.17
2014-06-26,100.21,100.30,99.16,99.57,3127600,99.10
2014-06-25,99.63,100.36,99.63,100.09,2545200,99.62
2014-06-24,100.34,101.20,99.63,99.68,2482400,99.21
2014-06-23,101.18,101.20,100.38,100.69,2715700,100.21
2014-06-20,101.06,101.35,100.86,101.08,4876500,100.60
2014-06-19,100.68,101.44,100.54,101.03,2523600,100.55
2014-06-18,99.54,100.96,99.48,100.67,3585900,100.19
2014-06-17,99.94,100.00,99.28,99.37,3537200,98.90
2014-06-16,100.25,100.62,99.62,99.81,3152500,99.34
2014-06-13,100.68,101.24,100.33,100.90,1837800,100.42
2014-06-12,101.76,101.95,100.43,100.67,3307900,100.19
2014-06-11,102.06,102.31,101.30,102.18,2491500,101.24
2014-06-10,102.88,102.96,101.35,102.42,3328500,101.48
2014-06-09,101.87,102.20,100.82,102.14,3366400,101.20
2014-06-06,201.36,202.62,200.23,201.86,4104800,100.00
2014-06-05,197.81,201.29,197.81,200.34,3489200,99.25
2014-06-04,197.39,198.24,197.25,197.83,2354800,98.01
2014-06-03,199.00,199.18,196.91,197.39,2845600,97.79
2014-06-02,199.36,199.62,198.00,199.17,2625600,98.67
2014-05-30,197.35,199.46,196.89,199.27,4539800,98.72
2014-05-29,197.02,197.94,196.49,197.80,2666800,97.99
2014-05-28,197.16,197.73,196.27,196.37,3267400,97.28
2014-05-27,197.09,197.80,196.52,197.09,2436000,97.64
2014-05-23,195.80,197.13,195.50,196.26,2123400,97.23
2014-05-22,195.00,195.94,193.97,195.30,2344800,96.75
2014-05-21,194.58,196.03,194.44,195.25,3088600,96.73
2014-05-20,195.55,196.38,193.20,193.87,3654000,96.05
2014-05-19,195.26,195.78,194.14,195.59,3210600,96.90
2014-05-16,191.97,195.25,191.97,195.16,5889000,96.69
2014-05-15,191.88,192.20,190.46,191.12,2971600,94.68
