Date,Open,High,Low,Close,Volume,Adj Close
2014-10-01,33.23,33.23,32.70,32.74,4743500,32.74
2014-09-30,33.28,33.32,32.79,32.89,4609200,32.89
2014-09-29,33.44,33.70,33.37,33.56,4187000,33.56
2014-09-26,33.43,33.51,33.21,33.42,3765200,33.42
2014-09-25,33.82,33.83,33.14,33.27,5172900,33.27
2014-09-24,33.33,33.48,33.11,33.44,4863800,33.44
2014-09-23,32.51,33.13,32.40,32.61,7895100,32.61
2014-09-22,33.12,33.14,32.63,32.82,4545300,32.82
2014-09-19,33.57,33.59,33.12,33.13,7152000,33.13
2014-09-18,33.34,33.38,33.14,33.23,3574700,33.23
2014-09-17,32.93,32.95,32.56,32.71,3192000,32.71
2014-09-16,32.50,32.90,32.40,32.85,3994000,32.85
2014-09-15,32.88,32.94,32.60,32.61,3313500,32.61
2014-09-12,33.06,33.14,32.91,33.03,2968200,33.03
2014-09-11,32.84,33.18,32.81,33.14,5108900,33.14
2014-09-10,33.15,33.37,33.00,33.36,2685200,33.36
2014-09-09,33.31,33.32,33.09,33.26,4080300,33.26
2014-09-08,33.09,33.30,33.05,33.12,5315000,33.12
2014-09-05,33.58,33.78,33.58,33.58,6623200,33.58
2014-09-04,34.45,34.48,34.13,34.17,3178000,34.17
2014-09-03,34.80,34.81,34.37,34.54,4867200,34.54
2014-09-02,34.05,34.59,33.96,34.32,7234200,34.32
2014-08-29,34.19,34.37,34.09,34.34,2466200,34.34
2014-08-28,34.28,34.42,34.27,34.41,2265200,34.41
2014-08-27,34.31,34.55,34.26,34.54,2728300,34.54
2014-08-26,34.17,34.22,34.00,34.06,2673200,34.06
2014-08-25,34.18,34.25,34.03,34.21,2727600,34.21
2014-08-22,33.97,34.18,33.93,34.09,5327400,34.09
2014-08-21,33.32,33.59,33.30,33.50,2581200,33.50
2014-08-20,33.39,33.46,33.20,33.36,2532600,33.36
2014-08-19,33.54,33.62,33.36,33.54,3719500,33.54
2014-08-18,33.41,33.50,33.35,33.43,2953900,33.43
2014-08-15,33.08,33.18,32.80,33.14,6391400,33.14
2014-08-14,32.98,32.98,32.66,32.74,2463200,32.74
2014-08-13,32.98,32.99,32.75,32.93,3453100,32.93
2014-08-12,32.32,32.65,32.31,32.58,3200100,32.58
2014-08-11,32.40,32.52,32.31,32.38,4198500,32.38
2014-08-08,32.38,32.39,32.03,32.18,6352900,32.18
2014-08-07,33.15,33.18,32.58,32.70,5289800,32.70
