Date,Open,High,Low,Close,Volume,Adj Close
2014-10-01,41.57,41.57,40.88,40.91,16451400,40.91
2014-09-30,41.55,41.78,41.43,41.71,17054200,41.71
2014-09-29,41.52,41.83,41.44,41.62,9813500,41.62
2014-09-26,42.30,42.70,42.25,42.53,10346400,42.53
2014-09-25,42.57,42.58,42.15,42.26,10643000,42.26
2014-09-24,42.87,43.31,42.70,43.26,24576300,43.26
2014-09-23,43.24,43.40,42.99,43.04,9503300,42.59
2014-09-22,43.64,43.67,43.14,43.32,8417100,42.87
2014-09-19,44.43,44.50,43.84,43.97,9872600,43.51
2014-09-18,44.33,44.47,44.23,44.30,6975000,43.84
2014-09-17,44.63,44.70,44.16,44.20,17700000,43.74
2014-09-16,43.94,44.96,43.94,44.63,16662400,44.17
2014-09-15,44.21,44.21,43.91,44.07,8249800,43.61
2014-09-12,44.55,44.56,44.14,44.26,12908600,43.80
2014-09-11,44.93,44.95,44.79,44.87,16440700,44.41
2014-09-10,44.95,45.26,44.85,45.19,9892500,44.72
2014-09-09,45.70,45.78,45.22,45.39,16864600,44.92
2014-09-08,46.41,46.41,45.87,45.95,10875600,45.47
2014-09-05,46.22,46.49,46.06,46.49,12796400,46.01
2014-09-04,46.37,46.43,45.94,46.05,8460100,45.57
2014-09-03,46.40,46.40,46.13,46.25,9409000,45.77
2014-09-02,45.43,45.52,45.33,45.49,8423100,45.02
2014-08-29,45.47,45.50,45.28,45.40,8893300,44.93
2014-08-28,45.23,45.43,45.20,45.43,5110500,44.96
2014-08-27,45.70,45.86,45.62,45.85,6193700,45.37
2014-08-26,45.41,45.64,45.41,45.62,7718900,45.15
2014-08-25,45.12,45.39,45.10,45.37,6201100,44.90
2014-08-22,45.21,45.25,44.87,44.99,7724500,44.52
2014-08-21,45.24,45.32,45.11,45.19,8392800,44.72
2014-08-20,45.11,45.33,45.06,45.23,7220200,44.76
2014-08-19,45.08,45.31,45.08,45.30,6587000,44.83
2014-08-18,44.90,45.06,44.76,45.04,6372200,44.57
2014-08-15,44.81,44.84,44.32,44.58,11960400,44.12
2014-08-14,44.64,44.74,44.55,44.64,4965400,44.18
2014-08-13,44.77,44.86,44.50,44.61,8844800,44.15
2014-08-12,44.23,44.43,44.20,44.42,10632900,43.96
2014-08-11,44.06,44.45,44.03,44.41,9570000,43.95
2014-08-08,43.51,43.85,43.41,43.78,13077200,43.33
2014-08-07,43.63,43.67,43.17,43.30,13451300,42.85
2014-08-06,43.57,43.72,43.46,43.50,11361000,43.05
2014-08-05,44.04,44.13,43.65,43.81,12124800,43.36
2014-08-04,44.28,44.55,44.04,44.48,9841300,44.02
2014-08-01,43.85,44.08,43.57,43.98,18805600,43.52
2014-07-31,43.98,44.03,43.53,43.72,12562700,43.27
2014-07-30,44.87,44.93,44.26,44.50,12966300,44.04
2014-07-29,45.11,45.12,44.73,44.73,9090800,44.27
2014-07-28,44.90,45.16,44.81,45.14,7212300,44.67
2014-07-25,44.85,44.95,44.76,44.90,9415600,44.43
2014-07-24,44.96,45.17,44.93,45.08,11809400,44.61
2014-07-23,44.96,44.97,44.79,44.86,5720500,44.40
2014-07-22,44.82,44.94,44.80,44.85,13261400,44.39
2014-07-21,44.08,44.49,44.01,44.39,18890200,43.93
2014-07-18,44.08,44.35,44.03,44.23,5486600,43.77
2014-07-17,44.01,44.13,43.47,43.55,9976700,43.10
2014-07-16,44.49,44.56,44.33,44.40,6164500,43.94
2014-07-15,44.35,44.40,44.06,44.26,7029400,43.80
2014-07-14,44.22,44.33,44.13,44.32,6750600,43.86
2014-07-11,43.80,44.02,43.75,43.98,7000100,43.52
2014-07-10,43.53,43.94,43.38,43.90,18552700,43.45
2014-07-09,43.91,44.20,43.89,44.17,16559400,43.71
2014-07-08,44.13,44.13,43.80,43.91,7398000,43.45
2014-07-07,44.05,44.11,43.95,44.10,8695700,43.64
2014-07-03,43.72,44.07,43.65,44.01,6807600,43.55
2014-07-02,43.66,43.78,43.66,43.78,7641100,43.33
2014-07-01,43.36,43.57,43.36,43.52,10496300,43.07
2014-06-30,43.28,43.29,43.05,43.13,8567700,42.68
2014-06-27,43.12,43.24,42.97,43.20,7431000,42.75
2014-06-26,43.17,43.17,42.95,43.09,11566300,42.64
2014-06-25,43.09,43.14,42.95,43.11,13493500,42.66
2014-06-24,43.17,43.41,42.87,42.93,17451200,42.49
2014-06-23,43.53,43.54,43.28,43.41,15211800,42.55
2014-06-20,43.55,43.63,43.43,43.61,14210300,42.74
2014-06-19,43.71,43.81,43.48,43.59,8962100,42.72
2014-06-18,43.26,43.89,43.14,43.86,17662300,42.99
2014-06-17,43.29,43.36,43.14,43.36,9028300,42.50
2014-06-16,43.44,43.47,43.23,43.33,8539900,42.47
2014-06-13,43.47,43.64,43.34,43.61,7699200,42.74
2014-06-12,43.78,43.80,43.36,43.45,9127000,42.59
2014-06-11,43.60,43.75,43.55,43.65,7968900,42.78
2014-06-10,43.70,43.83,43.58,43.80,9653100,42.93
2014-06-09,43.42,43.68,43.36,43.63,9324400,42.76
2014-06-06,43.21,43.49,43.21,43.36,9160500,42.50
2014-06-05,42.83,43.00,42.70,42.90,9615200,42.05
2014-06-04,42.47,42.49,42.32,42.42,6949900,41.58
2014-06-03,42.47,42.78,42.43,42.66,7256200,41.81
2014-06-02,42.40,42.53,42.38,42.42,9076500,41.58
2014-05-30,42.54,42.60,42.14,42.21,13774100,41.37
2014-05-29,42.83,42.86,42.67,42.76,7035300,41.91
2014-05-28,42.61,42.77,42.51,42.71,10312700,41.86
2014-05-27,42.75,42.81,42.37,42.55,11396400,41.70
2014-05-23,42.91,43.02,42.86,42.90,20551100,42.05
2014-05-22,42.83,42.91,42.76,42.90,8280700,42.05
2014-05-21,42.46,42.63,42.46,42.57,15397100,41.72
2014-05-20,42.42,42.56,42.12,42.27,11702000,41.43
2014-05-19,42.56,42.70,42.53,42.63,6559100,41.78
2014-05-16,42.40,42.68,42.28,42.61,11901400,41.76
2014-05-15,42.41,42.41,41.88,42.09,11088300,41.25
2014-05-14,42.33,42.59,42.31,42.47,16633300,41.63
2014-05-13,42.06,42.33,42.01,42.19,14746500,41.35
2014-05-12,41.88,42.06,41.79,42.01,12806900,41.17
2014-05-09,41.42,41.53,41.27,41.34,13521100,40.52
2014-05-08,41.59,41.70,41.37,41.37,12276300,40.55
2014-05-07,41.13,41.50,41.07,41.48,8329300,40.65
2014-05-06,41.08,41.46,41.07,41.22,9665900,40.40
2014-05-05,41.02,41.08,40.86,41.06,11111900,40.24
2014-05-02,40.94,41.35,40.88,41.24,14743400,40.42
2014-05-01,40.85,41.06,40.69,40.97,8681600,40.16
2014-04-30,40.67,40.94,40.64,40.94,11793000,40.13
2014-04-29,40.86,41.18,40.84,40.97,15126200,40.16
2014-04-28,40.49,40.73,40.25,40.58,11892700,39.77
2014-04-25,40.55,40.55,40.18,40.46,15519200,39.66
2014-04-24,41.00,41.00,40.57,40.93,10679300,40.12
2014-04-23,41.01,41.02,40.65,40.93,14422900,40.12
2014-04-22,41.28,41.37,41.14,41.15,9462800,40.33
2014-04-21,41.42,41.48,41.18,41.29,8541100,40.47
2014-04-17,41.19,41.69,41.04,41.56,10141600,40.73
2014-04-16,40.74,41.14,40.70,41.07,12091800,40.25
2014-04-15,41.01,41.01,40.12,40.65,23778900,39.84
2014-04-14,41.38,41.44,41.04,41.26,11506100,40.44
2014-04-11,41.04,41.38,41.03,41.32,15167400,40.50
2014-04-10,41.79,41.93,41.28,41.34,18638200,40.52
2014-04-09,41.60,41.92,41.18,41.74,13632000,40.91
2014-04-08,41.60,41.78,41.30,41.41,29428700,40.59
2014-04-07,40.95,41.13,40.78,41.03,12439600,40.21
2014-04-04,41.36,41.63,40.75,40.81,38442400,40.00
2014-04-03,40.91,40.93,40.49,40.88,23427100,40.07
2014-04-02,40.85,41.15,40.79,41.12,11813800,40.30
2014-04-01,40.97,40.99,40.76,40.97,12472100,40.16
2014-03-31,40.58,40.80,40.51,40.58,20248500,39.77
2014-03-28,40.32,40.58,40.27,40.28,15315900,39.48
2014-03-27,39.61,40.00,39.57,39.96,16809800,39.17
2014-03-26,39.73,39.88,39.46,39.50,26585300,38.71
2014-03-25,39.28,39.59,39.24,39.49,17673500,38.70
2014-03-24,38.99,39.11,38.76,38.99,23802000,38.11
2014-03-21,38.66,39.15,38.59,38.65,19791100,37.78
2014-03-20,37.96,38.53,37.85,38.42,18680400,37.55
2014-03-19,38.70,38.92,38.03,38.24,22847800,37.38
2014-03-18,38.53,39.05,38.50,39.01,14198000,38.13
2014-03-17,38.41,38.52,38.30,38.42,13620200,37.55
2014-03-14,37.84,38.21,37.84,38.01,15544300,37.15
2014-03-13,38.48,38.53,37.56,37.76,18654100,36.91
2014-03-12,38.11,38.45,38.03,38.42,19015100,37.55
2014-03-11,38.77,38.93,38.18,38.27,17460500,37.41
2014-03-10,38.74,38.76,38.44,38.72,14103000,37.85
2014-03-07,39.32,39.35,38.75,38.95,19698800,38.07
2014-03-06,39.24,39.68,39.24,39.50,13865300,38.61
2014-03-05,38.75,38.99,38.69,38.96,10025800,38.08
2014-03-04,38.92,39.02,38.70,38.84,13426800,37.96
2014-03-03,38.19,38.33,37.92,38.21,26634900,37.35
2014-02-28,39.20,39.28,38.68,38.89,21899800,38.01
2014-02-27,38.79,39.25,38.73,39.20,19574100,38.32
2014-02-26,38.65,38.72,38.30,38.44,14250900,37.57
2014-02-25,38.94,39.01,38.42,38.54,14129700,37.67
2014-02-24,39.00,39.37,38.97,39.03,18554500,38.15
2014-02-21,38.84,39.16,38.84,39.07,26589200,38.19
2014-02-20,38.56,38.89,38.37,38.80,27963500,37.93
2014-02-19,38.70,38.96,38.48,38.60,34637000,37.73
2014-02-18,39.11,39.19,38.77,38.77,12031000,37.90
2014-02-14,38.87,39.30,38.81,39.10,10676700,38.22
2014-02-13,38.10,38.67,38.06,38.63,18583900,37.76
2014-02-12,38.88,39.08,38.52,38.59,16511100,37.72
2014-02-11,38.05,38.74,38.05,38.65,26770500,37.78
