Date,Open,High,Low,Close,Volume,Adj Close
2014-10-01,90.61,91.06,88.49,88.77,18977300,88.77
2014-09-30,91.68,91.90,90.06,90.62,21732100,90.62
2014-09-29,90.81,91.94,90.59,91.77,15454300,91.77
2014-09-26,90.82,92.37,90.50,91.98,11484800,91.98
2014-09-25,92.17,92.21,90.76,90.81,13436400,90.81
2014-09-24,92.08,92.75,90.76,92.22,24739900,92.22
2014-09-23,92.27,93.06,92.12,92.14,9140100,92.14
2014-09-22,93.64,93.69,92.05,92.41,10629600,92.41
2014-09-19,94.06,94.49,93.75,93.79,9474600,93.79
2014-09-18,95.15,95.20,94.10,94.35,12284600,93.87
2014-09-17,95.59,95.77,94.56,94.84,11069300,94.35
2014-09-16,94.09,95.96,93.95,95.36,13455400,94.87
2014-09-15,93.46,94.47,92.99,94.22,13391300,93.74
2014-09-12,94.70,94.79,93.27,93.56,15440200,93.08
2014-09-11,94.16,95.12,93.76,94.98,12505700,94.49
2014-09-10,95.06,95.06,93.81,94.92,10432700,94.43
2014-09-09,95.52,96.11,94.59,95.15,9998300,94.66
2014-09-08,96.60,96.68,95.13,95.57,10978100,95.08
2014-09-05,96.48,97.11,95.82,97.08,8774900,96.58
2014-09-04,97.98,98.02,95.98,96.43,12286500,95.94
2014-09-03,98.14,98.44,97.69,97.75,7190900,97.25
2014-09-02,98.60,98.69,97.07,97.49,8642300,96.99
2014-08-29,98.41,98.79,98.06,98.74,5367400,98.23
2014-08-28,97.87,98.29,97.71,98.19,3104500,97.69
2014-08-27,98.46,98.57,97.91,98.17,3860100,97.67
2014-08-26,98.15,98.87,97.96,98.37,5596500,97.87
2014-08-25,97.28,97.94,97.25,97.87,4379000,97.37
2014-08-22,97.52,97.52,96.61,97.01,7383400,96.51
2014-08-21,97.71,97.76,97.22,97.66,5567200,97.16
2014-08-20,97.25,97.71,96.85,97.58,5947900,97.08
2014-08-19,96.83,97.55,96.76,97.37,5997700,96.87
2014-08-18,96.72,96.92,96.22,96.63,8597500,96.14
2014-08-15,95.85,96.51,95.60,96.37,11075300,95.88
2014-08-14,96.35,96.50,95.52,95.66,7617400,95.17
2014-08-13,96.42,96.73,95.86,96.21,6489000,95.72
2014-08-12,96.47,96.47,95.50,95.90,9998100,95.41
2014-08-11,97.23,97.58,96.54,96.61,11203600,96.12
2014-08-08,95.30,96.70,95.07,96.60,11585000,96.11
2014-08-07,96.10,96.27,94.49,95.01,13256700,94.52
2014-08-06,95.13,96.72,94.96,95.61,11547000,95.12
2014-08-05,97.05,97.25,94.77,95.33,16439900,94.84
2014-08-04,95.83,97.70,95.54,97.46,12896500,96.96
2014-08-01,96.36,96.67,95.02,95.85,17833300,95.36
2014-07-31,98.13,98.18,96.56,96.63,17284800,96.14
2014-07-30,99.82,100.13,98.44,98.76,10780300,98.25
2014-07-29,99.42,99.92,99.30,99.35,6828800,98.84
2014-07-28,99.76,99.93,98.99,99.60,7478600,99.09
2014-07-25,100.22,100.31,99.71,99.84,4802900,99.33
2014-07-24,100.65,100.97,100.24,100.58,5747200,100.07
2014-07-23,100.10,100.50,99.67,100.49,6701200,99.98
2014-07-22,99.58,100.16,99.48,99.85,5977900,99.34
2014-07-21,98.74,99.21,98.59,99.14,9396700,98.63
2014-07-18,98.95,99.24,98.50,98.99,8317800,98.48
2014-07-17,100.24,100.55,98.63,98.70,11017800,98.19
2014-07-16,99.23,100.36,99.20,100.32,8167400,99.81
2014-07-15,98.98,99.23,98.18,98.82,9954200,98.31
2014-07-14,98.88,99.37,98.74,99.25,6870300,98.74
2014-07-11,99.04,99.06,98.14,98.40,10805200,97.90
2014-07-10,99.21,99.53,98.65,99.16,14908700,98.65
2014-07-09,99.62,100.18,99.46,100.12,6408000,99.61
2014-07-08,99.47,99.71,99.07,99.46,10392300,98.95
2014-07-07,100.29,100.30,99.44,99.62,6932400,99.11
2014-07-03,100.49,100.49,99.83,100.39,3668800,99.88
2014-07-02,100.08,100.37,99.80,100.01,5926400,99.50
2014-07-01,100.35,100.66,99.91,100.16,6885800,99.65
2014-06-30,99.95,100.22,99.56,100.10,6312800,99.59
2014-06-27,99.78,100.07,99.44,100.02,8222100,99.51
2014-06-26,99.97,100.10,99.11,100.02,8080000,99.51
2014-06-25,98.75,100.01,98.64,99.91,13860300,99.40
2014-06-24,101.20,101.28,98.94,99.16,17748500,98.65
2014-06-23,101.24,101.52,100.98,101.29,7959200,100.77
2014-06-20,100.45,100.99,100.12,100.93,9096200,100.41
2014-06-19,99.75,100.42,99.47,100.40,8677000,99.42
2014-06-18,98.98,99.78,98.65,99.69,14863600,98.72
2014-06-17,98.81,98.96,98.31,98.94,10045500,97.98
2014-06-16,98.77,99.23,98.59,99.01,13386900,98.05
2014-06-13,97.75,98.43,97.17,98.42,9736600,97.46
2014-06-12,97.60,98.14,97.31,97.49,11869600,96.54
2014-06-11,96.51,97.30,96.30,97.17,5651700,96.23
2014-06-10,96.97,97.05,96.56,96.80,3766100,95.86
2014-06-09,96.94,97.47,96.72,96.96,5652000,96.02
2014-06-06,96.24,96.95,96.24,96.81,5420000,95.87
2014-06-05,95.37,96.18,95.18,96.02,6174800,95.09
2014-06-04,95.36,95.57,95.07,95.47,3686600,94.54
2014-06-03,94.97,95.64,94.96,95.52,5998600,94.59
2014-06-02,95.40,95.74,94.92,95.19,5075700,94.27
2014-05-30,95.12,95.42,94.85,95.31,5958000,94.38
2014-05-29,94.75,95.43,94.49,95.38,7278300,94.45
2014-05-28,94.40,94.89,94.20,94.57,7535500,93.65
2014-05-27,94.42,94.63,94.06,94.41,5057300,93.49
2014-05-23,94.32,94.68,94.13,94.15,5280600,93.24
2014-05-22,94.43,94.84,94.22,94.34,6869200,93.42
2014-05-21,93.85,94.56,93.72,94.43,5857400,93.51
2014-05-20,93.49,93.86,93.24,93.42,4675600,92.51
2014-05-19,93.14,93.94,93.14,93.69,5032200,92.78
2014-05-16,93.47,93.74,92.93,93.40,14811000,92.49
2014-05-15,94.53,94.56,92.95,93.64,11448800,92.73
2014-05-14,94.78,95.02,94.59,94.72,4984600,93.80
2014-05-13,94.51,94.82,94.37,94.68,4988800,93.76
2014-05-12,94.10,94.38,93.81,94.33,5213900,93.41
2014-05-09,93.88,94.05,93.31,93.67,8710800,92.76
2014-05-08,94.93,95.09,93.68,93.76,10966300,92.85
2014-05-07,94.72,95.25,94.19,95.12,9630900,94.20
2014-05-06,94.25,94.80,94.17,94.30,7476700,93.38
2014-05-05,93.37,94.32,93.20,94.16,8037300,93.25
2014-05-02,93.36,94.42,93.23,93.72,8711000,92.81
2014-05-01,93.61,93.86,93.26,93.53,10715300,92.62
2014-04-30,93.61,93.88,93.14,93.74,10821600,92.83
2014-04-29,93.84,94.66,93.79,93.82,8272600,92.91
2014-04-28,93.55,93.63,92.61,93.39,11167000,92.48
2014-04-25,93.53,93.82,92.94,93.23,8872100,92.32
2014-04-24,94.03,94.25,93.62,93.79,8876500,92.88
2014-04-23,93.26,94.02,93.26,93.76,8561700,92.85
2014-04-22,93.16,93.53,92.71,93.27,6345200,92.36
2014-04-21,92.88,93.49,92.71,93.42,8506400,92.51
2014-04-17,92.07,93.07,91.91,92.79,18549500,91.89
2014-04-16,91.39,91.97,91.26,91.95,13036700,91.06
2014-04-15,89.60,90.89,89.32,90.86,22442900,89.98
2014-04-14,89.13,89.84,88.71,89.66,9961400,88.79
2014-04-11,88.26,88.97,88.22,88.45,13455900,87.59
2014-04-10,89.61,90.19,88.51,88.70,12298300,87.84
2014-04-09,89.82,90.01,89.04,89.95,7224500,89.08
2014-04-08,88.87,89.73,88.70,89.54,11644400,88.67
2014-04-07,89.95,90.13,88.65,88.65,11244800,87.79
2014-04-04,91.17,91.30,90.00,90.16,13997800,89.28
2014-04-03,90.11,90.86,89.96,90.49,10792000,89.61
2014-04-02,89.40,90.07,89.33,89.91,10008600,89.04
2014-04-01,89.09,89.60,89.05,89.59,10247300,88.72
2014-03-31,89.50,89.59,88.79,89.06,8451600,88.19
2014-03-28,88.25,89.25,88.20,89.06,9955600,88.19
2014-03-27,87.28,88.23,87.07,87.96,11386300,87.11
2014-03-26,87.96,88.19,87.19,87.25,8564400,86.40
2014-03-25,87.33,87.73,87.30,87.66,7168800,86.81
2014-03-24,87.33,87.73,86.72,86.88,10044000,86.04
2014-03-21,87.12,87.71,87.04,87.06,14130200,86.21
2014-03-20,86.48,87.39,86.19,87.25,8713400,85.98
2014-03-19,87.60,87.63,86.37,86.91,9322600,85.64
2014-03-18,87.16,87.84,86.89,87.57,6995200,86.29
2014-03-17,86.72,87.11,86.50,86.84,10419200,85.58
2014-03-14,86.20,86.72,86.08,86.38,10653400,85.12
2014-03-13,87.30,87.33,85.97,86.30,11272800,85.04
2014-03-12,86.55,87.39,86.46,87.17,9368700,85.90
2014-03-11,88.27,88.33,86.87,87.16,12268000,85.89
2014-03-10,87.93,88.22,87.42,88.16,8864500,86.88
2014-03-07,88.21,88.27,87.68,88.02,9852800,86.74
2014-03-06,87.28,87.94,87.23,87.85,7788300,86.57
2014-03-05,87.77,87.85,86.99,87.22,10865400,85.95
2014-03-04,87.85,88.30,87.51,88.04,10524500,86.76
2014-03-03,87.12,88.09,86.81,87.09,12463600,85.82
2014-02-28,87.27,87.99,87.13,87.65,10474500,86.37
2014-02-27,87.15,87.35,86.58,87.21,9333400,85.94
2014-02-26,87.71,87.81,86.85,87.12,10048300,85.85
