Date,Open,High,Low,Close,Volume,Adj Close
2014-10-01,23.12,23.17,22.85,22.89,51274700,22.89
2014-09-30,23.26,23.31,23.12,23.17,33087400,23.17
2014-09-29,23.06,23.26,23.05,23.21,38330600,23.21
2014-09-26,23.14,23.35,23.10,23.29,39952900,23.29
2014-09-25,23.38,23.42,23.07,23.07,54148500,23.07
2014-09-24,23.38,23.47,23.28,23.46,35970100,23.46
2014-09-23,23.44,23.56,23.32,23.33,32435000,23.33
2014-09-22,23.60,23.66,23.46,23.49,32311200,23.49
2014-09-19,23.84,23.88,23.59,23.65,50520400,23.65
2014-09-18,23.70,23.87,23.67,23.81,51710600,23.71
2014-09-17,23.53,23.71,23.45,23.58,44589200,23.48
2014-09-16,23.32,23.53,23.31,23.48,31966200,23.38
2014-09-15,23.39,23.44,23.31,23.38,20872700,23.28
2014-09-12,23.41,23.50,23.30,23.39,34926800,23.29
2014-09-11,23.27,23.43,23.25,23.41,29772900,23.31
2014-09-10,23.24,23.38,23.24,23.35,31329900,23.25
2014-09-09,23.42,23.42,23.19,23.23,31217400,23.13
2014-09-08,23.44,23.56,23.39,23.47,21735100,23.37
2014-09-05,23.40,23.47,23.26,23.46,24374700,23.36
2014-09-04,23.43,23.58,23.35,23.43,25303700,23.33
2014-09-03,23.54,23.56,23.36,23.41,19619600,23.31
2014-09-02,23.43,23.47,23.32,23.45,29530800,23.35
2014-08-29,23.32,23.39,23.26,23.36,22748400,23.26
2014-08-28,23.21,23.28,23.16,23.25,20999200,23.15
2014-08-27,23.43,23.43,23.28,23.32,17696300,23.22
2014-08-26,23.30,23.44,23.29,23.37,13823500,23.27
2014-08-25,23.23,23.39,23.23,23.32,27533000,23.22
2014-08-22,23.20,23.26,23.09,23.12,24652600,23.02
2014-08-21,22.98,23.24,22.94,23.20,37392700,23.10
2014-08-20,22.83,23.01,22.80,22.93,26540600,22.84
2014-08-19,22.88,22.93,22.85,22.87,20205400,22.78
2014-08-18,22.69,22.85,22.68,22.83,25114400,22.74
2014-08-15,22.79,22.79,22.45,22.58,39796000,22.49
2014-08-14,22.58,22.69,22.57,22.69,21900300,22.60
2014-08-13,22.50,22.60,22.48,22.55,22635500,22.46
2014-08-12,22.33,22.51,22.33,22.45,21997600,22.36
2014-08-11,22.42,22.50,22.38,22.40,22778700,22.31
2014-08-08,22.15,22.39,22.10,22.38,51165800,22.29
2014-08-07,22.36,22.41,22.10,22.16,39808600,22.07
2014-08-06,22.10,22.38,22.10,22.26,37071900,22.17
2014-08-05,22.29,22.36,22.08,22.17,39905000,22.08
2014-08-04,22.30,22.43,22.20,22.40,26183700,22.31
2014-08-01,22.35,22.44,22.12,22.22,49566400,22.13
2014-07-31,22.72,22.78,22.40,22.41,50218400,22.32
2014-07-30,22.87,22.97,22.74,22.88,39822100,22.79
2014-07-29,22.93,22.99,22.77,22.78,28430100,22.69
2014-07-28,22.87,22.96,22.75,22.90,42169800,22.81
2014-07-25,22.93,23.00,22.87,22.89,36312200,22.80
2014-07-24,23.03,23.06,22.98,23.02,20409400,22.93
2014-07-23,22.93,23.01,22.89,22.97,14318300,22.88
2014-07-22,22.91,22.96,22.87,22.92,12997200,22.83
2014-07-21,22.79,22.88,22.75,22.85,14837800,22.76
2014-07-18,22.72,22.93,22.72,22.91,20981300,22.82
2014-07-17,22.84,22.94,22.63,22.65,34146500,22.56
2014-07-16,23.01,23.04,22.88,22.95,26670600,22.86
2014-07-15,22.95,23.04,22.87,22.99,29505600,22.90
2014-07-14,22.91,22.92,22.80,22.83,21337200,22.74
2014-07-11,22.62,22.71,22.51,22.69,21204200,22.60
2014-07-10,22.55,22.72,22.46,22.65,25844500,22.56
2014-07-09,22.77,22.82,22.72,22.80,19407600,22.71
2014-07-08,22.90,22.92,22.69,22.74,34309000,22.65
2014-07-07,23.01,23.01,22.87,22.94,24710800,22.85
2014-07-03,23.02,23.07,22.97,23.04,22116900,22.95
2014-07-02,22.87,22.95,22.85,22.86,17639700,22.77
