Date,Open,High,Low,Close,Volume,Adj Close
2014-10-01,52.98,52.98,52.03,52.15,20274000,52.15
2014-09-30,53.30,53.54,53.06,53.15,12380000,53.15
2014-09-29,52.82,53.32,52.75,53.23,7661600,53.23
2014-09-26,52.97,53.44,52.83,53.31,5839000,53.31
2014-09-25,53.47,53.51,52.81,52.82,10761400,52.82
2014-09-24,53.41,53.72,53.19,53.66,8569800,53.66
2014-09-23,53.62,53.74,53.36,53.38,8630000,53.38
2014-09-22,54.33,54.36,53.76,53.82,10709000,53.82
2014-09-19,54.80,54.83,54.35,54.43,9271200,54.43
2014-09-18,54.61,54.82,54.58,54.74,8057200,54.48
2014-09-17,54.36,54.75,54.23,54.48,9715900,54.22
2014-09-16,53.91,54.34,53.71,54.27,7319400,54.02
2014-09-15,53.92,54.05,53.71,53.97,7027300,53.72
2014-09-12,54.06,54.15,53.84,53.99,9045800,53.74
2014-09-11,53.91,54.23,53.91,54.17,5783900,53.92
2014-09-10,54.08,54.22,53.86,54.15,5445100,53.90
2014-09-09,54.35,54.37,54.02,54.11,5796600,53.86
2014-09-08,54.24,54.47,54.23,54.28,5321100,54.03
2014-09-05,54.10,54.34,53.87,54.33,9279800,54.07
2014-09-04,54.23,54.55,54.05,54.15,6924900,53.90
2014-09-03,54.32,54.39,54.03,54.13,5289400,53.88
2014-09-02,54.14,54.36,53.96,54.20,7153200,53.95
2014-08-29,54.10,54.16,53.81,54.02,5453300,53.77
2014-08-28,54.05,54.08,53.80,54.07,4227200,53.82
2014-08-27,54.30,54.32,54.04,54.15,3757600,53.90
2014-08-26,54.44,54.46,54.16,54.18,2874100,53.93
2014-08-25,54.40,54.48,54.27,54.36,3997800,54.10
2014-08-22,54.28,54.38,54.02,54.15,5621900,53.90
2014-08-21,54.45,54.50,54.19,54.34,9971800,54.08
2014-08-20,53.87,54.48,53.81,54.39,26415100,54.13
2014-08-19,53.80,53.90,53.73,53.82,6246500,53.57
2014-08-18,53.24,53.69,53.22,53.69,7944300,53.44
2014-08-15,53.22,53.28,52.51,52.89,11193000,52.64
2014-08-14,52.78,53.02,52.77,53.00,7470600,52.75
2014-08-13,52.46,52.80,52.46,52.77,7600500,52.52
2014-08-12,52.33,52.59,52.17,52.26,11550900,52.01
2014-08-11,52.40,52.68,52.20,52.38,7057100,52.13
2014-08-08,51.57,52.21,51.39,52.17,11882700,51.93
2014-08-07,51.67,51.86,51.34,51.44,14560100,51.20
2014-08-06,51.44,51.62,51.20,51.39,31000700,51.15
2014-08-05,51.69,52.20,51.50,51.65,13501500,51.41
2014-08-04,51.89,52.03,51.51,51.96,9212400,51.72
2014-08-01,51.70,52.09,51.41,51.78,15724600,51.54
2014-07-31,52.49,52.87,51.80,51.83,17185600,51.59
2014-07-30,53.00,53.12,52.57,52.90,14834700,52.65
2014-07-29,53.49,53.57,52.85,52.85,13456500,52.60
2014-07-28,53.78,53.80,53.24,53.52,13004100,53.27
2014-07-25,53.80,54.02,53.71,53.79,7514800,53.54
2014-07-24,54.24,54.25,53.86,53.93,10014600,53.68
2014-07-23,54.42,54.52,54.18,54.19,7924400,53.94
2014-07-22,54.46,54.54,54.32,54.41,5319300,54.15
2014-07-21,54.17,54.28,53.84,54.21,9365700,53.96
2014-07-18,53.98,54.29,53.92,54.24,6424400,53.99
2014-07-17,54.44,54.50,53.77,53.79,14896000,53.54
2014-07-16,54.57,54.72,54.41,54.64,5963700,54.38
2014-07-15,54.46,54.66,54.19,54.41,6921300,54.15
2014-07-14,54.38,54.56,54.27,54.38,9399900,54.12
2014-07-11,53.83,54.09,53.64,54.07,10186800,53.82
2014-07-10,53.47,53.98,53.41,53.76,10553800,53.51
2014-07-09,54.23,54.26,53.93,54.08,8600600,53.83
2014-07-08,54.28,54.29,53.84,53.99,8154200,53.74
2014-07-07,54.74,54.74,54.29,54.36,9334300,54.10
2014-07-03,54.53,54.81,54.52,54.75,8550300,54.49
2014-07-02,54.24,54.46,54.20,54.30,10068000,54.05
2014-07-01,54.12,54.59,54.12,54.39,8026200,54.13
2014-06-30,54.27,54.30,54.01,54.06,7976700,53.81
2014-06-27,53.98,54.48,53.78,54.29,8214600,54.04
2014-06-26,54.26,54.31,53.79,54.16,6845400,53.91
2014-06-25,53.99,54.31,53.97,54.20,6506400,53.95
2014-06-24,54.61,54.82,54.09,54.15,7429900,53.90
2014-06-23,55.16,55.16,54.60,54.70,5192400,54.44
2014-06-20,54.90,55.05,54.84,55.02,4304700,54.76
2014-06-19,54.95,55.06,54.75,55.04,7149000,54.53
2014-06-18,54.77,54.96,54.37,54.90,12209900,54.39
2014-06-17,54.41,54.69,54.25,54.59,9600600,54.09
2014-06-16,54.49,54.57,54.25,54.44,6861400,53.94
2014-06-13,54.35,54.64,54.27,54.50,6885600,54.00
2014-06-12,54.98,54.98,54.21,54.31,10181700,53.81
2014-06-11,55.28,55.28,54.95,55.05,5541500,54.54
2014-06-10,55.46,55.57,55.23,55.46,3846600,54.95
2014-06-09,55.29,55.82,55.22,55.59,11160300,55.08
2014-06-06,54.85,55.31,54.83,55.31,8384300,54.80
2014-06-05,54.32,54.84,54.24,54.76,5805600,54.26
2014-06-04,54.10,54.26,54.06,54.21,3792100,53.71
2014-06-03,54.14,54.32,54.01,54.22,4007000,53.72
2014-06-02,54.08,54.36,53.87,54.28,7070700,53.78
2014-05-30,54.05,54.12,53.88,54.05,6156200,53.55
2014-05-29,54.00,54.09,53.76,54.09,4218400,53.59
2014-05-28,53.94,54.09,53.85,53.87,10303800,53.37
2014-05-27,53.71,53.91,53.68,53.83,6702700,53.33
2014-05-23,53.29,53.58,53.21,53.55,3732400,53.06
2014-05-22,53.21,53.37,52.99,53.21,4482100,52.72
2014-05-21,52.74,53.13,52.74,53.11,7658900,52.62
2014-05-20,53.30,53.30,52.41,52.59,9782300,52.11
2014-05-19,52.97,53.34,52.85,53.30,4645800,52.81
2014-05-16,53.01,53.09,52.78,53.09,7490300,52.60
2014-05-15,53.26,53.36,52.67,53.02,13016200,52.53
2014-05-14,53.92,53.94,53.39,53.49,6946900,53.00
2014-05-13,53.88,54.07,53.80,53.89,8650500,53.39
2014-05-12,53.19,53.82,53.17,53.80,11275000,53.30
2014-05-09,52.88,53.04,52.65,53.01,5133400,52.52
2014-05-08,52.91,53.31,52.81,52.97,8034200,52.48
2014-05-07,52.60,53.00,52.38,52.98,7959000,52.49
2014-05-06,52.85,52.86,52.48,52.53,6032300,52.05
2014-05-05,52.67,53.00,52.40,52.93,5358600,52.44
2014-05-02,52.90,53.17,52.81,52.82,8701100,52.33
2014-05-01,52.98,53.16,52.71,52.90,10600400,52.41
2014-04-30,52.69,53.10,52.58,53.03,13299600,52.54
2014-04-29,52.70,52.74,52.31,52.68,9382800,52.19
2014-04-28,52.72,52.89,52.01,52.54,12105400,52.06
