Date,Open,High,Low,Close,Volume,Adj Close
2014-10-01,45.07,45.07,44.75,44.83,18044800,44.83
2014-09-30,45.11,45.22,44.95,45.11,7122400,45.11
2014-09-29,44.83,45.15,44.80,45.09,11255800,45.09
2014-09-26,45.03,45.19,44.77,45.10,3935200,45.10
2014-09-25,45.39,45.40,44.93,44.93,11438400,44.93
2014-09-24,44.94,45.55,44.94,45.53,14707300,45.53
2014-09-23,45.20,45.28,44.95,44.95,6715600,44.95
2014-09-22,45.40,45.47,45.28,45.35,6516500,45.35
2014-09-19,45.50,45.59,45.37,45.43,5411900,45.43
2014-09-18,45.58,45.65,45.49,45.60,6364600,45.31
2014-09-17,45.56,45.70,45.42,45.51,10476000,45.22
2014-09-16,45.20,45.73,45.16,45.61,8388400,45.32
2014-09-15,45.19,45.31,45.14,45.27,6105500,44.99
2014-09-12,45.31,45.34,44.96,45.05,5778400,44.77
2014-09-11,45.25,45.40,45.21,45.37,3924700,45.09
2014-09-10,45.18,45.40,45.11,45.35,4186400,45.07
2014-09-09,45.27,45.27,45.07,45.13,3452700,44.85
2014-09-08,45.43,45.52,45.22,45.24,4229500,44.96
2014-09-05,45.33,45.58,45.18,45.58,5067000,45.29
2014-09-04,45.25,45.44,45.19,45.32,4379600,45.04
2014-09-03,45.26,45.28,45.13,45.18,2391400,44.90
2014-09-02,45.18,45.35,45.01,45.15,11691900,44.87
2014-08-29,45.14,45.17,44.99,45.13,3076400,44.85
2014-08-28,44.96,45.11,44.92,45.10,2797700,44.82
2014-08-27,45.10,45.10,44.99,45.08,2054500,44.80
2014-08-26,45.12,45.19,45.03,45.06,1792300,44.78
2014-08-25,45.05,45.15,45.01,45.09,1985200,44.81
2014-08-22,45.00,45.07,44.84,44.84,5176500,44.56
2014-08-21,44.89,45.15,44.89,44.95,1724000,44.67
2014-08-20,44.79,44.92,44.74,44.87,5580000,44.59
2014-08-19,44.86,44.95,44.67,44.90,2627900,44.62
2014-08-18,44.63,44.82,44.58,44.78,4427600,44.50
2014-08-15,44.69,44.80,44.28,44.52,4542700,44.24
2014-08-14,44.43,44.47,44.23,44.46,2196100,44.18
2014-08-13,44.25,44.36,44.11,44.28,2704300,44.00
2014-08-12,44.16,44.23,44.04,44.15,3954200,43.87
2014-08-11,44.03,44.39,43.99,44.18,23734600,43.90
2014-08-08,43.47,43.91,43.43,43.87,5259400,43.59
2014-08-07,43.90,43.90,43.33,43.43,5532600,43.16
2014-08-06,42.99,43.82,42.97,43.79,27891900,43.52
2014-08-05,43.48,43.70,43.24,43.42,4571700,43.15
2014-08-04,43.53,43.69,43.35,43.61,5024400,43.34
2014-08-01,43.08,43.66,43.08,43.47,11890000,43.20
2014-07-31,43.52,43.64,43.11,43.14,10784500,42.87
2014-07-30,44.43,44.49,43.89,43.89,22406900,43.61
2014-07-29,44.61,44.73,44.35,44.36,6319100,44.08
