Date,Open,High,Low,Close,Volume,Adj Close
2014-10-01,42.27,42.73,42.12,42.33,17635700,42.33
2014-09-30,42.08,42.54,41.95,42.09,11610400,42.09
2014-09-29,41.67,42.06,41.54,42.03,5575000,42.03
2014-09-26,41.66,41.93,41.40,41.76,6809700,41.76
2014-09-25,41.97,42.10,41.69,41.70,9645200,41.70
2014-09-24,42.11,42.17,41.81,41.95,8346800,41.95
2014-09-23,42.22,42.27,41.98,42.10,9807900,42.10
2014-09-22,42.43,42.48,42.13,42.22,12310700,42.22
2014-09-19,42.34,42.58,42.22,42.54,9657400,42.54
2014-09-18,42.89,43.00,42.39,42.54,12497600,42.16
2014-09-17,43.02,43.15,42.63,42.85,15543400,42.47
2014-09-16,42.40,43.04,42.35,42.93,12227800,42.55
2014-09-15,42.44,42.63,42.26,42.39,10828200,42.01
2014-09-12,42.79,42.85,42.16,42.26,17442500,41.88
2014-09-11,42.71,43.10,42.60,43.03,9360500,42.65
2014-09-10,42.77,42.91,42.53,42.67,10540400,42.29
2014-09-09,43.24,43.25,42.79,42.86,13414500,42.48
2014-09-08,43.66,43.66,43.16,43.36,6788400,42.97
2014-09-05,43.23,43.64,43.11,43.62,9054200,43.23
2014-09-04,42.96,43.20,42.85,43.08,9236700,42.70
2014-09-03,42.90,43.26,42.90,43.10,8467000,42.71
2014-09-02,43.22,43.35,42.63,42.89,12781700,42.51
2014-08-29,42.97,43.30,42.93,43.28,5856500,42.89
2014-08-28,42.63,43.00,42.51,43.00,10312200,42.62
2014-08-27,42.38,42.70,42.27,42.69,5242200,42.31
2014-08-26,42.76,42.88,42.23,42.23,6534400,41.85
2014-08-25,42.54,42.85,42.51,42.74,6878600,42.36
2014-08-22,42.75,42.75,42.21,42.45,6889900,42.07
2014-08-21,42.48,42.82,42.45,42.58,8549100,42.20
2014-08-20,42.37,42.52,42.22,42.48,5587000,42.10
2014-08-19,41.91,42.40,41.89,42.39,7718700,42.01
2014-08-18,42.01,42.19,41.79,41.86,8190800,41.49
2014-08-15,41.84,42.22,41.74,41.97,9713900,41.60
2014-08-14,41.39,41.84,41.39,41.81,6018700,41.44
2014-08-13,41.31,41.54,41.18,41.45,6793300,41.08
2014-08-12,41.28,41.46,41.18,41.26,6880100,40.89
2014-08-11,41.51,41.62,41.23,41.29,8570600,40.92
2014-08-08,40.79,41.46,40.78,41.44,20010100,41.07
2014-08-07,40.35,40.79,40.35,40.63,12588200,40.27
2014-08-06,40.53,40.57,40.07,40.17,49891200,39.81
2014-08-05,41.20,41.22,40.51,40.69,14765900,40.33
2014-08-04,41.40,41.46,40.49,41.19,30182500,40.82
2014-08-01,41.12,41.73,41.02,41.41,15537700,41.04
2014-07-31,41.65,41.92,41.22,41.25,15052200,40.88
2014-07-30,42.51,42.73,41.72,41.91,14749100,41.54
2014-07-29,43.13,43.31,42.57,42.63,8185600,42.25
2014-07-28,42.34,43.12,42.27,43.03,8606600,42.65
2014-07-25,42.78,42.88,42.38,42.44,5947400,42.06
2014-07-24,42.57,42.85,42.50,42.78,6040300,42.40
2014-07-23,42.61,42.73,42.54,42.65,7497100,42.27
2014-07-22,42.78,42.87,42.61,42.61,4683700,42.23
2014-07-21,42.69,42.83,42.46,42.70,5578500,42.32
2014-07-18,42.36,42.77,42.19,42.74,5215900,42.36
2014-07-17,42.87,42.87,42.29,42.31,8061400,41.93
2014-07-16,42.70,42.75,42.35,42.70,7493700,42.32
2014-07-15,42.33,42.67,42.33,42.56,8945400,42.18
2014-07-14,42.96,43.06,42.32,42.34,8306800,41.96
2014-07-11,43.13,43.22,42.77,42.83,9133000,42.45
2014-07-10,42.79,43.20,42.75,43.16,10440600,42.77
2014-07-09,42.99,43.08,42.67,42.87,10440500,42.49
2014-07-08,42.74,43.05,42.70,42.99,13318200,42.61
2014-07-07,42.48,42.88,42.47,42.70,12250400,42.32
2014-07-03,42.60,42.88,42.31,42.50,12201300,42.12
2014-07-02,43.70,43.72,42.82,42.97,17368800,42.59
2014-07-01,44.21,44.28,43.81,43.82,9817500,43.43
2014-06-30,43.95,44.36,43.81,44.26,12659600,43.86
2014-06-27,43.70,44.02,43.56,43.91,7691100,43.52
2014-06-26,43.61,43.78,43.47,43.74,12947100,43.35
2014-06-25,43.36,43.67,43.33,43.61,12141100,43.22
2014-06-24,43.36,43.59,43.31,43.45,9196100,43.06
2014-06-23,43.59,43.63,43.12,43.32,9380200,42.93
2014-06-20,43.79,43.85,43.43,43.47,9600800,43.08
2014-06-19,43.76,44.17,43.73,44.11,22215600,43.35
2014-06-18,42.76,43.75,42.74,43.75,35859400,42.99
2014-06-17,42.75,42.86,42.53,42.78,11426300,42.04
2014-06-16,42.59,43.19,42.51,42.84,19735700,42.10
2014-06-13,42.24,42.62,42.05,42.55,8416500,41.81
2014-06-12,42.05,42.41,41.63,42.28,16646900,41.55
2014-06-11,42.64,42.64,42.13,42.15,10300800,41.42
2014-06-10,42.69,42.92,42.60,42.69,8922200,41.95
2014-06-09,43.00,43.15,42.72,42.79,8497600,42.05
2014-06-06,43.27,43.47,43.05,43.08,8087100,42.33
2014-06-05,42.83,43.30,42.80,43.23,8414500,42.48
2014-06-04,42.82,42.90,42.63,42.87,7030700,42.13
2014-06-03,42.65,42.97,42.61,42.89,8003600,42.15
2014-06-02,42.62,42.83,42.54,42.73,7245100,41.99
2014-05-30,42.33,42.76,42.33,42.74,8278600,42.00
2014-05-29,42.33,42.47,42.15,42.46,9816300,41.72
2014-05-28,42.09,42.38,42.04,42.34,12528000,41.61
2014-05-27,42.14,42.35,42.03,42.09,9453600,41.36
2014-05-23,41.76,41.99,41.75,41.76,8909200,41.04
2014-05-22,41.54,41.98,41.52,41.86,5210000,41.13
2014-05-21,41.61,41.63,41.38,41.52,6903900,40.80
2014-05-20,41.49,41.75,41.23,41.49,10785900,40.77
2014-05-19,42.03,42.10,41.46,41.49,13459000,40.77
2014-05-16,42.05,42.18,41.86,42.14,10091000,41.41
2014-05-15,42.19,42.40,41.97,42.01,11562500,41.28
2014-05-14,42.05,42.45,41.92,42.18,20112000,41.45
2014-05-13,41.96,42.17,41.79,41.97,8628300,41.24
2014-05-12,42.35,42.40,41.82,41.87,13615700,41.14
2014-05-09,42.84,42.98,42.24,42.26,12174100,41.53
2014-05-08,43.35,43.38,42.80,42.89,15161100,42.15
2014-05-07,42.76,43.39,42.72,43.36,13659900,42.61
2014-05-06,42.80,42.95,42.64,42.67,10544700,41.93
2014-05-05,42.46,42.91,42.44,42.88,14914200,42.14
2014-05-02,43.09,43.16,42.31,42.50,27932100,41.76
2014-05-01,43.21,43.52,42.92,43.39,18903900,42.64
2014-04-30,43.11,43.50,43.11,43.21,21828200,42.46
