Date,Open,High,Low,Close,Volume,Adj Close
2014-10-01,64.10,64.10,63.03,63.24,11141700,63.24
2014-09-30,64.39,64.51,63.86,63.91,7580800,63.91
2014-09-29,63.86,64.48,63.81,64.26,10284100,64.26
2014-09-26,64.50,64.50,63.85,64.40,6513000,64.40
2014-09-25,65.19,65.21,64.20,64.20,11661500,64.20
2014-09-24,64.31,65.27,64.29,65.27,8120900,65.27
2014-09-23,63.93,64.43,63.83,64.15,7833900,64.15
2014-09-22,64.74,64.80,64.28,64.53,4005700,64.53
2014-09-19,65.16,65.31,64.79,64.88,6833500,64.88
2014-09-18,64.77,65.07,64.65,65.04,5460700,64.81
2014-09-17,64.47,64.81,64.09,64.56,6704300,64.33
2014-09-16,63.55,64.56,63.47,64.51,6907900,64.28
2014-09-15,63.81,63.88,63.42,63.64,6082500,63.41
2014-09-12,64.25,64.28,63.63,63.81,7340200,63.58
2014-09-11,64.21,64.37,63.96,64.28,6360300,64.05
2014-09-10,64.10,64.54,63.97,64.46,7039600,64.23
2014-09-09,64.27,64.29,63.85,64.01,6667300,63.78
2014-09-08,64.05,64.30,63.93,64.18,7204800,63.95
2014-09-05,63.82,64.18,63.15,64.17,6349400,63.94
2014-09-04,64.26,64.42,63.67,63.80,6231400,63.57
2014-09-03,64.23,64.41,63.97,64.12,5421900,63.89
2014-09-02,63.99,64.05,63.66,63.83,5076800,63.60
2014-08-29,63.73,63.92,63.57,63.86,4139100,63.63
2014-08-28,63.47,63.77,63.40,63.63,3466000,63.40
2014-08-27,63.85,63.88,63.56,63.65,4151700,63.42
2014-08-26,63.56,63.74,63.43,63.70,3601300,63.47
2014-08-25,63.37,63.60,63.21,63.47,4863000,63.24
2014-08-22,63.03,63.17,62.84,62.99,3248900,62.77
2014-08-21,62.93,63.12,62.87,62.93,3125900,62.71
2014-08-20,62.73,62.95,62.56,62.84,4513800,62.62
2014-08-19,62.53,62.89,62.31,62.85,3874500,62.63
2014-08-18,62.27,62.53,62.19,62.44,7448800,62.22
2014-08-15,62.20,62.27,61.39,61.96,7777600,61.74
2014-08-14,61.29,61.90,61.10,61.90,4797400,61.68
2014-08-13,60.69,61.24,60.67,61.18,4751900,60.96
2014-08-12,60.44,60.60,60.28,60.45,2878500,60.24
2014-08-11,60.77,60.95,60.47,60.50,4700600,60.29
2014-08-08,59.90,60.57,59.70,60.53,5472600,60.32
2014-08-07,60.73,60.80,59.71,59.82,10947000,59.61
2014-08-06,60.37,60.85,60.15,60.60,9568000,60.38
2014-08-05,60.96,61.16,60.43,60.63,10309500,60.41
2014-08-04,61.09,61.34,60.67,61.22,9208900,61.00
2014-08-01,60.77,61.27,60.50,60.96,16923800,60.74
2014-07-31,61.63,61.76,60.91,60.91,8415200,60.69
2014-07-30,62.25,62.48,61.87,62.19,7752700,61.97
2014-07-29,62.08,62.17,61.82,61.94,5321800,61.72
2014-07-28,61.85,62.05,61.56,61.89,7004900,61.67
2014-07-25,61.93,61.95,61.52,61.83,4129300,61.61
2014-07-24,62.33,62.40,62.00,62.06,6107400,61.84
2014-07-23,62.15,62.28,61.90,62.19,7264400,61.97
2014-07-22,61.47,61.86,61.44,61.69,5640400,61.47
2014-07-21,61.23,61.26,60.95,61.16,3731900,60.94
2014-07-18,60.64,61.52,60.50,61.41,8938700,61.19
2014-07-17,60.85,61.36,60.35,60.42,7321900,60.21
2014-07-16,61.49,61.53,60.82,61.09,5279000,60.87
2014-07-15,61.86,61.90,61.15,61.29,5498900,61.07
2014-07-14,61.98,61.98,61.67,61.82,4078700,61.60
2014-07-11,61.58,61.68,61.24,61.62,3779600,61.40
2014-07-10,61.04,61.62,60.81,61.49,4726600,61.27
2014-07-09,61.44,61.59,61.11,61.53,5879900,61.31
2014-07-08,61.75,61.78,61.06,61.27,7145400,61.05
2014-07-07,62.07,62.33,61.80,61.85,3900300,61.63
2014-07-03,62.20,62.34,61.93,62.32,2468600,62.10
2014-07-02,61.58,62.07,61.49,62.07,4036600,61.85
2014-07-01,61.07,61.72,61.00,61.60,8145300,61.38
2014-06-30,61.11,61.25,60.76,60.83,6540600,60.61
2014-06-27,61.05,61.22,60.86,61.07,4840900,60.85
2014-06-26,61.30,61.34,60.72,61.23,11236400,61.01
2014-06-25,60.46,61.19,60.42,61.15,20099100,60.93
2014-06-24,60.65,60.97,60.42,60.49,4868300,60.28
