Date,Open,High,Low,Close,Volume,Adj Close
2014-10-01,66.54,66.66,65.70,65.80,6538300,65.80
2014-09-30,67.23,67.23,66.59,66.69,4428300,66.69
2014-09-29,66.84,67.35,66.77,67.06,6840600,67.06
2014-09-26,67.03,67.56,66.94,67.41,2593400,67.41
2014-09-25,67.54,67.61,66.68,66.72,4639600,66.72
2014-09-24,67.07,67.74,66.84,67.71,6343100,67.71
2014-09-23,67.30,67.54,66.95,66.95,5486700,66.95
2014-09-22,68.27,68.38,67.36,67.53,5424500,67.53
2014-09-19,68.74,68.89,68.33,68.49,5923600,68.49
2014-09-18,68.60,68.77,68.46,68.69,2812600,68.46
2014-09-17,68.45,68.72,68.12,68.39,6401400,68.16
2014-09-16,67.89,68.60,67.78,68.42,2846800,68.19
2014-09-15,68.33,68.42,67.92,68.07,2911100,67.84
2014-09-12,68.48,68.59,68.10,68.35,2913400,68.12
2014-09-11,68.22,68.61,68.22,68.55,2438600,68.32
2014-09-10,68.44,68.55,68.07,68.52,2869100,68.29
2014-09-09,68.88,68.95,68.23,68.28,2558400,68.05
2014-09-08,69.09,69.17,68.68,68.97,2500800,68.74
2014-09-05,68.87,69.29,68.65,69.26,2668600,69.03
2014-09-04,68.87,69.33,68.87,69.03,3733400,68.80
2014-09-03,69.24,69.25,68.71,68.77,2606600,68.54
2014-09-02,68.85,69.17,68.63,68.95,9520200,68.72
2014-08-29,68.91,69.00,68.58,68.82,2309200,68.59
2014-08-28,68.63,68.91,68.47,68.83,2313100,68.60
2014-08-27,68.87,69.03,68.79,68.92,1798500,68.69
2014-08-26,68.89,69.03,68.75,68.85,2020800,68.62
2014-08-25,68.97,68.99,68.73,68.84,3967600,68.61
2014-08-22,68.57,68.74,68.36,68.64,3290700,68.41
2014-08-21,68.66,68.68,68.46,68.51,1999300,68.28
2014-08-20,68.06,68.68,68.05,68.57,5004000,68.34
2014-08-19,68.11,68.35,68.00,68.25,3746900,68.02
2014-08-18,67.58,67.85,67.50,67.74,4746900,67.51
2014-08-15,67.47,67.54,66.65,67.12,6432600,66.90
2014-08-14,66.85,67.25,66.73,67.25,5599600,67.03
2014-08-13,66.69,66.90,66.53,66.73,3394600,66.51
2014-08-12,66.57,66.85,66.32,66.49,3127100,66.27
2014-08-11,66.63,66.85,66.52,66.66,5032500,66.44
2014-08-08,65.35,66.41,65.35,66.36,5570900,66.14
2014-08-07,66.11,66.23,65.16,65.35,6364500,65.13
2014-08-06,65.37,66.11,65.33,65.69,10961700,65.47
2014-08-05,66.00,66.32,65.60,65.83,9897100,65.61
2014-08-04,65.82,66.50,65.77,66.29,16942600,66.07
2014-08-01,65.70,66.11,65.35,65.65,6088800,65.43
2014-07-31,66.65,66.76,65.84,65.89,6449600,65.67
2014-07-30,67.01,67.19,66.72,67.13,23867500,66.91
2014-07-29,67.06,67.41,66.75,66.76,3584700,66.54
2014-07-28,66.83,67.02,66.52,66.95,2803800,66.73
2014-07-25,67.07,67.20,66.71,66.82,3852700,66.60
2014-07-24,67.54,67.78,67.49,67.57,3976800,67.34
2014-07-23,67.48,67.49,67.21,67.42,5389300,67.20
2014-07-22,67.34,67.61,67.26,67.47,4410100,67.25
2014-07-21,67.28,67.41,66.99,67.19,3706900,66.97
2014-07-18,67.10,67.52,67.01,67.50,3454900,67.27
2014-07-17,67.36,67.66,66.77,66.88,5637400,66.66
2014-07-16,67.87,68.03,67.43,67.52,23470600,67.29
2014-07-15,67.40,67.63,67.03,67.35,4157000,67.13
2014-07-14,67.74,67.79,67.50,67.58,3422800,67.35
2014-07-11,67.28,67.43,67.14,67.39,7041100,67.17
2014-07-10,66.82,67.46,66.81,67.17,4842300,66.95
2014-07-09,67.18,67.86,67.10,67.80,18565100,67.57
2014-07-08,67.54,67.56,66.84,66.99,5100300,66.77
2014-07-07,67.85,67.97,67.58,67.65,3090400,67.42
2014-07-03,67.75,68.13,67.69,68.07,1747400,67.84
2014-07-02,67.50,67.68,67.45,67.55,1748900,67.32
2014-07-01,66.91,67.60,66.83,67.45,3830600,67.23
2014-06-30,66.72,66.89,66.61,66.74,2527500,66.52
2014-06-27,66.49,66.84,66.45,66.77,5204900,66.55
2014-06-26,66.56,66.61,66.07,66.61,3079500,66.39
2014-06-25,65.83,66.64,65.83,66.56,3945700,66.34
2014-06-24,66.00,66.57,65.91,66.00,3908700,65.78
2014-06-23,66.00,66.21,65.88,66.16,4289200,65.94
2014-06-20,66.51,66.59,66.00,66.08,5011100,65.86
2014-06-19,66.73,66.91,66.36,66.54,2980200,66.11
2014-06-18,66.14,66.75,66.04,66.70,5840300,66.27
2014-06-17,65.97,66.27,65.79,66.20,4017700,65.77
2014-06-16,65.56,66.01,65.56,65.94,3553000,65.51
2014-06-13,65.78,65.95,65.40,65.79,4962800,65.36
2014-06-12,66.61,66.61,65.61,65.76,4549600,65.33
2014-06-11,66.62,66.76,66.37,66.61,3027900,66.18
2014-06-10,66.79,66.93,66.71,66.81,5461600,66.38
2014-06-09,66.97,67.26,66.85,66.94,2568700,66.50
2014-06-06,66.65,66.93,66.60,66.92,3203900,66.48
2014-06-05,66.20,66.62,65.89,66.53,2703400,66.10
2014-06-04,65.58,66.17,65.49,66.10,2161100,65.67
2014-06-03,65.66,65.90,65.62,65.78,2243300,65.35
2014-06-02,65.80,65.95,65.51,65.90,3048700,65.47
2014-05-30,65.52,65.70,65.40,65.68,3052000,65.25
2014-05-29,65.55,65.63,65.30,65.62,2948000,65.19
2014-05-28,65.45,65.52,65.03,65.35,10106200,64.92
2014-05-27,65.33,65.50,65.25,65.42,3402600,64.99
2014-05-23,64.64,65.11,64.53,65.08,1985100,64.66
2014-05-22,64.22,64.68,64.11,64.57,5257500,64.15
2014-05-21,63.64,64.28,63.64,64.23,3889000,63.81
2014-05-20,63.70,63.96,63.27,63.46,4849000,63.05
2014-05-19,63.57,64.08,63.39,64.04,2738600,63.62
2014-05-16,63.28,63.79,63.06,63.75,3011400,63.34
2014-05-15,63.50,63.62,62.63,63.28,5706200,62.87
2014-05-14,64.34,64.43,63.62,63.74,4285500,63.33
2014-05-13,64.74,64.93,64.33,64.46,4959900,64.04
2014-05-12,64.10,64.67,64.03,64.64,5711600,64.22
2014-05-09,63.46,63.88,63.12,63.84,5060800,63.42
2014-05-08,63.19,64.10,63.14,63.49,5760400,63.08
2014-05-07,63.67,63.70,62.83,63.31,4394900,62.90
2014-05-06,64.10,64.23,63.39,63.39,4197700,62.98
2014-05-05,63.94,64.36,63.69,64.31,3347900,63.89
2014-05-02,64.17,64.63,64.09,64.25,4111500,63.83
2014-05-01,63.92,64.38,63.88,64.09,4175300,63.67
2014-04-30,63.36,63.93,63.28,63.84,7794600,63.42
2014-04-29,63.48,63.65,63.02,63.57,4410200,63.16
2014-04-28,63.71,63.85,62.49,63.28,9346700,62.87
2014-04-25,64.11,64.11,63.35,63.44,4735500,63.03
2014-04-24,64.45,64.77,64.00,64.54,3683700,64.12
2014-04-23,64.42,64.67,64.12,64.19,2827000,63.77
2014-04-22,64.11,64.75,64.11,64.49,4675800,64.07
2014-04-21,63.75,64.00,63.57,63.94,10586600,63.52
2014-04-17,63.50,63.98,63.50,63.77,4953500,63.35
2014-04-16,63.61,63.70,63.08,63.69,4754300,63.28
2014-04-15,62.94,63.15,61.84,62.81,9688900,62.40
2014-04-14,62.72,63.01,62.22,62.73,4701100,62.32
2014-04-11,62.54,63.09,62.12,62.24,8446200,61.83
2014-04-10,64.63,64.72,63.06,63.11,10075500,62.70
2014-04-09,64.17,64.74,63.93,64.72,3841400,64.30
2014-04-08,63.34,64.09,63.21,64.03,4750500,63.61
2014-04-07,64.40,64.48,63.00,63.39,7588700,62.98
2014-04-04,66.15,66.15,64.53,64.65,7400100,64.23
2014-04-03,66.23,66.25,65.42,65.74,5369700,65.31
2014-04-02,65.67,66.17,65.65,66.06,5043400,65.63
2014-04-01,64.91,65.67,64.77,65.62,5074800,65.19
2014-03-31,64.66,64.92,64.63,64.72,5679000,64.30
2014-03-28,64.01,64.66,63.95,64.28,5683700,63.86
2014-03-27,64.00,64.17,63.53,63.80,6348800,63.38
2014-03-26,64.92,64.98,64.09,64.11,6956700,63.69
2014-03-25,65.18,65.42,64.30,64.63,5861200,64.21
2014-03-24,65.75,65.93,64.71,65.02,12355500,64.60
2014-03-21,66.52,66.54,65.62,65.68,6231100,65.25
2014-03-20,66.09,66.44,65.77,66.31,3761800,65.67
2014-03-19,66.61,66.65,65.76,66.14,6058100,65.50
2014-03-18,66.44,66.70,66.31,66.58,3222900,65.94
2014-03-17,66.14,66.48,66.12,66.29,3231500,65.65
2014-03-14,65.84,66.23,65.68,65.85,4786100,65.22
2014-03-13,67.08,67.08,65.61,65.91,11268300,65.28
2014-03-12,66.46,66.78,66.15,66.72,4786500,66.08
2014-03-11,67.47,67.47,66.63,66.82,4390200,66.18
2014-03-10,67.36,67.37,66.86,67.21,3274600,66.56
2014-03-07,67.85,67.85,67.24,67.39,4339900,66.74
2014-03-06,67.43,67.63,67.23,67.49,5255300,66.84
