Date,Open,High,Low,Close,Volume,Adj Close
2014-10-01,94.11,94.54,92.72,92.86,14016800,92.86
2014-09-30,94.11,94.81,93.62,94.05,15576500,94.05
2014-09-29,94.71,94.78,93.80,94.43,14015000,94.43
2014-09-26,94.33,95.76,93.80,95.43,11246700,95.43
2014-09-25,95.66,95.89,94.20,94.25,12834300,94.25
2014-09-24,95.87,96.25,94.84,95.82,12177900,95.82
2014-09-23,96.28,97.16,96.03,96.03,10300700,96.03
2014-09-22,96.90,97.00,96.27,96.54,8816900,96.54
2014-09-19,97.08,97.56,96.87,97.12,18178100,97.12
2014-09-18,97.15,97.32,96.48,96.61,8636600,96.61
2014-09-17,97.91,97.93,96.80,97.08,8774200,97.08
2014-09-16,96.23,98.05,96.02,97.43,11574100,97.43
2014-09-15,95.73,96.40,95.40,96.29,10689400,96.29
2014-09-12,96.53,96.59,95.63,95.78,10257500,95.78
2014-09-11,96.32,97.12,95.82,97.03,10181100,97.03
2014-09-10,97.36,97.53,95.83,96.81,12103500,96.81
2014-09-09,97.69,98.03,96.96,97.39,9756400,97.39
2014-09-08,98.92,98.92,97.45,97.77,10080100,97.77
2014-09-05,98.74,99.30,98.11,99.26,9476900,99.26
2014-09-04,99.00,99.45,97.97,98.36,9662900,98.36
2014-09-03,98.86,99.59,98.86,99.11,8475100,99.11
2014-09-02,99.43,99.59,97.81,98.49,8957100,98.49
2014-08-29,99.38,99.67,98.72,99.46,8873700,99.46
2014-08-28,99.04,99.74,99.01,99.57,6072700,99.57
2014-08-27,99.78,99.96,99.09,99.53,5848700,99.53
2014-08-26,99.12,100.31,99.02,99.64,8536500,99.64
2014-08-25,98.81,98.90,98.50,98.75,7569800,98.75
2014-08-22,98.89,98.98,98.08,98.50,8095000,98.50
2014-08-21,99.80,100.07,99.26,99.28,6826200,99.28
2014-08-20,99.55,99.90,99.04,99.70,6751800,99.70
2014-08-19,99.50,99.95,99.43,99.49,8888100,99.49
2014-08-18,99.28,99.53,99.10,99.52,7135400,99.52
2014-08-15,99.24,99.43,98.14,99.03,9226900,99.03
2014-08-14,99.10,99.28,98.60,99.09,6547300,99.09
2014-08-13,98.82,99.31,98.48,99.09,7649600,99.09
2014-08-12,98.21,98.69,97.82,98.49,9583700,98.49
2014-08-11,99.28,99.42,98.54,98.73,8589600,98.73
2014-08-08,98.81,99.79,98.32,99.74,11199300,99.74
2014-08-07,99.77,99.84,97.63,98.27,10017100,98.27
2014-08-06,98.20,99.65,98.20,98.98,9911300,98.98
2014-08-05,99.48,99.54,97.78,98.20,13069400,98.20
2014-08-04,98.74,100.43,98.31,100.13,12148200,100.13
2014-08-01,98.62,99.55,98.18,98.80,14915000,98.80
2014-07-31,101.98,101.98,98.93,98.94,18291800,98.94
2014-07-30,103.73,104.15,102.57,103.25,11072100,103.25
2014-07-29,104.21,104.76,103.52,103.55,8055400,103.55
2014-07-28,103.29,104.52,102.83,104.37,9197800,104.37
2014-07-25,103.93,103.99,102.96,103.18,7775500,103.18
2014-07-24,104.42,104.72,103.95,104.28,7943000,104.28
2014-07-23,103.64,104.45,103.53,104.25,7007200,104.25
2014-07-22,103.64,104.19,103.50,103.54,7426300,103.54
2014-07-21,102.36,103.19,102.06,103.08,6632400,103.08
2014-07-18,102.69,102.96,101.86,102.73,8208300,102.73
2014-07-17,103.38,103.89,102.29,102.31,8145700,102.31
2014-07-16,102.56,103.79,102.54,103.77,8870200,103.77
2014-07-15,102.53,102.60,101.74,102.39,8755800,102.39
2014-07-14,102.17,103.08,102.16,102.68,8253100,102.68
2014-07-11,102.40,102.50,101.32,101.74,7680800,101.74
2014-07-10,102.88,103.07,102.04,102.57,8533700,102.57
2014-07-09,102.96,103.69,102.81,103.55,7655300,103.55
2014-07-08,102.33,103.23,102.17,102.83,9613600,102.83
2014-07-07,102.33,102.65,102.02,102.65,7979600,102.65
2014-07-03,101.95,103.27,101.68,102.59,6922600,102.59
2014-07-02,101.15,101.64,101.04,101.57,6936900,101.57
2014-07-01,101.15,101.59,100.79,101.36,8399600,101.36
2014-06-30,101.21,101.27,100.52,100.68,9454800,100.68
2014-06-27,101.67,101.79,100.66,101.21,15147400,101.21
2014-06-26,101.94,102.38,100.85,102.03,8424200,102.03
2014-06-25,102.34,102.62,101.53,102.14,10714800,102.14
2014-06-24,104.18,104.47,102.47,102.73,9694200,102.73
2014-06-23,104.11,104.61,103.88,104.38,8553700,104.38
2014-06-20,103.28,104.06,102.94,103.83,17674400,103.83
2014-06-19,102.61,102.84,101.68,102.63,11105600,102.63
2014-06-18,102.57,102.95,102.06,102.73,9575100,102.73
2014-06-17,102.58,102.59,101.45,102.42,9337300,102.42
2014-06-16,102.57,103.25,102.17,102.92,8842600,102.92
2014-06-13,101.93,102.66,101.63,102.65,8240300,102.65
2014-06-12,102.46,102.95,101.57,101.66,11421000,101.66
2014-06-11,101.19,102.33,101.00,101.95,10270300,101.95
2014-06-10,101.48,101.73,101.00,101.46,7917500,101.46
2014-06-09,101.45,101.96,101.19,101.52,6404800,101.52
2014-06-06,100.61,101.63,100.60,101.60,9340900,101.60
2014-06-05,100.10,100.83,99.96,100.55,12296100,100.55
2014-06-04,100.21,100.46,99.96,100.04,7148800,100.04
2014-06-03,99.59,100.69,99.59,100.39,9384200,100.39
2014-06-02,100.53,100.88,99.67,99.94,7761300,99.94
2014-05-30,100.80,101.15,100.37,100.53,11499000,100.53
2014-05-29,101.54,101.65,101.02,101.27,6113700,101.27
2014-05-28,101.23,102.07,101.05,101.06,7586700,101.06
2014-05-27,101.61,101.90,100.93,101.36,8359700,101.36
2014-05-23,101.55,101.93,101.27,101.32,5410900,101.32
2014-05-22,101.81,101.97,101.47,101.50,5304300,101.50
2014-05-21,100.85,102.22,100.72,102.03,7747900,102.03
2014-05-20,100.69,101.08,100.45,100.67,6134100,100.67
2014-05-19,100.42,101.11,100.42,100.87,5851400,100.87
2014-05-16,100.59,101.00,100.32,100.74,10369200,100.74
2014-05-15,102.00,102.42,100.33,100.78,13658700,100.78
2014-05-14,102.36,102.68,102.11,102.29,6999200,102.29
2014-05-13,102.18,102.71,101.94,102.36,7528800,102.36
2014-05-12,102.33,102.35,101.53,102.23,8830500,102.23
2014-05-09,101.71,102.18,101.26,101.95,8948800,101.95
2014-05-08,103.09,103.29,102.17,102.32,8922500,101.63
