Date,Open,High,Low,Close,Volume,Adj Close
2014-10-01,69.04,69.68,66.43,66.84,13089400,66.84
2014-09-30,71.11,71.18,68.26,68.83,15375900,68.83
2014-09-29,69.80,71.20,69.52,71.10,7252700,71.10
2014-09-26,69.47,70.67,68.86,70.30,6994600,70.30
2014-09-25,70.91,71.10,69.16,69.36,9426200,69.36
2014-09-24,70.06,71.66,68.87,70.91,10390100,70.91
2014-09-23,69.80,71.69,69.80,70.10,8655600,70.10
2014-09-22,72.15,72.16,69.77,70.11,10463400,70.11
2014-09-19,73.19,73.77,72.13,72.30,7169500,72.30
2014-09-18,74.49,74.70,72.93,73.37,7679100,73.20
2014-09-17,74.78,75.40,74.37,74.55,7249500,74.38
2014-09-16,73.25,75.42,73.25,74.75,7084600,74.58
2014-09-15,73.25,73.90,72.38,73.48,7119300,73.31
2014-09-12,74.37,74.78,72.96,73.35,4937300,73.18
2014-09-11,73.43,74.94,73.10,74.81,6379300,74.64
2014-09-10,73.94,74.43,72.88,74.33,6344000,74.16
2014-09-09,75.10,75.72,73.58,74.11,4690200,73.94
2014-09-08,76.04,76.10,74.43,75.03,6031700,74.86
2014-09-05,75.74,76.69,75.52,76.66,4454700,76.49
2014-09-04,77.71,78.09,75.38,75.83,6499800,75.66
2014-09-03,78.36,78.60,77.47,77.68,2742500,77.50
2014-09-02,78.81,78.90,77.25,77.58,3078600,77.40
2014-08-29,78.54,79.11,78.10,79.05,3019300,78.87
2014-08-28,77.54,78.11,77.19,78.06,3465200,77.88
2014-08-27,78.34,78.45,77.43,77.61,2575400,77.43
2014-08-26,78.12,78.65,77.97,78.02,3820100,77.84
2014-08-25,76.68,77.91,76.64,77.72,4833800,77.54
2014-08-22,76.65,76.72,75.79,76.33,2682800,76.16
2014-08-21,76.15,76.91,75.32,76.82,3661000,76.65
2014-08-20,75.97,76.34,75.35,76.20,3579700,76.03
2014-08-19,75.70,76.61,75.40,76.05,3798700,75.88
2014-08-18,75.00,75.47,74.49,75.32,3160500,75.15
2014-08-15,73.98,74.93,73.89,74.88,3586200,74.71
2014-08-14,74.46,75.00,73.65,73.78,7090000,73.61
2014-08-13,74.83,75.42,74.35,74.64,4166800,74.47
2014-08-12,75.67,75.79,74.19,74.59,5906300,74.42
2014-08-11,76.28,77.16,75.97,76.01,4044700,75.84
2014-08-08,73.83,76.04,73.76,75.98,9036100,75.81
2014-08-07,74.60,74.80,73.07,73.74,6797000,73.57
2014-08-06,73.70,75.20,72.99,74.10,7896000,73.93
2014-08-05,75.41,75.70,72.94,73.74,10790200,73.57
2014-08-04,73.86,75.99,73.40,75.80,7897300,75.63
2014-08-01,75.10,75.14,72.76,73.76,11358900,73.59
2014-07-31,76.65,76.83,75.06,75.29,8940000,75.12
2014-07-30,78.30,78.75,76.86,77.20,7748300,77.02
2014-07-29,77.32,78.47,77.32,77.93,4556200,77.75
2014-07-28,78.40,78.76,77.14,77.62,5071900,77.44
2014-07-25,79.31,79.37,78.47,78.65,4554500,78.47
2014-07-24,80.12,80.36,79.23,79.81,4355700,79.63
2014-07-23,79.14,79.80,78.80,79.74,5831600,79.56
2014-07-22,78.86,79.53,78.62,79.18,5591000,79.00
2014-07-21,78.08,78.66,77.57,78.52,5101900,78.34
2014-07-18,77.45,78.57,77.33,78.39,3333700,78.21
2014-07-17,79.26,79.88,77.16,77.37,5039300,77.19
2014-07-16,77.94,79.08,77.79,78.94,4794800,78.76
2014-07-15,78.93,79.19,76.91,77.53,7272100,77.35
2014-07-14,78.84,79.68,78.83,79.31,3380100,79.13
2014-07-11,79.23,79.40,78.26,78.32,3740500,78.14
2014-07-10,79.03,79.97,78.70,79.50,8216300,79.32
2014-07-09,80.00,80.69,79.78,80.67,3317900,80.49
2014-07-08,79.98,80.17,78.94,79.90,5136900,79.72
2014-07-07,81.59,81.70,79.90,80.04,3202300,79.86
