Date,Open,High,Low,Close,Volume,Adj Close
2014-10-01,85.40,85.62,84.10,84.33,1764600,84.33
2014-09-30,86.67,86.67,85.54,85.58,1913600,85.58
2014-09-29,85.41,86.64,85.39,86.44,1299300,86.44
2014-09-26,86.55,86.72,85.83,86.39,1694700,86.39
2014-09-25,86.96,87.19,85.83,86.09,1052600,86.09
2014-09-24,86.18,87.18,86.13,87.18,1728800,87.18
2014-09-23,86.80,87.04,86.18,86.18,1556900,86.18
2014-09-22,88.05,88.20,86.94,87.13,1491900,87.13
2014-09-19,89.33,89.73,88.32,88.54,2176800,88.54
2014-09-18,89.99,89.99,89.04,89.36,697100,89.20
2014-09-17,89.13,89.56,88.84,89.19,955900,89.03
2014-09-16,88.07,89.24,87.80,89.06,1121000,88.90
2014-09-15,89.59,89.59,88.12,88.26,885400,88.10
2014-09-12,89.15,89.44,88.81,89.12,797000,88.96
2014-09-11,88.29,89.18,88.00,89.15,1466900,88.99
2014-09-10,88.21,88.53,87.68,88.38,1374600,88.22
2014-09-09,88.52,89.07,88.01,88.06,1674700,87.90
2014-09-08,89.05,89.36,88.57,88.92,1653000,88.76
2014-09-05,88.95,89.28,88.25,89.20,1793000,89.04
2014-09-04,89.29,89.94,89.11,89.39,1735200,89.23
2014-09-03,89.79,89.79,88.81,88.87,1172800,88.71
2014-09-02,89.05,89.36,88.69,89.06,1030100,88.90
2014-08-29,89.18,89.21,88.63,88.83,909100,88.67
2014-08-28,88.50,89.24,88.21,89.03,1842400,88.87
2014-08-27,89.17,89.74,89.09,89.47,2145300,89.31
2014-08-26,88.60,89.32,88.50,89.17,987700,89.01
2014-08-25,88.80,88.80,88.16,88.51,1257700,88.35
2014-08-22,87.35,88.18,87.35,88.08,1099600,87.92
2014-08-21,87.68,87.81,87.03,87.49,2087600,87.33
2014-08-20,86.69,87.82,86.69,87.68,1397600,87.52
2014-08-19,86.63,87.36,86.45,87.05,2183900,86.90
2014-08-18,85.28,86.03,85.14,85.94,3158300,85.79
2014-08-15,85.50,85.77,84.10,84.63,2861500,84.48
2014-08-14,84.85,85.56,84.59,85.36,1940200,85.21
2014-08-13,84.66,84.94,84.11,84.52,3347600,84.37
2014-08-12,85.59,85.87,84.76,85.06,1755500,84.91
2014-08-11,85.64,86.10,85.31,85.75,1318800,85.60
2014-08-08,84.43,85.36,83.90,85.24,1935400,85.09
2014-08-07,84.99,85.20,83.75,83.94,1990600,83.79
2014-08-06,83.70,84.95,83.44,84.61,2125400,84.46
2014-08-05,84.00,85.05,83.67,84.27,1930500,84.12
2014-08-04,83.97,84.78,83.73,84.57,1300900,84.42
2014-08-01,83.57,84.34,83.04,83.64,1824200,83.49
2014-07-31,84.68,84.84,83.70,83.85,2704700,83.70
2014-07-30,84.60,85.21,84.38,85.07,2398700,84.92
2014-07-29,84.34,84.82,84.18,84.24,1236000,84.09
2014-07-28,84.53,84.68,83.91,84.24,1780100,84.09
2014-07-25,84.99,85.15,84.29,84.33,1739200,84.18
2014-07-24,84.83,85.59,84.83,85.33,2456500,85.18
2014-07-23,84.29,85.05,84.29,84.78,1975200,84.63
2014-07-22,85.10,85.18,84.55,84.55,2605900,84.40
2014-07-21,85.01,85.18,84.47,84.76,2988800,84.61
2014-07-18,84.07,85.44,83.77,85.37,5803000,85.22
2014-07-17,84.46,84.84,83.79,83.87,2906100,83.72
2014-07-16,85.59,85.75,84.64,84.93,4598900,84.78
2014-07-15,85.81,86.10,84.94,85.24,3109100,85.09
2014-07-14,86.20,86.31,85.62,85.78,1754900,85.63
2014-07-11,86.18,86.18,85.36,85.81,2427800,85.66
2014-07-10,86.32,86.79,85.71,86.28,3359600,86.13
2014-07-09,86.92,87.42,86.90,87.35,1824500,87.19
2014-07-08,87.53,87.64,86.50,86.73,3266000,86.58
2014-07-07,88.46,88.64,87.59,87.63,1007700,87.47
2014-07-03,88.20,88.73,87.98,88.65,1026400,88.49
2014-07-02,87.55,88.17,87.46,87.50,829000,87.34
2014-07-01,86.94,87.80,86.89,87.47,1391700,87.31
2014-06-30,87.00,87.00,86.17,86.80,1294200,86.65
2014-06-27,86.07,86.58,85.73,86.55,1280700,86.40
2014-06-26,86.12,86.25,85.34,86.07,958800,85.92
2014-06-25,85.70,86.29,85.61,86.12,1127000,85.97
2014-06-24,86.27,86.78,85.66,85.73,1469200,85.58
2014-06-23,86.36,86.54,86.12,86.33,1490000,86.18
2014-06-20,86.91,86.91,86.00,86.23,1526600,86.08
2014-06-19,86.76,87.32,86.36,86.45,1418900,86.06
2014-06-18,86.31,86.92,86.16,86.85,1436700,86.46
2014-06-17,85.55,86.42,85.53,86.28,3076600,85.89
2014-06-16,84.87,85.61,84.71,85.54,1875000,85.15
2014-06-13,84.59,85.00,84.19,84.87,3693200,84.49
2014-06-12,84.90,85.33,84.21,84.41,2072400,84.03
2014-06-11,85.51,85.70,85.16,85.56,1434800,85.17
2014-06-10,85.53,85.93,85.46,85.71,636000,85.32
2014-06-09,85.93,86.43,85.57,85.75,904400,85.36
2014-06-06,85.18,86.00,85.16,85.50,1215700,85.11
2014-06-05,84.60,85.18,83.64,85.00,2240800,84.62
2014-06-04,83.31,84.59,83.31,84.44,1069600,84.06
2014-06-03,83.25,83.96,83.08,83.80,1094800,83.42
2014-06-02,84.03,84.08,83.16,83.56,1356200,83.18
2014-05-30,83.40,83.98,83.39,83.78,3439200,83.40
2014-05-29,83.03,83.46,82.71,83.44,799300,83.06
2014-05-28,83.23,83.48,82.69,82.93,1568200,82.56
2014-05-27,83.57,84.06,83.57,83.70,2820500,83.32
2014-05-23,82.60,83.38,82.57,83.23,955400,82.86
2014-05-22,82.13,83.18,81.87,82.87,2134100,82.50
2014-05-21,82.07,82.60,81.26,81.99,2875300,81.62
2014-05-20,83.17,83.22,81.58,81.83,2697300,81.46
2014-05-19,83.37,83.96,83.23,83.90,786000,83.52
2014-05-16,82.86,83.58,82.50,83.57,2005200,83.19
2014-05-15,82.91,83.06,81.58,82.37,2754100,82.00
2014-05-14,84.44,84.57,83.27,83.35,2340200,82.97
2014-05-13,84.88,85.23,84.37,84.51,1540700,84.13
2014-05-12,83.48,84.98,83.15,84.88,2420200,84.50
2014-05-09,82.22,83.27,81.75,83.26,2670300,82.88
2014-05-08,81.48,83.36,81.46,81.80,4209900,81.43
2014-05-07,81.97,82.06,80.63,81.33,2635100,80.96
2014-05-06,83.42,83.54,82.15,82.19,3046300,81.82
2014-05-05,83.87,83.93,82.96,83.61,1658900,83.23
2014-05-02,83.89,84.84,83.43,83.98,1921200,83.60
2014-05-01,83.44,84.18,83.24,83.56,2504100,83.18
2014-04-30,83.29,83.55,82.60,83.52,2168500,83.14
2014-04-29,83.03,83.66,82.93,83.42,3009000,83.04
2014-04-28,82.48,83.85,81.93,83.07,3705300,82.70
2014-04-25,82.73,83.13,82.05,82.27,1826100,81.90
2014-04-24,83.50,83.66,82.58,83.30,1786100,82.92
2014-04-23,83.10,83.74,82.86,83.14,1239800,82.77
2014-04-22,81.71,83.54,81.71,83.19,2103700,82.82
2014-04-21,82.02,82.38,81.76,82.17,1725500,81.80
2014-04-17,82.09,82.22,81.55,81.93,4836300,81.56
2014-04-16,82.23,82.51,81.53,82.00,4311400,81.63
2014-04-15,81.42,82.24,80.18,81.57,4040200,81.20
2014-04-14,81.61,82.22,80.86,81.51,2352300,81.14
2014-04-11,81.40,82.17,80.75,81.11,4631000,80.74
2014-04-10,84.42,84.74,82.23,82.27,3795500,81.90
2014-04-09,84.20,84.62,83.50,84.62,1958900,84.24
2014-04-08,83.35,84.03,82.76,83.89,2390600,83.51
2014-04-07,84.82,84.95,82.52,83.01,3414000,82.64
2014-04-04,86.70,87.12,84.68,84.90,2638900,84.52
